mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(the train / leave at 6pm);the train leaves at 6pm
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(we / go to the park on sundays);we go to the park on sundays
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / likes taking photographs);he likes taking photographs
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(the moon / go round the earth);the moon goes round the earth
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / know a lot about cooking);she knows a lot about cooking
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(we / make dinner at the weekends);we make dinner at the weekends
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(you / walk to the station every day);you walk to the station every day
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / study English at a night class);he studies English at a night class
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(we / often watch tv);we often watch tv
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / hate mushrooms);I hate mushrooms
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / visit her grandmother every Christmas);she visits her grandmother every Christmas
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(they / use the Internet every evening);they use the Internet every evening
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(you / often go swimming);you often go swimming
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(John / hate waiting for the bus);John hates waiting for the bus
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(Lucy and Jill / want to go out tonight);Lucy and Jill want to go out tonight
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / usually stay at home on Fridays);I usually stay at home on Fridays
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / love driving fast cars);he loves driving fast cars
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(they / often have parties);they often have parties
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / take a piano lesson every Monday);she takes a piano lesson every Monday
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(we / like watching French films);we like watching French films
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(you / go to bed very early);you go to bed very early
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / always eat breakfast);I always eat breakfast
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(they / often arrive late);they often arrive late
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(he / live in Beijing);he lives in Beijing
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(david / work in a school);david works in a school
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(she / read a lot of novels);she reads a lot of novels
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;(I / cook almost every night);I cook almost every night
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;I ________ (be) in a café now.;I am in a café now
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;they ________ (go) to the cinema every wednesday.;they go to the cinema every wednesday
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;________ (she / be) a singer?;is she a singer?
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;You ________ (find) the weather here cold.;you find the weather here cold
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;________ (they / be) on the bus?;are they on the bus?
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;Lucy ________ (ride) her bicycle to work.;Lucy rides her bicycle to work
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;why ________ (he / be) in France?;why is he in France?
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;It ________ (not / be) cold today.;it is not cold today
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;we ________ (be) from Portugal.;we are from Portugal
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;________ (it / be) foggy today?;is it foggy today?
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;we ________ (not / be) late.;we are not late
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;where ________ (you / be)?;where are you?
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;he ________ (not / be) an accountant.;he is not an accountant
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;she ________ (be) my sister.;she is my sister
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;she ________ a teacher.;she is a teacher
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;we ________ hungry.;we are hungry
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;Luke ________ late.;Luke is late
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;they ________ spanish.;they are spanish
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;You ________ happy.;you are happy
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;I ________ thirsty.;I am thirsty
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;It ________ cold.;it is cold
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;she ________ German.;she is German
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;he ________ early.;he is early
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;we ________ tired.;we are tired
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;You ________ beautiful.;you are beautiful
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;I ________ hot.;I am hot
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;Emily ________ my sister.;Emily is my sister
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;he ________ in the garden.;he is in the garden
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;they ________ on the bus.;they are on the bus
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;we ________ friends.;we are friends
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;I ________ 25 years old.;I am 25 years old
translation;Present Simple;Use S/ES in afirmatives;Use DON'T/DOESN'T in negatives;She works every day;Does she work every day?;She does not work every day;SENTENCE BUILDER;.;she ________ sick.;she is sick
