mode;topic;wordBank;question;answer
translation;Irregular Verbs;(correr, concorrer);run ran _______;run
translation;Irregular Verbs;(serra, serrar);saw sawed _______;sawn
translation;Irregular Verbs;(dizer);say said _______;said
translation;Irregular Verbs;(ver);see saw _______;seen
translation;Irregular Verbs;(procurar);seek sought _______;sought
translation;Irregular Verbs;(vender);sell sold _______;sold
translation;Irregular Verbs;(mandar, enviar);send sent _______;sent
translation;Irregular Verbs;(por, colocar, ajustar);set set _______;set
translation;Irregular Verbs;(sacudir, tremer);shake shook _______;shaken
translation;Irregular Verbs;(derramar, deixar, cair);shed shed _______;shed
translation;Irregular Verbs;(brilhar, reluzir);shine shone _______;shone
translation;Irregular Verbs;(atirar, alvejar);shoot shot _______;shot
translation;Irregular Verbs;(mostrar, exibir);show showed _______;shown
translation;Irregular Verbs;(encolher, contrair);shrink shrank _______;shrunk
translation;Irregular Verbs;(fechar, cerrar);shut shut _______;shut
translation;Irregular Verbs;(cantar);sing sang _______;sung
translation;Irregular Verbs;(afundar, submergir);sink sank _______;sunk
translation;Irregular Verbs;(sentar);sit sat _______;sat
translation;Irregular Verbs;(matar, assassinar);slay slew(slul)_______;slain
translation;Irregular Verbs;(dormir);sleep slept _______;slept
translation;Irregular Verbs;(deslizar, escorregar);slide slid _______;slid
translation;Irregular Verbs;(atirar, arremessar);sling slung _______;slung
translation;Irregular Verbs;(falar);speak spoke _______;spoken
translation;Irregular Verbs;(gastar, passar, (tempo);spend spent _______;spent
translation;Irregular Verbs;(girar, rodopiar);spin spun _______;spun
translation;Irregular Verbs;(cuspir);spit spit, spat _______;spit
translation;Irregular Verbs;(espalhar, difundir);spread spread _______;spread
translation;Irregular Verbs;(saltar, pular);spring sprang _______;sprung
translation;Irregular Verbs;(ficar, de pé, aguentar);stand stood _______;stood
translation;Irregular Verbs;(roubar, furtar);steal stole _______;stolen
translation;Irregular Verbs;(cravar, fincar, enfiar);stick stuck _______;stuck
translation;Irregular Verbs;(picar c/ ferrão(inseto);sting stung _______;stung
translation;Irregular Verbs;(cheirar, mal, feder);stink stank _______;stunk
translation;Irregular Verbs;(golpear, bater);strike struck _______;struck
translation;Irregular Verbs;(encordoar, amarrar);string strung _______;strung
translation;Irregular Verbs;(esforçar-se, lutar);strive strove _______;striven
translation;Irregular Verbs;(jurar, prometer);swear swore _______;sworn
translation;Irregular Verbs;(varrer);sweep swept _______;swept
translation;Irregular Verbs;(nadar);swim swam _______;swun
translation;Irregular Verbs;(balançar, alternar);swing swung _______;swung
translation;Irregular Verbs;(tomar, pegar, aceitar);take took _______;taken
translation;Irregular Verbs;(ensinar, dar aula);teach taught _______;taught
translation;Irregular Verbs;(rasgar, despedaçar);tear tore _______;torn
translation;Irregular Verbs;(contar (uma historia);tell told _______;told
translation;Irregular Verbs;(pensar);think thought _______;thought
translation;Irregular Verbs;(atirar, arremessar);throw threw _______;thrown
translation;Irregular Verbs;(pisar, trilhar, seguir);tread trod _______;trodden
translation;Irregular Verbs;(submeter-se a, suportar);undergo underwent _______;undergone
translation;Irregular Verbs;(entender, compreender);understand understood _______;understood
translation;Irregular Verbs;(sustentar, apoiar);uphold upheld _______;upheld
translation;Irregular Verbs;(acordar);wake woke _______;woken
translation;Irregular Verbs;(vestir, usar, desgastar);wear wore _______;worn
translation;Irregular Verbs;(vencer, ganhar);win won _______;won
translation;Irregular Verbs;(enrolar dar corda);wind wound _______;wound
translation;Irregular Verbs;(escrever, redigir);write wrote _______;written
translation;Irregular Verbs;(surgir, erguer-se);arise _______ arisen;arose
translation;Irregular Verbs;(despertar, acordar);awake _______ awoken;awoke
translation;Irregular Verbs;(ser, estar);Be _______ been;was, were
translation;Irregular Verbs;(suportar, dar a luz);bear _______ born;bore
translation;Irregular Verbs;(bater, espancar);beat _______ beaten;beat
translation;Irregular Verbs;(tornar-se);become _______ become;became
translation;Irregular Verbs;(acontecer);befall _______ befallen;befell
translation;Irregular Verbs;(começar, iniciar);begin _______ begun;began
translation;Irregular Verbs;(contemplar);behold _______ beheld;beheld
translation;Irregular Verbs;(curvar, dobrar);bend _______ bent;bent
translation;Irregular Verbs;(apostar);bet _______ bet;bet
translation;Irregular Verbs;(oferecer, concorrer);bid _______ bid;bid
translation;Irregular Verbs;(unir, encadernar);bind _______ bound;bound
translation;Irregular Verbs;(morder, engolir a isca);bite _______ bitten;bit
translation;Irregular Verbs;(sangrar, ter hemorragia);bleed _______ bled;bled
translation;Irregular Verbs;(soprar, estourar);blow _______ blown;blew
translation;Irregular Verbs;(quebrar, romper);break _______ broken;broke
translation;Irregular Verbs;(procriar, reproduzir);breed _______ bred;bred
translation;Irregular Verbs;(trazer);bring _______ brought;brought
translation;Irregular Verbs;(irradiar, transmitir);broadcast _______ broadcast;broadcast
translation;Irregular Verbs;(construir, edificar);build _______ built;built
translation;Irregular Verbs;(comprar);buy _______ bought ;bought
translation;Irregular Verbs;(arremessar, lançar);cast _______ cast;cast
translation;Irregular Verbs;(pegar, capturar);catch _______ caught;caught
translation;Irregular Verbs;(escolher);choose _______ chosen;chose
translation;Irregular Verbs;(aderir, segurar-se);cling _______ clung;clung
translation;Irregular Verbs;(vir);come _______ come;came
translation;Irregular Verbs;(custar);cost _______ cost;cost
translation;Irregular Verbs;(rastejar, gatinhar);creep _______ crept;crept
translation;Irregular Verbs;(cortar);cut _______ cut;cut
translation;Irregular Verbs;(negociar, tratar);deal _______ dealt;dealt
translation;Irregular Verbs;(cavar, cavoucar);dig _______ dug;dug
translation;Irregular Verbs;(fazer);do _______ done;did
translation;Irregular Verbs;(sacar, desenhar);draw _______ drawn;draw
translation;Irregular Verbs;(beber);drink _______ drunk;drank
translation;Irregular Verbs;(dirigir, ir de carro);drive _______ driven;drove
translation;Irregular Verbs;(comer);eat _______ eaten;ate
translation;Irregular Verbs;(cair);fall _______ fallen;fell
translation;Irregular Verbs;(alimentar, nutrir);feed _______ fed;fed
translation;Irregular Verbs;(sentir, sentir-se);feel _______ felt;felt
translation;Irregular Verbs;(lutar);fight _______ fought ;fought
translation;Irregular Verbs;(achar, encontrar);find _______ found ;found
translation;Irregular Verbs;(fugir, escapar);flee _______ fled;fled
translation;Irregular Verbs;(arremessar);fling _______ flung;flung
translation;Irregular Verbs;(voar, pilotar);fly _______ flown;flew
translation;Irregular Verbs;(proibir);forbid _______ forbidden;forbave
translation;Irregular Verbs;(esquecer);forget _______ forgot;forgot
translation;Irregular Verbs;(perdoar);forgive _______ forgiven;forgave
translation;Irregular Verbs;(congelar, paralizar);freeze _______ frozen;froze
translation;Irregular Verbs;(got, obter, conseguir);get _______ gotten;got
translation;Irregular Verbs;(dar, conceder);give _______ given;gave
translation;Irregular Verbs;(ir);go _______ gone;went
translation;Irregular Verbs;(moer);grind _______ ground;ground
translation;Irregular Verbs;(crescer, cultivar);grow _______ grown;grew
translation;Irregular Verbs;(ter, beber, comer);have _______ had;had
translation;Irregular Verbs;(ouvir, escutar);hear _______ heard;heard
translation;Irregular Verbs;(hid, esconder);hide _______ hidden;hid
translation;Irregular Verbs;(bater, ferir);hit _______ hit;hit
translation;Irregular Verbs;(segurar);hold _______ held;held
translation;Irregular Verbs;(machucar, ferir);hurt _______ hurt;hurt
translation;Irregular Verbs;(guardar, manter);keep _______ kept;kept
translation;Irregular Verbs;(saber, conhecer);know _______ known;knew
translation;Irregular Verbs;(por, (ovos));lay _______ laid;laid
translation;Irregular Verbs;(liderar, guiar);lead _______ led;led
translation;Irregular Verbs;(deixar, partir);leave _______ left;left
translation;Irregular Verbs;(dar, emprestado);lend _______ lent;lent
translation;Irregular Verbs;(deixar, alugar);let _______ let;let
translation;Irregular Verbs;(deitar se);lie _______ lain;lay
translation;Irregular Verbs;(perder, extraviar);lose _______ lost;lost
translation;Irregular Verbs;(fazer, fabricar);make _______ made;made
translation;Irregular Verbs;(significar);mean _______ meant;meant
translation;Irregular Verbs;(encontrar, conhecer);meet _______ met;met
translation;Irregular Verbs;(superar);overcome _______ overcome;overcame
translation;Irregular Verbs;(alcançar, surpreender);overtake _______ overtaken;overtook
translation;Irregular Verbs;(pagar);pay _______ paid;paid
translation;Irregular Verbs;(colocar, por);put _______ put;put
translation;Irregular Verbs;(abandonar, largar de);quit _______ quit;quit
translation;Irregular Verbs;(ler);read _______ read;read
translation;Irregular Verbs;(andar, cavalgar);ride _______ ridden;rode
translation;Irregular Verbs;(tocar campainha);ring _______ rung;rang
translation;Irregular Verbs;(subir, erguer-se);rise _______ risen;rose
translation;Irregular Verbs;(correr, concorrer);run _______ run;ran
translation;Irregular Verbs;(serra, serrar);saw _______ sawn;sawed
translation;Irregular Verbs;(dizer);say _______ said;said
translation;Irregular Verbs;(ver);see _______ seen;saw
translation;Irregular Verbs;(procurar);seek _______ sought;sought
translation;Irregular Verbs;(vender);sell _______ sold;sold
translation;Irregular Verbs;(mandar, enviar);send _______ sent;sent
translation;Irregular Verbs;(por, colocar, ajustar);set _______ set;set
translation;Irregular Verbs;(sacudir, tremer);shake _______ shaken ;shook
translation;Irregular Verbs;(derramar, deixar, cair);shed _______ shed;shed
translation;Irregular Verbs;(brilhar, reluzir);shine _______ shone;shone
translation;Irregular Verbs;(atirar, alvejar);shoot _______ shot;shot
translation;Irregular Verbs;(mostrar, exibir);show _______ shown;showed
translation;Irregular Verbs;(encolher, contrair);shrink _______ shrunk;shrank
translation;Irregular Verbs;(fechar, cerrar);shut _______ shut;shut
translation;Irregular Verbs;(cantar);sing _______ sung;sang
translation;Irregular Verbs;(afundar, submergir);sink _______ sunk;sank
translation;Irregular Verbs;(sentar);sit _______ sat;sat
translation;Irregular Verbs;(matar, assassinar);slay _______ slain;slew
translation;Irregular Verbs;(dormir);sleep _______ slept;slept
translation;Irregular Verbs;(deslizar, escorregar);slide _______ slid;slid
translation;Irregular Verbs;(atirar, arremessar);sling _______ slung;slung
translation;Irregular Verbs;(falar);speak _______ spoken ;spoke
translation;Irregular Verbs;(gastar, passar, (tempo);spend _______ spent;spent
translation;Irregular Verbs;(girar, rodopiar);spin _______ spun;spun
translation;Irregular Verbs;(cuspir);spit _______, spat ;spit
translation;Irregular Verbs;(espalhar, difundir);spread _______ spread;spread
translation;Irregular Verbs;(saltar, pular);spring _______ sprung;sprang
translation;Irregular Verbs;(ficar, de pé, aguentar);stand _______ stood;stood
translation;Irregular Verbs;(roubar, furtar);steal _______ stolen ;stole
translation;Irregular Verbs;(cravar, fincar, enfiar);stick _______ stuck;stuck
translation;Irregular Verbs;(picar c/ ferrão(inseto);sting _______ stung;stung
translation;Irregular Verbs;(cheirar, mal, feder);stink _______ stunk;stank
translation;Irregular Verbs;(golpear, bater);strike _______ struck;struck
translation;Irregular Verbs;(encordoar, amarrar);string _______ strung;strung
translation;Irregular Verbs;(esforçar-se, lutar);strive _______ striven ;strove
translation;Irregular Verbs;(jurar, prometer);swear _______ sworn;swore
translation;Irregular Verbs;(varrer);sweep _______ swept;swept
translation;Irregular Verbs;(nadar);swim _______ swum;swam
translation;Irregular Verbs;(balançar, alternar);swing _______ swung;swung
translation;Irregular Verbs;(tomar, pegar, aceitar);take _______ taken ;took
translation;Irregular Verbs;(ensinar, dar aula);teach _______ taught ;taught
translation;Irregular Verbs;(rasgar, despedaçar);tear _______ torn  ;tore
translation;Irregular Verbs;(contar (uma historia);tell _______ told;told
translation;Irregular Verbs;(pensar);think _______ thought;thought
translation;Irregular Verbs;(atirar, arremessar);throw _______ thrown ;threw
translation;Irregular Verbs;(pisar, trilhar, seguir);tread _______ trodden;trod
translation;Irregular Verbs;(submeter-se a, suportar);undergo _______ undergone  ;underwent
translation;Irregular Verbs;(entender, compreender);understand _______ understood;understood
translation;Irregular Verbs;(sustentar, apoiar);uphold _______ upheld;upheld
translation;Irregular Verbs;(acordar);wake _______ woken ;woke
translation;Irregular Verbs;(vestir, usar, desgastar);wear _______ worn;wore
translation;Irregular Verbs;(vencer, ganhar);win _______ won;won
translation;Irregular Verbs;(enrolar dar corda);wind _______ wound ;wound
translation;Irregular Verbs;(escrever, redigir);write _______ written;wrote
