mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way with us all.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I haven`t seen them for ________ long time.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way with men!';the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It would be ________ easy matter to kill him.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It gave us ________ day and ________ half.;a a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;Some of ________ men were very fine.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He asked me to keep ________ eye on you.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;She stood looking at it for ________ long time.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way they do it.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He`ll come round in half ________ hour.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way I knew you.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;They had been talking for ________ quarter of ________ hour.;a an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;But that`s ________ way it was.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way I look at it.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;She was ________ old friend of his.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;You will die in half ________ hour.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I think we must put ________ end to this interview.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;In ________ short time, he returned.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;They all attended at ________ early hour.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I`ll be back in ________ day or two.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way things are.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It hadn`t been this way for ________ long time.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It`s ________ good thing to let alone.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He said it was ________ matter of opinion.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;She was ________ best woman in France.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He is going away in ________ few days.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;She did not say another word for ________ long time.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;These are ________ results in every case.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way I like her.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He could feel ________ tears in his eyes.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;That`s ________ way you think of it.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I have ________ highest respect for him.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;Some of ________ others had already gone.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;She talked here for half ________ hour.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;________ boys had not long to wait.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It was one of ________ best things you ever did.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;We`ll see in ________ hour`s time.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I have not been there for ________ long time.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;No, it could not be at ________ end.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;________ hour passed, and he did not appear.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I wanted to put ________ end to my own self.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;I am here to keep ________ eye on you.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It was ________ first time she had seen it.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;He was trying to keep __a_n___ eye on her.;an
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;For ________ long time, I thought so.;a
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;It`s ________ best place for her.;the
translation;Article;Choose the correct Article;Complete the sentence correctly;A: Used before consonants;AN: Used before vowels;THE: Use to specify something you know;ARTICLE;A | AN | THE;But That`s ________ way it was.;the
