mode;topic;rule1;rule2;exampleA;exampleI;exampleN;type;wordBank;question;answer
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He CONCERNS himself ________ other people far too much.(To focus ones care or attention on someone or something) ;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Ive DREAMED ________ this moment. I cant believe its actually happening.;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;This traffic jam is awful! I FORGOT ________ the work they were doing to the road.(fail to remember, to not think about);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Sarah KNOWS ________ all that tech stuff. (To be knowledgeable about, familiar with, or skilled at something.);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We were just LAUGHTING ________ something Janet said earlier.(situation);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The kids wouldnt stop PROTESTING ________ going on a camping trip. (To complain about, object to, or vocally disapprove of someone or something);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I kept THINKING ________ that movies ending for days afterward.(o recall, reflect on someone or something);about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Youll need to ACQUAINT me ________ the rules of their culture. (to become familiar or comfortable with something);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I AGREE ________ the way management is trying to address the problem of employee. (to have the same opinion as someone);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I dont ASSOCIATE ________ criminals like him.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;They finally caught Capone by CHARGING him ________ tax evasion.(accuse someone of a crime);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Election day is going to COINCIDE ________ the festival (to happen at the same time);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Theres a major traffic jam because a tractor-trailer COLLIDED ________ a car earlier.(to crash into something or someone);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Unfortunately, I´can only COMPARE her performance ________ a train wreck.(To highlight the similarities between two people or things);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Please be advised that your construction project needs to COMPLY ________ all building codes.(to follow a rule);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;If you CONFRONT him ________ evidence of his crime, I think hell try to leave town;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Dont CONFUSE the old ones ________ the new ones.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My car is COVERED ________ snow;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;a novel CRAMMED ________ surprises (to fill with mora than necessary);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The film DEALS ________ some serious issues (to handle something or someone usually unpleasant);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;You need to DISCUSS the matter ________ your family;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I wonder if you could HELP me ________ this?;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;someone had TAMPERED ________ the control unit of the machine (make harmful of interfere with something);with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;do not kiss the prince. He might turn ________ a frog.;into
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He felt bad ________ no reason at all.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I have been living here ________ ten years.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Have you been ________ the cinema recently? Yes I was there a few days ago.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He is very fond ________ good food.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I bought many things ________ my stay in New York.;during
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I want to post this letter ________ a friend.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I am going ________ Glasgow on Monday. Would you like to come with us?;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;John has got a very strange taste ________ clothes.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My parents met ________ the war, in 1943.;during
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Is it true that your mother died ________ cancer.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;It was embarrassing. I did not have enough money ________ pay for the meal.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;It is a quick journey ________ Manchester ________ Leeds.;from to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The lights are moving ________ us.;towards
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My country is famous ________ great musicians.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I live ________ Sweden but every summer I travel ________ Spain for my holidays.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Please sit down. Mr. Brown will be ________ you in a moment.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I have to apologize ________ being late.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;She tried to prevent the children ________ jumping into the water.;from
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Sometimes I have to walk to work and sometimes I go ________ bus.;by
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Thank you ________ coming to visit us.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The smallest room is located ________ the left of the hall.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We entered the building ________ entrance number 3.;through
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We have to be at the airport ________ 6 p.m.;by
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;We ran ________ the doctor on our way to the bookshop.;across
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The two friends went ________ the movies by themselves.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;During the summer I stayed ________ my grandparents.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;She came and sat ________ her husband.;beside
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;________ we saw the television show on bears we drove to the zoo.;after
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;________ the day, the rain came into the window.;throughout
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Some boys were crawling ________ under the car.;around
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;The plane flew ________ the clouds.;above
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;There was a picture ________ the wall ________ the bed.;on above
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Nobody in the family has heard ________ the accident.;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;She comes ________ a poor family.;from
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Jack came rushing ________ the stairs.;down

translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Her mother is looking forward ________ going to Australia.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;John is totally obsessed ________ football. He thinks of nothing else.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I prefer coffee ________ tea.;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Let´s divide this money ________ us.;between
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I like travelling ________ boat in summer.;by
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;When I was younger I was always afraid ________ going to the dentist.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Mary´s in the kitchen looking ________ her car keys.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Are you really happy ________ your life here?;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;He was quite pleased ________ the results.;with
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;This is a painting ________ an unknown artist.;by
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;I am proud ________ being a teacher.;of
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;do not worry ________ it. Everything will be fine.;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;My father tells us fascinating stories ________ his years in the navy.;about
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Did you call attention ________ their mistake?;to
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Except ________ that one, all the sentences were easy.;for
translation;Prepositions;Choose the correct preposition;Complete the sentence correctly;She is at school;I go to work;The book is on the table;PREPOSITION ;up | into | towards | through | across | beside | throughout | around | between | before | during | above | behind | out of | of | about | after | by | from | to | for | over | down | with | against;Miss Wilson is very fond ________ French food.;of
