question;hint;option1;option2;option3;answer
They ______ finish the work by tomorrow.;Future certainty;will;might;could;will
I ______ hear the music from outside.;Ability;can;must;would;can
He ______ have taken the wrong train.;Possibility;may;must;shall;may
We ______ respect the environment.;Obligation;must;can;would;must
You ______ visit that museum someday.;Suggestion;should;shall;must;should
She ______ arrive late because of traffic.;Possibility;might;must;shall;might
I ______ read very fast when I was a student.;Past ability;could;would;must;could
Passengers ______ show their tickets before boarding.;Obligation;must;can;would;must
______ we order pizza tonight?;Suggestion;Shall;Would;Must;Shall
He ______ understand the instructions now.;Ability;can;must;shall;can
You ______ not waste so much time online.;Advice;should;must;would;should
They ______ buy a new house next year.;Future intention;will;could;shall;will
I ______ be wrong, but I think this is the right way.;Possibility;might;must;shall;might
Children ______ respect their teachers.;Obligation;must;may;would;must
She ______ sing beautifully when she was younger.;Past ability;could;will;must;could
You ______ try to be more patient.;Advice;should;must;can;should
We ______ meet again soon.;Future possibility;may;shall;must;may
