question;hint;option1;option2;option3;answer
What do we call a plan showing where you will go during a trip?;"";itinerary;passport;ticket;itinerary
What do we call a scheduled plan for a journey?;"";itinerary;destination;fare;itinerary
What do we call a journey in which you return to your starting point?;"";round trip;one-way trip;detour;round trip
What do we call a journey to a destination without a return ticket?;"";one-way trip;round trip;cruise;one-way trip
What do we call a ticket that allows travel to a destination and back?;"";return ticket;one-way ticket;boarding pass;return ticket
What do we call a ticket that allows travel in only one direction?;"";one-way ticket;return ticket;visa;one-way ticket
What do we call a trip where you change from one plane or train to another?;"";connecting journey;direct trip;round trip;connecting journey
What do we call a flight that goes directly to the destination without changing planes?;"";direct flight;connecting flight;return flight;direct flight
What do we call a flight where passengers change planes at another airport?;"";connecting flight;direct flight;domestic flight;connecting flight
What do we call a flight between two cities in the same country?;"";domestic flight;international flight;connecting flight;domestic flight
What do we call a flight between different countries?;"";international flight;domestic flight;local flight;international flight
What do we call a journey made by car?;"";road trip;flight;voyage;road trip
What do we call a journey made by walking for pleasure?;"";hike;cruise;commute;hike
What do we call a long walk, especially in the countryside?;"";hike;flight;voyage;hike
What do we call traveling around a place in a rented vehicle?;"";road trip;boarding;commuting;road trip
What do we call a delay in a journey caused by heavy traffic?;"";traffic jam;shortcut;detour;traffic jam
What do we call a situation in which many vehicles are stuck on the road?;"";traffic jam;freeway;parking lot;traffic jam
What do we call a period when roads are especially busy?;"";rush hour;departure time;holiday season;rush hour
What do we call a journey that takes longer than expected?;"";delayed journey;direct trip;round trip;delayed journey
What do we call a cancellation or delay of a flight?;"";flight disruption;boarding;landing;flight disruption
What do we call a place where you change from one form of transport to another?;"";transport hub;hotel;garage;transport hub
