question;hint;option1;option2;option3;answer
What do we call a plan for promoting a product or company?;"";marketing strategy;business loan;employment contract;marketing strategy
What do we call a group of customers a business wants to reach?;"";target market;shareholders;employees;target market
What do we call a particular group of customers with similar needs?;"";market segment;business partner;management team;market segment
What do we call the total amount of sales a company makes?;"";revenue;expense;debt;revenue
What do we call money earned by a business from selling products or services?;"";revenue;salary;tax;revenue
What do we call money left after all business costs are paid?;"";profit;revenue;debt;profit
What do we call money lost when costs are higher than revenue?;"";loss;profit;income;loss
What do we call the costs involved in running a business?;"";expenses;revenue;profit;expenses
What do we call money a business spends to operate?;"";operating costs;revenue;investment;operating costs
What do we call money used to start or expand a business?;"";capital;salary;tax;capital
What do we call money borrowed by a company?;"";business loan;profit;revenue;business loan
What do we call money invested in a business by its owners?;"";equity;debt;expense;equity
What do we call the total value of a company?;"";valuation;salary;invoice;valuation
What do we call a document showing how much a customer must pay?;"";invoice;receipt;contract;invoice
What do we call a document proving that a customer has paid?;"";receipt;invoice;quotation;receipt
What do we call a formal agreement between two businesses?;"";contract;invoice;receipt;contract
What do we call an offer showing the expected price for a product or service?;"";quotation;invoice;receipt;quotation
What do we call a request asking a company to provide a price?;"";request for quotation;business plan;invoice;request for quotation
What do we call a plan describing how a company will operate and make money?;"";business plan;marketing campaign;invoice;business plan
What do we call a company's main purpose or reason for existing?;"";mission;budget;strategy;mission
What do we call a company's long-term desired future?;"";vision;mission;revenue;vision
What do we call a plan for achieving business goals?;"";strategy;invoice;salary;strategy
What do we call a specific result a company wants to achieve?;"";goal;expense;contract;goal
What do we call a measurable result used to evaluate performance?;"";KPI;invoice;salary;KPI
What does KPI stand for?;"";Key Performance Indicator;Key Product Investment;Known Profit Increase;Key Performance Indicator
What do we call the process of deciding what a company wants to achieve?;"";planning;selling;manufacturing;planning
What do we call the process of organizing and controlling a business?;"";management;marketing;distribution;management
What do we call a group of people who manage a company?;"";management team;sales team;customer base;management team
What do we call the employees who work in a particular department?;"";team;market;brand;team
What do we call the process of hiring new employees?;"";recruitment;retirement;distribution;recruitment
What do we call a person who applies for a job?;"";candidate;customer;supplier;candidate
What do we call the process of choosing the best candidate for a job?;"";selection;marketing;production;selection
What do we call training given to new employees?;"";onboarding;retirement;promotion;onboarding
What do we call the process of helping a new employee adapt to a company?;"";onboarding;outsourcing;downsizing;onboarding
What do we call moving an employee to a higher position?;"";promotion;resignation;recruitment;promotion
What do we call an employee leaving a company voluntarily?;"";resignation;promotion;recruitment;resignation
What do we call reducing the number of employees in a company?;"";downsizing;expansion;recruitment;downsizing
What do we call increasing the size or activity of a business?;"";expansion;downsizing;resignation;expansion
What do we call buying another company?;"";acquisition;recruitment;promotion;acquisition
What do we call combining two companies into one?;"";merger;acquisition;expansion;merger
What do we call selling part of a company or business?;"";divestment;merger;recruitment;divestment
What do we call a company that is owned by shareholders?;"";corporation;partnership;sole trader;corporation
What do we call a business owned and operated by one person?;"";sole proprietorship;corporation;partnership;sole proprietorship
What do we call a business owned by two or more people?;"";partnership;corporation;subsidiary;partnership
What do we call a person who runs their own business?;"";business owner;employee;customer;business owner
What do we call someone who works independently for different clients?;"";freelancer;manager;shareholder;freelancer
What do we call work done by an outside company instead of employees?;"";outsourcing;recruitment;promotion;outsourcing
What do we call a company hired to perform services for another company?;"";contractor;competitor;shareholder;contractor
What does B2B stand for?;"";Business to Business;Business to Buyer;Buyer to Business;Business to Business
What does B2C stand for?;"";Business to Consumer;Business to Company;Consumer to Consumer;Business to Consumer
What do we call the people who regularly buy from a company?;"";customer base;management team;workforce;customer base
What do we call the total number of people employed by a company?;"";workforce;customer base;market share;workforce
What do we call the percentage of a market controlled by a company?;"";market share;market price;customer base;market share
What do we call the demand for a product or service?;"";demand;supply;profit;demand
What do we call the amount of a product available for sale?;"";supply;demand;revenue;supply
What do we call the balance between money coming into and going out of a business?;"";cash flow;market share;business plan;cash flow
What do we call money entering a business?;"";cash inflow;cash outflow;expense;cash inflow
What do we call money leaving a business?;"";cash outflow;cash inflow;revenue;cash outflow
What do we call a company's ability to pay its short-term debts?;"";liquidity;profitability;productivity;liquidity
What do we call the ability of a company to make a profit?;"";profitability;liquidity;recruitment;profitability
What do we call how efficiently a company produces goods or services?;"";productivity;liquidity;revenue;productivity
What do we call the amount produced by a company?;"";output;input;expense;output
What do we call resources used to produce goods or services?;"";input;output;profit;input
What do we call the cost of producing one unit of a product?;"";unit cost;revenue;market share;unit cost
What do we call the price at which a product is sold?;"";selling price;purchase order;unit cost;selling price
What do we call an official request to buy goods from a supplier?;"";purchase order;invoice;receipt;purchase order
What do we call the process of checking financial records?;"";audit;marketing;recruitment;audit
What do we call the department responsible for recording financial transactions?;"";accounting;marketing;production;accounting
What do we call a professional who manages financial records?;"";accountant;manager;consultant;accountant
What do we call a professional who provides expert business advice?;"";consultant;cashier;customer;consultant
