question;hint;option1;option2;option3;answer
What do we call rice cooked with vegetables or meat in a pan?;"";fried rice;mashed potatoes;rice pudding;fried rice
What do we call a food made from wheat and usually boiled in water?;"";pasta;bread;cheese;pasta
What do we call long thin pieces of pasta?;"";spaghetti;lasagna;rice;spaghetti
What do we call pasta sheets layered with meat, sauce, and cheese?;"";lasagna;spaghetti;noodles;lasagna
What do we call long thin Asian-style pasta?;"";noodles;lasagna;toast;noodles
What do we call a round Italian dish with cheese and tomato sauce?;"";pizza;pasta;omelet;pizza
What do we call a Mexican dish made with a tortilla and filling?;"";taco;pizza;pie;taco
What do we call a Mexican dish made with a tortilla filled and rolled?;"";burrito;sandwich;burger;burrito
What do we call ground meat served in a round bread bun?;"";burger;taco;steak;burger
What do we call a thick slice of beef?;"";steak;burger;sausage;steak
What do we call minced meat packed into a casing?;"";sausage;steak;ham;sausage
What do we call cured meat from a pig, often eaten at breakfast?;"";bacon;beef;turkey;bacon
What do we call cooked pork usually served in thin slices?;"";ham;bacon;beef;ham
What do we call food from the sea, such as fish and shellfish?;"";seafood;meat;grain;seafood
What do we call an animal commonly eaten as seafood with claws?;"";lobster;salmon;tuna;lobster
What do we call a pink fish commonly eaten smoked or grilled?;"";salmon;tuna;cod;salmon
What do we call a large sea fish commonly used in sandwiches and salads?;"";tuna;salmon;lobster;tuna
What do we call a type of seafood with a shell and two halves?;"";mussel;salmon;tuna;mussel
What do we call a small seafood animal with a shell and claws?;"";shrimp;steak;chicken;shrimp
What do we call a yellow or white food produced by hens?;"";egg;cheese;butter;egg
What do we call the yellow part of an egg?;"";yolk;white;shell;yolk
What do we call the clear or white part of an egg?;"";egg white;yolk;shell;egg white
What do we call a grain commonly eaten as a staple food?;"";rice;cheese;meat;rice
What do we call a plant food that grows underground and is used to make fries?;"";potato;carrot;lettuce;potato
What do we call an orange vegetable that rabbits are often associated with?;"";carrot;potato;pepper;carrot
What do we call a green leafy vegetable often used in salads?;"";lettuce;cucumber;onion;lettuce
What do we call a long green vegetable with a high water content?;"";cucumber;lettuce;carrot;cucumber
What do we call a round vegetable that can make people cry when cut?;"";onion;potato;tomato;onion
What do we call a red fruit commonly used in salads and sauces?;"";tomato;pepper;onion;tomato
What do we call a spicy vegetable often used to add heat to food?;"";chili pepper;cucumber;lettuce;chili pepper
What do we call a green vegetable that looks like a small tree?;"";broccoli;spinach;peas;broccoli
What do we call a green leafy vegetable rich in iron?;"";spinach;broccoli;corn;spinach
What do we call small green seeds often served as a vegetable?;"";peas;beans;corn;peas
What do we call yellow kernels that grow on a cob?;"";corn;peas;beans;corn
What do we call a plant food that includes beans, lentils, and chickpeas?;"";legume;fruit;grain;legume
What do we call a small red or black fruit often used in desserts?;"";berry;melon;banana;berry
What do we call a yellow fruit with a peel?;"";banana;lemon;grape;banana
What do we call a sour yellow citrus fruit?;"";lemon;orange;banana;lemon
What do we call a round citrus fruit that is usually orange?;"";orange;lemon;lime;orange
What do we call a small green citrus fruit?;"";lime;lemon;melon;lime
What do we call a large round fruit with a hard outer shell and sweet flesh?;"";melon;berry;grape;melon
What do we call small round fruits that grow in bunches?;"";grapes;cherries;peaches;grapes
What do we call a red fruit with a large stone inside?;"";peach;strawberry;apple;peach
What do we call a small red fruit with seeds on its surface?;"";strawberry;cherry;grape;strawberry
What do we call a red or black fruit with a stone in the middle?;"";cherry;strawberry;blueberry;cherry
What do we call a common round fruit that can be red, green, or yellow?;"";apple;pear;peach;apple
What do we call a sweet fruit with soft flesh and a central stone?;"";peach;apple;grape;peach
What do we call a sweet drink made by squeezing fruit?;"";juice;broth;vinegar;juice
What do we call a drink made from coffee beans?;"";coffee;tea;juice;coffee
What do we call a hot drink made by soaking leaves in water?;"";tea;coffee;milk;tea
What do we call a drink made by mixing fruit with water or milk?;"";smoothie;broth;espresso;smoothie
What do we call a strong coffee made by forcing hot water through ground coffee?;"";espresso;tea;juice;espresso
What do we call a drink containing alcohol made from fermented grapes?;"";wine;juice;milk;wine
What do we call a fermented alcoholic drink made from grains?;"";beer;wine;juice;beer
What do we call a non-alcoholic drink containing bubbles?;"";soft drink;broth;tea;soft drink
What do we call water containing dissolved carbon dioxide?;"";sparkling water;milk;juice;sparkling water
What do we call water without bubbles?;"";still water;sparkling water;juice;still water
What do we call a drink made from milk and fruit?;"";milkshake;tea;broth;milkshake
What do we call a hot drink made with steamed milk and espresso?;"";latte;lemonade;juice;latte
What do we call a cold sweet drink made with lemons, water, and sugar?;"";lemonade;coffee;milkshake;lemonade
What do we call the flavor of food containing a lot of sugar?;"";sweet;sour;bitter;sweet
What do we call the flavor of lemons?;"";sour;sweet;salty;sour
What do we call the flavor of coffee without sugar?;"";bitter;sweet;sour;bitter
What do we call a food containing a lot of salt?;"";salty;sweet;bitter;salty
What do we call food that causes a burning sensation in your mouth?;"";spicy;sweet;bland;spicy
