question;hint;option1;option2;option3;answer
I fed the kitten ______ he wouldn’t starve.;"";so that;so as to;such that;so that
You can stay with me ______ you don’t give me trouble.;"";provided that;in order that;so that;provided that
They rushed out ______ the alarm went off.;"";as soon as;no sooner;hardly when;as soon as
______ had I sat down to rest, than the door bell rang.;"";hardly;no sooner;scarcely;no sooner
______ the watch was expensive, I bought it.;"";even if;even though;although;even though
______ she is rich and famous, she doesn’t want to keep her old friends.;"";that;now that;if;now that
I am proud ______ the race.;"";of having won;to have won;either;either
Our team has a decent chance ______ the game.;"";of winning;to win;either;either
That movie doesn’t deserve ______.;"";watching;to watch;either;watching
He ______ up before I could say anything.;"";hanged up;hang up;hung up;hung up
He ______ saying that they were just friends.;"";kept;keeped;keep;kept
He asked what I ______.;"";mean;meant;did mean;meant
She ______ against the wall.;"";leaned;leant;either;either
It is a well ______ story.;"";wrote;written;writing;written
You didn’t speak to James, ______?;"";did you;didnt you ;hadnt you;did you
He was respected by the people with ______ he worked.;"";who;whom;that;whom
She looks older ______ she is.;"";than;then;"";than
Do you know what ______ doing?;"";you are;are you;"";you are
He jumped ______ the stream.;"";across;over;Either;either
The cat jumped ______ the wall.;"";across;over;Either ;over
______ us can come tomorrow.;"";All;All of;Either;all of
______ kids can be such a handful.;"";All;All of;Either;all
Would you like some ______. cheese?;"";more;other;"";more
The letter D comes ______. E.;"";before;in front of;Either;in front of
 am ______ than her.;"";less happy;less happier;"";less happy
He is ______ older than her.;"";much;very;Either;much
I expect them ______ in the afternoon.;"";arrive;to arrive;arriving;to arrive
I don’t remember ______ him there.;"";meeting;to meet;Either ;meeting
Can you explain ______ how to solve this problem?;"";me;to me;Either;to me
Can you ______ the bird in that nest?;"";see;watch;look;see
______! There is something here!.;"";Look;See;Watch;look
Can I have the report ready by evening? Let me ______.;"";look;see;watch;see
I will ______ that tomorrow.;"";look about;see about;watch about;see about
You should ______ a doctor.;"";see;watch;look;see
Have you ______ my cat?;"";looked;watched;seen;seen
Why are you ______ at her like that?;"";seeing;looking;watching;looking
‘Did you ______ anyone there?;"";see;look;watch;see
She is too young to ______ after her brother.;"";look;see;watch;look
If you want to lose weight, you should ______ your diet.;"";look;watch;see;watch
Have you ______ that movie?;"";watched;seen;Either;either
______ if he is inside his room.;"";See;Look;Watch;see
Dogs are ______ than cats.;"";loyal;more loyal;most loyal;more loyal
There is ______ much pessimism in his writing.;"";very;so;too;too
Why do you always disagree ______ me?;"";to;with;on;with
Is he capable ______ this himself?;"";to do;of doing;of to do;of doing
She ______ frequent visits to the library.;"";makes;is making;does;makes
She is never tired ______ me.;"";to ridicule;of ridiculing;of to ridicule;of ridiculing
______ parents often do more harm than strict parents.;"";Permissive;Permissible;Permitting;permissive
______ facing various setbacks, she persisted in her efforts to find a good job.;"";Despite;In spite of;Either;either
He jumped up, ______ his coat and rushed out.;"";wore;was wearing;wears;wore
She ______ teaching young kids.;"";enjoys;enjoys herself;is enjoying herself;enjoys
During a period of economic recession, people ______ jobs.;"";lose;loss;are losing;lose
I ______ quit if I lose the bet.;"";will;would;"";will
____________ you mind moving a bit?;"";Will;Would;"";would
I promise, I ______ not tell lies again.;"";will;would;"";will
If you do your work with utmost sincerity, you ______ be promoted.;"";will;would;"";will
When he was in college, he ______ wake up early in the morning.;"";will;would;"";would
If I knew that you were in Chicago, I ______ come and meet you.;"";will;would;"";would
I hope I ____________ pass the test.;"";will;would;"";will
I ______ wake up early unless there is a good reason to.;"";wont ; wouldnt;wont;wont
I don’t think that they ______ come.;"";will;would;"";will
‘I ______ go,’ she said.;"";will;would;"";will
I ______ find a job after I complete my studies.;"";will;would;"";will
He said that he ______ contest the verdict.;"";will;would;"";would
We often ______ for long drives on the weekend.;"";go;are going;goes;go
He ______ a lot.;"";travels;travel;is traveling;travels
Don’t disturb me now. I ______.;"";work;am working;have worked;am working
She ______ on a new project at the moment.;"";works;is working;has worked;is working
She ______ on a new project since February.;"";is working;has been working;was working;has been working
I ______ my native place next week.;"";visit;am visiting;have visited;am visiting
I ______ with a small accident in the morning.;"";met;am meeting;have met;met
When I was in Mumbai, I often ______ my uncle.;"";visited;visits;have visited;visited
I ______ yesterday’s party.;"";didnt enjoy ; dont enjoy;not enjoyed;didnt enjoy
I ______ dinner when someone rang the door bell.;"";had;was having;am having;was having
I ______ you after I reach home.;"";will phone;would phone;phone;will phone
She ______ good care of her aged parents.;"";takes;take;"";takes
We have planted ______ lilies in the garden.;"";any;some;a;some
______ there water on the moon?;"";Is;Are;"";is
______ me your pen.;"";Lend;Borrow;"";lend
Cinema is different from theatre in ______ ways.;"";any;many;much;many
I don’t ______ like strawberries.;"";much;many;"";much
She is selfish but somehow I can’t help ______ her.;"";like;liking;to like;liking
Suddenly I realized that I ______ something burning.;"";can smell;could smell;"";could smell
Then she ______ something unexpected.;"";did;made;Either;did
I really ______ when I visited Venice.;"";enjoyed;enjoyed myself;"";enjoyed myself
Is the water ______ for you?;"";enough warm;warm enough;"";warm enough
The new machine will ______ us to do more.;"";able;enable;capable;enable
Climbing mountains ______ his pastime.;"";is;are;"";is
The writer and thinker ______ no more.;"";is;are;"";is
The introduction of farm laws ______ been delayed.;"";have;has;"";has
The soldier and his wife ______ in that house.;"";live;lives;"";live
A stitch in time ______ nine.;"";save;saves;"";saves
All that ______ is not gold.;"";glitter;glitters;"";glitters
Barking dogs seldom ______.;"";bite;bites;"";bite
The manager as well as his secretary ______ being interrogated by the police.;"";are;is;"";is
The minister along with his aides ______ touring the flood affected area.;"";is;are;"";is
Many cattle ______ killed by the leopards.;"";was;were;"";were
My trousers ______ too tight for me.;"";is;are;"";are
Every citizen ______ a vote.;"";has;have;"";has
We were amazed ______ their stupendous performance.;"";at;with;of;at
He is afflicted ______ psoriasis.;"";of;with;by;with
I don’t agree ______ your argument that capitalism is bad.;"";with;to;on;with
You must apologize ______ her.;"";for;to;"";to
He is always boasting ______ his achievements.;"";of;for;with;of
Stop brooding ______ your loss.;"";of;over;with;over
We might call ______ grandma in the afternoon.;"";on;up;out;on
He has been charged ______ felony.;"";of;with;by;with
Should children be encouraged to compete ______ their peers?;"";to;with;of;with
He deals ______ glassware.;"";in;at;with;in
He never deviated ______ the path of truth and non-violence.;"";from;with;by;from
I don’t have any interest ______ cooking.;"";with;in;for;in
He worked hard so that he ______ get a promotion.;"";may;might;will;might
I had never before met ______.;"";so a beautiful girl;so beautiful a girl;such beautiful a girl;so beautiful girl
I was hungry ______ were my friends.;"";and;and as;and so;and so
He spoke in ______ a low voice that I couldn’t hear him properly.;"";so;such;that;such
I will wait until you ______.;"";will return;would return;return;return
She was watching tv ______ I was working.;"";while;when;Either ;either
I usually ______ up at 6 am but today I woke up at 7.30.                                                       ;"";wake;woke;am waking;wake
One of my friends ______ in Maldives.;"";lives;live;Either;lives
I have read almost ______ novels written by Dickens.;"";all;every;"";all
I ______ quit than continue.;"";would rather;would;rather;would rather
______ by his friends and family, he lost all hope.;"";deceiving;deceived;"";deceived
I ______ the report in the morning.;"";sent;have sent;had sent;sent
I ______ my test.;"";passed;have passed;"";have passed
His grandfather ______ last month.;"";died;has died;had died;died
He made sure that no one ______ advantage of him.;"";takes;took;has taken;took
You will get a promotion if you ______ your deadlines.;"";did not miss;do not miss;will not miss;do not miss
Suddenly I remembered that I ______ him before.;"";met;have met;had met;had met
I ______ him since January.;"";did not see;have not seen;had not seen;have not seen
He ______ 150 runs before he was bowled out.;"";took;has taken;had taken;had taken
Dad ______ for work at 8 am.;"";leaves;is leaving;has left;leaves
I usually ______ the holidays with my family.;"";spend;spends;am spending;spend
She started crying as soon as she ______ the news.;"";hears;heard;has heard;heard
I ______ some old friends at the party yesterday.;"";met;have met;"";met
She ______ some novels.;"";wrote;has written;"";has written
There ______ an explosion near the hotel at 8 am.;"";was;has been;"";was
There ______ an explosion near the hotel.;"";has been;was;"";has been
She ______ any interest in building a career.;"";never showed;has never shown;"";has never shown
I ______ him since January.;"";did not see;have not seen;had not see;have not seen
She didn’t get the promotion although she ______ it.;"";deserved;has deserved;"";deserved
Suddenly I ______ that I hadn’t locked the door.;"";realized;have realized;"";realized
The child started crying as soon as she ______ her mother.;"";saw;seen;had seen;saw
She ______ him instantly.;"";recognized;has recognized;"";recognized
The girl ______ just walked in is my niece.;"";who;which;whom;who
The woman ______ answered the phone was rather rude.;"";who;whom;which;who
The police arrested the man ______ created a scene in the mall.;"";who;whom;which;who
I bought some milk and sugar with ______ I made a dessert.;"";that;which;what;which
She was a beautiful girl ______ everybody admired.;"";who;whom;which;whom
The man ______ house had been burgled called the police.;"";whom;whose;whos;whose
I know a girl ____________ hair reaches her knee.;"";who;whose;whos;whose
The village ______ he lives is a long way from here.;"";that;where;which;where
Who is that girl ______ is sitting next to your brother?;"";who;whom;which;who
The man ______ I met in the store must be ninety or ninety-five.;"";who;whom;which;whom
The man ______ she married is a journalist.;"";who;whom;which;whom
He got the job because there weren’t ______ applicants.;"";many;few;some;many
There was too ______ work to do.;"";many;much;less;much
______ effort is required to achieve success.;"";Much;Many;Few;few
Not ______ criminals are violent.;"";all;every;each;all
He never showed ______ interest in his studies.;"";any;some;many;any
______ of the applications were turned down.;"";Most;None;Any;most
She was ______ annoyed to find him in her room.;"";much;very much;Either ;either
You eat very ______.;"";little;less;least;little
There are hardly ______ apples on that tree.;"";any;many;some;any
It is no fun having to look after too ______ kids.;"";many;much;little;many
He was ______ black and blue.;"";beat;beaten;bitten;beaten
Who ______ the door open?                                                       ;"";leave;left;leaved;left
She ______ a startling revelation.;"";made;maked;make;made
I have ______ his name.;"";forgot;forgotten;forgetted;forgotten
He has ______ another vase.;"";broke;broken;breaked;broken
The cottage was ______ to ashes.;"";burnt;burned;Either ;either
I was ______ by a loud noise.;"";awoken;awakened;Either;awoken
He ______ 100 dollars on that horse and lost his money.;"";bet;betted;Either;either
The injured man ______ to his death.;"";bleeded;bled;blooded;bled
You have ______ the wrong path.;"";chose;choosed;chosen;chosen
That watch ______ me 600 dollars.;"";cost;coast;costed;cost
Anti social elements must be severely ______ with.;"";dealt;dealed;dealted;dealt
o watch him eating really gets ______ my nerves.;"";at;on;over;on
It is nice to be sitting here ______ you.;"";with;of;to;with
Don’t make a fool ______ yourself.;"";over;of;with;of
______ no time was she aware of what was happening.;"";In;At;On;at
They may have gone out ______ now.;"";by;for;at;by
After having a baby, women may suffer ______ depression for months.;"";of;with;from;from
I may fly ______ Vienna on Monday.;"";on;to;in;to
You can’t expect people to work hard ______ no money.;"";with;for;on;for
He was respected ______ his employees.;"";with;by;for;by
Are you going to do anything about that letter ______ your bank?;"";in;from;of;from
This form should be filled in ______ ink.;"";in;with;by;in
Milk is not as ______ as honey.;"";sweet;sweeter;sweetest;sweet
My niece is ______ than me.;"";more old;older;oldest;older
You performed well but she performed even ______.;"";well;good;better;better
She was much ______ than her husband.;"";young;younger;youngest;younger
We are not as ______ as them.;"";wealthy;wealthier;wealthiest;wealthy
Solomon was ______ of all men.;"";wisest;the wisest;the wiser;the wisest
James works ______ than his brother.;"";harder;hard;the harder;harder
It was ______ day of my life.;"";the unforgettable;most unforgettable;the most unforgettable;the most unforgettable
He is ______ than his colleagues.;"";efficient;efficienter;more efficient;more efficient
He is ______ than his brothers.;"";courageous;more courageous;most courageous;more courageous
My new apartment is ______ than the old one.;"";spacious;more spacious;most spacious;more spacious
The exam was ______ than I thought.;"";tougher;more tough;toughest;tougher
The government ______ this law last week.;"";amended;has amended;have amended;amended
The university ______ in 1930.;"";founded;was found;was founded;was founded
Slavery ______ in 1865.;"";abolished;was abolished;had abolished;was abolished
She insisted that she ______ anything wrong.;"";didnt do ; hadnt done;hasnt done;hadnt done
He ______ his parents every month.;"";visits;is visiting;has visited;visits
An honest officer ______ respect.;"";is inspiring;inspires;has inspired;inspires
Every cat ______ a home.;"";deserves;is deserving;has deserved;deserves
The robbers ______ before the police arrived on the scene.;"";escaped;have escaped;had escaped;had escaped
Give me a call before you ______.;"";come;came;will come;come
I would rather you ______ for your drinks.;"";pay;paid;have paid;paid
At last he ______ a good job.;"";found;has found;had found;has found
You ______ him a liar.;"";wouldnt have called ; couldnt have called;shouldnt have called;shouldnt have called
Do you believe ______ supernatural beings?;"";in;on;at;in
Finally the police have succeeded ______ nabbing the criminal.;"";at;in;for;in
Burglars broke ______ the house when the family was away on vacation.;"";on;into;off;into
The car crashed ______ the tree.;"";at;into;on;into
His novels have been translated ______ over 60 languages.;"";for;in;into;into
Two people were killed when a car collided ______ a bus.;"";at;with;on;with
Fill the bottle ______ juice.;"";in;with;by;with
He provides the poor ______ food.;"";by;with;of;with
Nobody knows what happened ______ them.;"";for;to;at;to
We were not invited ______ their party.;"";for;to;on;to
I was so distracted and could not concentrate ______ my work.;"";for;on;at;on
She insisted ______ paying for her drinks.;"";at;on;for;on
He apologized ______a nuisance at the party.;"";to create;for creating;"";to create
I have become quite lazy. I don’t feel like ______ any work.;"";to do;doing;"";doing
The teacher encouraged the child ______ harder.;"";to work;working;"";to work
They stopped the protestors ______ their premises.;"";to enter;from entering;"";from entering
I was shocked ______ the news of his sad demise.;"";to hear;hearing;"";to hear
He stopped short ______ me a liar.;"";to call;of calling;"";of calling
They accused me ______ the trouble.;"";to create;of creating;"";of creating
I was eager ______ home.;"";going;to go;"";to go
I thanked them ______ me to their party.;"";to invite;for inviting;"";to inviting
It took him a long time but he finally succeeded ______ a good job.;"";to find;in finding;"";in finding
She insisted ______ with me.;"";to come;on coming;"";on coming
We stayed in a nice hotel. I ______ see the lake from one window and the hills from the opposite window.;"";can;could;both options;could
If you arrived in the morning, you ______ see him.;"";can;could;both options;could
She ______ read when she was three.;"";can;could;both options;could
he ______ come tomorrow.;"";can;could;both options;can
When I was younger, I ______ run for hours.;"";can;could;both options;could
The doctors tried their best but they ______ save the patient.;"";cannot;could not;both options;could not
My dad travels a lot. He ______ speak several languages.;"";can;could;both options;can
I’m afraid I ______ accept your invitation.;"";cannot;could not;both options;cannot
 wish I ______ fly.;"";can;could;both options;could
I searched the room carefully but I ______ find my passport.;"";cannot;could not;both options;could not
I ______ help you at the moment.;"";cannot;could not;Wrong!;cannot
The weather ______ change very quickly in hilly areas.;"";can;could;may;can
It is no use ______ him for help.;"";asking;to ask;"";asking
It is no good ______ to persuade him.;"";to try;trying;both options;trying
There is no point in ______ with her. You will never win.;"";to argue;arguing;both options;arguing
It is not worth ______ two thousand dollars on that used car.;"";spending;to spend;both options;spending
Is Kashmir worth ______?;"";to visit;visiting;both options;visiting
I do not lock my doors because I have nothing worth ______.;"";stealing;to steal;both options;stealing
I had no difficulty ______ his house.;"";finding;to find;both options;finding
My writing is not very good. You may have trouble ______ it.;"";to read;reading;both options;reading
When I saw James I stopped ______ Hi.;"";saying;to say;both options;to say
She does not know how ______ herself.;"";to conduct;conducting;both options;to conduct
I do not want ______ with him.;"";going;to go;both options;to go
I now regret ______ what I said.;"";saying;to say;both options;saying
Her parents do not approve ______ her lifestyle.;"";with;of;by;of
I have decided ______ quitting my job.;"";to;against;for;against
I would not dream ______ asking her out.;"";of;about;for;of
I felt ______ crying.;"";like;to;about;like
She insisted ______ coming with me.;"";on;for;to;on
He has not succeeded ______ finding a good job yet.;"";in;for;with;in
I am thinking ______ visiting Australia.;"";of;for;about;of
She accused me ______ eating her lunch.;"";with;of;from;of
Excuse me ______ being so late.;"";for;about;with;for
What prevented you ______ coming in the afternoon?;"";from;to;of;from
The headache did not stop me ______ enjoying the movie.;"";to;from;with;from
They suspected her ______ being a spy.;"";with;about;of;of
She speaks English, ______?;"";does she;does not she;has not she;does not she
You play the piano, ______?;"";do you;do not you;does not you;do not you
You locked the door, ______?;"";do you;did not you;do not you;did not you
She will come, ______?;"";will she;will not she;would not she;will not she
They never invite us, ______?;"";do they;do not they;did not they;do they
It rains in July, ______?;"";does it;does not it;do not it;does not it
She was here in the morning, ______?;"";was she;was not she;does not she;was not she
You are not coming with me, ______?;"";are you;are not you;is you;are you
She does not look happy to see us, ______?;"";does she;does not she;has not she;does she
She is rich. She has got a lot of money, ______?;"";has she;has not she;had not she;has not she
You have not got his number, ______?;"";have you;have not you;dont you;dont you
The boy was denied ______ to the school due to his poor grades.;"";admit;admission;admissible;admission
His ______ made it possible for many poor boys to attend school.;"";benevolent;benevolence;benevolently;benevolence
They settled the dispute ______.;"";amiably;amicably;amicable;amicably
Michelangelo was a painter of great ______.;"";eminent;eminence;eminently;eminence
He possessed great mental ______.;"";clarity;clarification;clear;clarity
He is very ______.;"";imaginative;imagination;imaginary;imaginative
His ______ made matters worse for him.;"";haughtiness;haughty;haughtily;haughtiness
The train was already in ______ when he jumped in.;"";motion;movement;move;motion
Poets gain ______ from nature.;"";inspire;inspiration;inspiring;inspiration
Sages of ancient India lived in ______.;"";solitude;solitary;solitudeness;solitude
______ of poverty must be the primary concern of all governments.;"";Eradication;Eradicated;"";eradication
A gentle breeze laden with ______ swept over the meadows.;"";fragrant;fragrance;"";fragrance
Things are getting worse. Something ______ before it is too late.;"";must do;must done;must be done;must be done
The lid ______.;"";should not remove;should not be removed;"";should not be removed
I ______ to wait outside.;"";told;was told;"";was told
I left my phone here and now I cannot find it. It ______.;"";must have stolen;must have been stolen;"";must have been stolen
A bridge ______ across the river.;"";is building;is being built;"";is being built
The problem ______.;"";has resolved;has been resolved;"";has been resolved
The matter ______ at the meeting.;"";will discuss;will be discussed;"";will be discussed
A decision ______ until you arrive.;"";will not take;will not be taken;will not taken;will not be taken
I think we ______.;"";are following;are being followed;"";are being followed
The parcels ______ in the morning.;"";send;were sent;were send;were sent
He ______ by a mad dog.;"";bitten;was bitten;has bitten;was bitten
A hospital ______ near the railway station.;"";is building;has built;has been built;has been built
Their apartment is on ______ fifth floor.;"";a;the;"";the
We stayed at ______ nice hotel.;"";a;an;the;a
There are millions of stars in ______ sky.;"";a;an;the;the
What did you do with ______ money I lent you?;"";a;an;the;the
We both arrived at ______ same time.;"";a;the;"";the
Why didn’t you stay at ______ better hotel?;"";a;an;the;a
Please turn off ______ television.;"";a;the;"";the
Are we doing enough to protect ______ environment?;"";a;an;the;the
It was ______ hottest day of the year.;"";a;an;the;the
I still remember ______ day when I first met him.;"";a;an;the;the
I often listen to ______ radio.;"";a;an;the;the
______ they live near me, I see them very often.;"";As;If;Though;as
______. I knew the reason, I would tell you.;"";If;Though;While;if
______ I got home, I sat down to eat something.;"";When;While;Since;when
She slipped ______ she was getting off the train.;"";as;while;both options;both options
______ I was walking down the street, I saw Joe driving his Porsche.;"";As;Since;Though;as
I couldnt contact him ______ he was on holiday.;"";as;though;if;as
______ the patient had lost a lot of blood, the doctors could not revive him.;"";As;Though;If;as
Just ______ I sat down, the doorbell rang.;"";as;if;now;as
She got married ______ she was twenty.;"";when;while;as;when
I had an accident ______ I was in Frankfurt.;"";when;as;since;when
______ it was a holiday I stayed in bed until afternoon.;"";As;While;Though;as
They are playing ______ the garden.;"";in;at;on;in
When I went ______. Italy, I spent a few days in Venice.;"";in;to;on;to
I have a friend who lives ______ the mountains.;"";on;in;at;in
There were some children swimming ______ the river.;"";at;in;on;in
Who is standing ______ the door?;"";on;at;in;at
We will get ______ the bus at the next stop.;"";off;down;from;off
There is a spider ______ the ceiling.;"";on;in;at;on
She put the basket ______ the table.;"";on;at;in;on
There is a fly ______. your nose.;"";in;on;at;on
We spent the holiday ______ an island.;"";in;on;over;on
I sat ______.the floor.;"";over;on;in;on
There are some stains ______ my shirt.;"";on;in;at;on
What do you call a woman ______ husband is dead?;"";who;whose;whom;whose
Who is that woman ______ son is your classmate?;"";who;whom;whose;whose
I know a boy ______ parents work abroad.;"";whom;who;whose;whose
I recently visited the town ______ I spent my childhood.;"";there;where;which;where
I met an old woman ______ knows your parents.;"";who;whom;whose;who
I met a man ______ wife knows me.;"";who;whose;whom;whose
I really like the people with ______ I work.;"";who;that;whom;whom
The people ______ I work with are very supportive.;"";whom;whose;that;that
Do you know the woman ______ just walked in?;"";who;whom;which;who
This is ______ I would like to spend my twilight years.;"";that;there;where;where
The train left ______ time.;"";on;in;"";on
He is never ______. time.;"";in;on;"";on
I am paid ______ the end of the month.;"";in;at;on;at
I almost crashed into the car in front. I managed to stop just ______ time.;"";on;in;at;in
Everyone applauded ______ the end of the show.;"";in;at;on;at
We could not decide where to go for our holidays. ______ the end we did not go anywhere.;"";At;In;On;in
He has ______ last found a good job.;"";at;in the;at the;at
When I eat in a restaurant with my friends, I always pay for ______.;"";me;myself;"";myself
We had a wonderful holiday. We really enjoyed ______.;"";us;ourselves;"";ourselves
She talks to ______ a lot.;"";her;herself;"";herself
You can not blame ______ for your problems.;"";me;myself;"";me
She blamed ______ for the failure.;"";her;herself;"";herself
She stood in front of the mirror and looked at ______.;"";her;herself;"";herself
The two brothers looked at ______.;"";one another;each other;"";each other
I injured ______ while I went hiking yesterday.;"";me;myself;"";myself
Why are you shouting at ______?;"";me;myself;"";me
Can you laugh at ______?;"";you;yourself;"";yourself
She criticizes ______ a lot.;"";I;me;"";me
I do not want to listen to ______.;"";you;yourself;"";you
He ______ an Irish woman.;"";married;married with;married to;married
He made us ______.;"";wait;to wait;"";wait
He went to the temple ______ foot.;"";on;by;with;on
I went to Mumbai ______ train.;"";in;on;by;by
We should not spend money ______ luxuries.;"";with;on;in;on
We ______ the matter at length.;"";discussed;discussed about;discussed on;discussed
I ______ him.;"";pitied;pitied at;pitied for;pitied
I felt pity ______ the poor boy.;"";with;for;on;for
He is angry ______ me.;"";with;on;for;with
I ______ be working late tonight.;"";will;shall;both options;both options
He ______ arrive in the afternoon.;"";will;shall;both options;will
They ______ not help us.;"";will;shall;both options;will
I think you ______ pass the test.;"";will;shall;both options;will
I hope he ______ get better soon.;"";will;shall;both options;will
______ I put the heating on?;"";shall;Will;both options;shall
Lets go for a walk, ______ we?;"";shall;will;both options;shall
We ______ probably go to France in July.;"";will;shall;both options;both options
Hurry up! We have not got ______ time to waste.;"";much;many;"";much
He spends ______ of money on gadgets.;"";much;a lot;many;a lot
______ people own cars.;"";Many;Much;A lot;many
This country does not receive ______ tourists.;"";many;much;a lot;many
