question;hint;option1;option2;option3;answer
What word describes a person who takes unnecessary risks?;"";reckless;careful;humble;reckless
What word describes a person who is very interested in learning?;"";curious;lazy;arrogant;curious
What word describes a person who wants to know everything about other people?;"";inquisitive;selfish;quiet;inquisitive
What word describes a person who is easily hurt by criticism?;"";sensitive;confident;aggressive;sensitive
What word describes a person who does not show much emotion?;"";reserved;emotional;talkative;reserved
What word describes a person who shows emotions easily?;"";emotional;reserved;stubborn;emotional
What word describes a person who is easily influenced by others?;"";impressionable;independent;confident;impressionable
What word describes a person who makes decisions without help?;"";independent;dependent;shy;independent
What word describes a person who always wants things done their way?;"";controlling;flexible;patient;controlling
What word describes a person who is willing to compromise?;"";cooperative;selfish;stubborn;cooperative
What word describes a person who works well with other people?;"";team-oriented;greedy;aggressive;team-oriented
What word describes a person who enjoys competing with others?;"";competitive;passive;quiet;competitive
What word describes a person who avoids conflict?;"";peaceful;aggressive;argumentative;peaceful
What word describes a person who likes to fight or argue?;"";aggressive;calm;polite;aggressive
What word describes a person who remains calm under pressure?;"";composed;anxious;jealous;composed
What word describes a person who is easily annoyed?;"";impatient;generous;humble;impatient
What word describes a person who waits calmly for others?;"";patient;rude;greedy;patient
What word describes a person who treats everyone equally?;"";fair;selfish;arrogant;fair
What word describes a person who does not treat people equally?;"";unfair;honest;kind;unfair
What word describes a person who is loyal to their friends?;"";loyal;jealous;careless;loyal
What word describes a person who changes friends easily?;"";disloyal;reliable;honest;disloyal
What word describes a person who keeps private information secret?;"";discreet;talkative;careless;discreet
What word describes a person who talks too much about other people's private lives?;"";gossipy;reliable;humble;gossipy
What word describes a person who enjoys helping people in need?;"";compassionate;selfish;arrogant;compassionate
What word describes a person who feels sorry for people who are suffering?;"";sympathetic;greedy;impatient;sympathetic
