question;hint;option1;option2;option3;answer
What do we call the ability to buy something and pay for it later?;"";credit;cash;deposit;credit
What do we call a person who has borrowed money?;"";borrower;customer;seller;borrower
What do we call a person or organization that lends money?;"";lender;borrower;customer;lender
What do we call money that a person has available in their bank account?;"";balance;debt;loan;balance
What do we call a financial plan for reaching a future goal?;"";savings plan;shopping list;receipt;savings plan
What do we call putting money into something with the hope of making more money?;"";investment;expense;refund;investment
What do we call something bought as an investment?;"";asset;expense;debt;asset
What do we call something valuable that a person or company owns?;"";asset;loan;expense;asset
What do we call money that a company owes?;"";liability;profit;income;liability
What do we call the total value of everything a person owns?;"";wealth;salary;expense;wealth
