question;hint;option1;option2;option3;answer
formulate means...;"";develop a plan, idea, or method carefully;destroy a plan;forget an idea;develop a plan, idea, or method carefully
foster means...;"";encourage the development of something;prevent something from developing;destroy something;encourage the development of something
fundamental means...;"";basic and extremely important;unnecessary and minor;temporary and unimportant;basic and extremely important
generate means...;"";produce or create something;remove something;hide something;produce or create something
highlight means...;"";give special attention to something;hide something from attention;remove something;give special attention to something
implement means...;"";put a plan or decision into effect;cancel a plan;discuss a plan without acting;put a plan or decision into effect
inevitable means...;"";certain to happen and impossible to avoid;very unlikely to happen;easy to prevent;certain to happen and impossible to avoid
inhibit means...;"";prevent or slow down an action;encourage an action;complete an action;prevent or slow down an action
integrate means...;"";combine different parts into a whole;separate parts completely;destroy the parts;combine different parts into a whole
interpret means...;"";explain the meaning of something;remove its meaning;hide the meaning;explain the meaning of something
intervene means...;"";become involved in a situation to change its outcome;avoid a situation completely;leave a situation immediately;become involved in a situation to change its outcome
isolate means...;"";separate something from other things;combine everything;connect two things;separate something from other things
justify means...;"";give a good reason for something;refuse to explain something;hide the reason;give a good reason for something
legitimate means...;"";reasonable or accepted by law;clearly illegal;completely impossible;reasonable or accepted by law
likewise means...;"";in a similar way;in the opposite way;at a different time;in a similar way
magnitude means...;"";the great size or importance of something;a small detail;a type of location;the great size or importance of something
manipulate means...;"";control or influence something skillfully or unfairly;avoid influencing something;destroy something immediately;control or influence something skillfully or unfairly
mediate means...;"";help two sides reach an agreement;take one side in an argument;avoid a disagreement completely;help two sides reach an agreement
minimize means...;"";reduce something to the smallest possible amount;increase something significantly;ignore something completely;reduce something to the smallest possible amount
modify means...;"";make small changes to something;destroy something entirely;leave something unchanged;make small changes to something
nevertheless means...;"";despite what has just been said;because of what was said;before something happens;despite what has just been said
notwithstanding means...;"";despite something;because something happened;before something happens;despite something
objective means...;"";a goal or something you aim to achieve;a personal emotion;a physical object;a goal or something you aim to achieve
oblige means...;"";force or require someone to do something;allow someone to refuse;help someone voluntarily;force or require someone to do something
obtain means...;"";get or acquire something;lose something;avoid something;get or acquire something
paradox means...;"";a situation that seems contradictory but may be true;a simple explanation;a financial agreement;a situation that seems contradictory but may be true
persist means...;"";continue despite difficulties;give up immediately;change direction;continue despite difficulties
plausible means...;"";seeming reasonable or possible;clearly impossible;completely unrelated;seeming reasonable or possible
precise means...;"";exact and accurate;general and vague;approximately correct;exact and accurate
preliminary means...;"";happening before the main event or action;happening after everything is finished;permanent;happening before the main event or action
presume means...;"";suppose something is true without complete proof;prove something scientifically;deny something;suppose something is true without complete proof
profound means...;"";very deep or extremely significant;very simple;slightly important;very deep or extremely significant
prominent means...;"";important and easily noticed;unimportant and hidden;ordinary and unnoticed;important and easily noticed
pursue means...;"";continue trying to achieve something;give up immediately;avoid a goal;continue trying to achieve something
rational means...;"";based on reason and logic;based only on emotion;completely random;based on reason and logic
refine means...;"";improve something by making small changes;destroy something;make something less useful;improve something by making small changes
reinforce means...;"";make something stronger;make something weaker;remove something;make something stronger
reluctant means...;"";unwilling or hesitant to do something;very eager to act;completely certain;unwilling or hesitant to do something
resemble means...;"";look or be similar to something;be completely different from something;replace something;look or be similar to something
retain means...;"";continue to have or keep something;give something away;lose something;continue to have or keep something
rigid means...;"";unable or unwilling to change;very flexible;easy to adapt;unable or unwilling to change
simulate means...;"";imitate a real situation or process;destroy a real situation;avoid reality;imitate a real situation or process
simultaneous means...;"";happening at exactly the same time;happening years apart;happening one after another;happening at exactly the same time
subsequent means...;"";happening after something else;happening before something;happening at the same time;happening after something else
substantial means...;"";large in amount or importance;very small;unimportant;large in amount or importance
sustain means...;"";continue to support or maintain something;destroy something;stop something immediately;continue to support or maintain something
transparent means...;"";open and easy to understand;secret and difficult to understand;physically heavy;open and easy to understand
undergo means...;"";experience something, especially something difficult;avoid an experience;prevent something from happening;experience something, especially something difficult
unify means...;"";bring people or things together as one;separate people;create disagreement;bring people or things together as one
unprecedented means...;"";never having happened before;happening every day;very common;never having happened before
validate means...;"";confirm that something is valid or correct;prove something is impossible;hide information;confirm that something is valid or correct
viable means...;"";capable of working successfully;impossible to complete;unnecessary;capable of working successfully
whereas means...;"";while or in contrast;because;therefore;while or in contrast
widespread means...;"";existing or happening over a large area;limited to one place;extremely rare;existing or happening over a large area
withdraw means...;"";remove or take back something;add something;increase something;remove or take back something
yield means...;"";produce a result or amount;prevent a result;destroy something;produce a result or amount
abrupt means...;"";sudden and unexpected;slow and gradual;carefully planned;sudden and unexpected
accessible means...;"";easy to reach, enter, or use;impossible to reach;restricted to one person;easy to reach, enter, or use
accommodate means...;"";adapt to meet someone's needs;refuse to change;remove someone;adapt to meet someone's needs
adverse means...;"";negative or harmful;positive and helpful;neutral;negative or harmful
affordable means...;"";reasonably priced and not too expensive;extremely expensive;impossible to buy;reasonably priced and not too expensive
aggressive means...;"";ready to attack or strongly compete;very peaceful;completely passive;ready to attack or strongly compete
alleged means...;"";claimed to be true without being proven;officially confirmed;known to be false;claimed to be true without being proven
applicable means...;"";relevant or suitable for a particular situation;completely unrelated;impossible to use;relevant or suitable for a particular situation
arrogant means...;"";believing you are better than other people;being very humble;being uncertain;believing you are better than other people
authentic means...;"";genuine and not fake;artificial;copied;genuine and not fake
beneficial means...;"";producing a positive effect;causing harm;having no effect;producing a positive effect
compelling means...;"";very convincing or powerful;weak and uninteresting;unclear;very convincing or powerful
compatible means...;"";able to exist or work well together;unable to work together;completely different;able to exist or work well together
competent means...;"";having enough skill or ability to do something;unable to perform a task;unwilling to learn;having enough skill or ability to do something
considerable means...;"";large enough to be important or noticeable;very small;unimportant;large enough to be important or noticeable
consistent means...;"";staying the same or behaving in a similar way;changing constantly;completely random;staying the same or behaving in a similar way
conventional means...;"";traditional and commonly accepted;completely new;illegal;traditional and commonly accepted
convincing means...;"";able to make someone believe something;unable to persuade anyone;unclear;able to make someone believe something
cooperative means...;"";willing to work with others;unwilling to help;competitive and hostile;willing to work with others
defensive means...;"";protecting against attack or criticism;attacking others;completely passive;protecting against attack or criticism
deliberate means...;"";done intentionally;done accidentally;done without thought;done intentionally
dependent means...;"";needing someone or something for support;completely independent;unrelated to others;needing someone or something for support
distinct means...;"";clearly different;almost identical;impossible to identify;clearly different
dramatic means...;"";very noticeable, exciting, or sudden;extremely ordinary;very slow and boring;very noticeable, exciting, or sudden
dynamic means...;"";constantly changing or developing;completely fixed;inactive;constantly changing or developing
eligible means...;"";qualified to participate or receive something;not allowed to participate;too young in every situation;qualified to participate or receive something
equivalent means...;"";equal in value or meaning;different in every way;less valuable;equal in value or meaning
excessive means...;"";more than is necessary or reasonable;less than necessary;exactly enough;more than is necessary or reasonable
exceptional means...;"";unusually excellent or impressive;very ordinary;below average;unusually excellent or impressive
exclusive means...;"";limited to a particular person or group;available to everyone;common;limited to a particular person or group
extensive means...;"";covering a large area or involving a lot;very limited;very short;covering a large area or involving a lot
fragile means...;"";easily broken or damaged;very strong;impossible to damage;easily broken or damaged
genuine means...;"";real and authentic;fake;temporary;real and authentic
gradual means...;"";happening slowly over time;happening suddenly;happening once;happening slowly over time
hostile means...;"";unfriendly or aggressive;friendly and welcoming;neutral;unfriendly or aggressive
identical means...;"";exactly the same;slightly different;completely unrelated;exactly the same
inadequate means...;"";not good enough or sufficient;more than enough;perfectly suitable;not good enough or sufficient
incredible means...;"";extremely surprising or difficult to believe;completely ordinary;very boring;extremely surprising or difficult to believe
indispensable means...;"";absolutely necessary;completely unnecessary;optional;absolutely necessary
inferior means...;"";lower in quality or status;better than everything else;equal in quality;lower in quality or status
inherent means...;"";naturally existing as part of something;added from outside;completely unrelated;naturally existing as part of something
innovative means...;"";using new ideas or methods;using only traditional methods;uncreative;using new ideas or methods
intense means...;"";very strong or extreme;very weak;barely noticeable;very strong or extreme
intricate means...;"";very complicated and detailed;very simple;unfinished;very complicated and detailed
isolated means...;"";separate from others;closely connected;surrounded by many people;separate from others
liable means...;"";likely to experience or cause something;completely unable to experience anything;certainly protected;likely to experience or cause something
mandatory means...;"";required by rules or law;optional;unnecessary;required by rules or law
marginal means...;"";very small or not central;extremely important;central to everything;very small or not central
moderate means...;"";not extreme;extremely high;extremely low;not extreme
notable means...;"";worthy of attention or notice;unimportant;impossible to see;worthy of attention or notice
objective means...;"";not influenced by personal feelings;based entirely on personal opinion;emotionally extreme;not influenced by personal feelings
persistent means...;"";continuing despite difficulty;giving up easily;changing constantly;continuing despite difficulty
potential means...;"";possible or likely to develop in the future;impossible;already finished;possible or likely to develop in the future
prevalent means...;"";common or widespread;extremely rare;completely absent;common or widespread
profound means...;"";very deep or significant;slightly important;very simple;very deep or significant
prospective means...;"";expected or likely to happen in the future;related only to the past;already completed;expected or likely to happen in the future
rational means...;"";reasonable and logical;emotional and random;completely unreasonable;reasonable and logical
reluctant means...;"";not willing to do something;very eager to do something;unable to understand;not willing to do something
remote means...;"";far away from places or people;very close;inside a city;far away from places or people
rigorous means...;"";very thorough and careful;careless and incomplete;very easy;very thorough and careful
scarce means...;"";limited and difficult to find;available everywhere;extremely common;limited and difficult to find
severe means...;"";very serious or extreme;very mild;slightly noticeable;very serious or extreme
skeptical means...;"";doubting that something is true;completely certain;very enthusiastic;doubting that something is true
stable means...;"";unlikely to change suddenly;constantly changing;dangerously unstable;unlikely to change suddenly
straightforward means...;"";simple and easy to understand;complicated and confusing;secret;simple and easy to understand
subtle means...;"";not obvious or easy to notice;extremely obvious;very loud;not obvious or easy to notice
temporary means...;"";lasting only for a limited period;lasting forever;permanent;lasting only for a limited period
thorough means...;"";complete and careful;quick and careless;partial;complete and careful
tolerant means...;"";willing to accept differences;unwilling to accept differences;very aggressive;willing to accept differences
underlying means...;"";existing beneath the surface or as a basic cause;completely unrelated;obvious on the surface;existing beneath the surface or as a basic cause
universal means...;"";existing or applying everywhere;limited to one place;applying to one person only;existing or applying everywhere
valid means...;"";reasonable, logical, or legally acceptable;clearly false;unrelated;reasonable, logical, or legally acceptable
versatile means...;"";able to be used for many different purposes;useful for only one purpose;impossible to use;able to be used for many different purposes
vital means...;"";extremely important or necessary;unimportant;optional;extremely important or necessary
volatile means...;"";likely to change suddenly and unpredictably;very stable;completely predictable;likely to change suddenly and unpredictably
vulnerable means...;"";easily harmed or affected;strongly protected;impossible to attack;easily harmed or affected
willing means...;"";ready or happy to do something;unwilling;unable;ready or happy to do something
withdrawn means...;"";quiet and not wanting to interact with others;very social;extremely aggressive;quiet and not wanting to interact with others
widespread means...;"";found in many places;found in one place;extremely rare;found in many places
wisdom means...;"";the ability to make good decisions based on experience;a lack of knowledge;a physical skill;the ability to make good decisions based on experience
workload means...;"";the amount of work a person has to do;a person's salary;a workplace;the amount of work a person has to do
workforce means...;"";all the people available to work in an organization or area;a single manager;a group of customers;all the people available to work in an organization or area
workshop means...;"";a meeting where people learn or develop skills;a large factory;a financial transaction;a meeting where people learn or develop skills
acquisition means...;"";the process of obtaining something;the process of losing something;a disagreement;the process of obtaining something
adaptation means...;"";a change made to suit a new situation;an unchanged condition;a financial loss;a change made to suit a new situation
administration means...;"";the management or organization of something;a physical object;a disagreement;the management or organization of something
advocacy means...;"";public support for a particular idea or cause;strong opposition;a private conversation;public support for a particular idea or cause
assumption means...;"";something accepted as true without proof;a proven fact;a financial result;something accepted as true without proof
awareness means...;"";knowledge or understanding of something;a lack of interest;a physical object;knowledge or understanding of something
capacity means...;"";the maximum amount something can contain or handle;a financial loss;a personal opinion;the maximum amount something can contain or handle
commitment means...;"";a promise or dedication to something;a refusal;a temporary interest;a promise or dedication to something
competence means...;"";the ability to do something successfully;a lack of skill;a financial problem;the ability to do something successfully
complexity means...;"";the state of having many complicated parts;complete simplicity;a physical size;the state of having many complicated parts
concession means...;"";something given up in order to reach an agreement;a demand that cannot change;a celebration;something given up in order to reach an agreement
conclusion means...;"";a decision or opinion reached after consideration;the beginning of a process;a question;a decision or opinion reached after consideration
constraint means...;"";a limitation or restriction;a reward;a new opportunity;a limitation or restriction
controversy means...;"";a disagreement that attracts public attention;a private agreement;a simple fact;a disagreement that attracts public attention
coordination means...;"";the organization of different activities so they work together;a complete separation;a financial payment;the organization of different activities so they work together
criterion means...;"";a standard used to judge or decide something;a personal preference;a physical object;a standard used to judge or decide something
deficiency means...;"";a lack of something necessary;an excess of something;a financial reward;a lack of something necessary
demonstration means...;"";an explanation or display showing how something works;a private conversation;a financial payment;an explanation or display showing how something works
discrimination means...;"";unfair treatment based on a particular characteristic;equal treatment;an agreement;unfair treatment based on a particular characteristic
distinction means...;"";a clear difference between two things;a similarity;a connection;a clear difference between two things
diversity means...;"";the presence of many different types or groups;complete uniformity;a single category;the presence of many different types or groups
dominance means...;"";the state of having control or greater influence;the state of being powerless;a temporary disagreement;the state of having control or greater influence
emphasis means...;"";special importance given to something;a lack of attention;a financial cost;special importance given to something
framework means...;"";a basic structure used to organize something;a finished product;a personal opinion;a basic structure used to organize something
hypothesis means...;"";an idea or explanation that can be tested;a proven fact;a random opinion;an idea or explanation that can be tested
implication means...;"";a possible effect or meaning of something;a physical object;a direct payment;a possible effect or meaning of something
incentive means...;"";something that encourages someone to act;a punishment;a physical obstacle;something that encourages someone to act
indicator means...;"";something that shows a condition or change;a financial payment;a personal opinion;something that shows a condition or change
inequality means...;"";a lack of equality;complete equality;a physical difference;a lack of equality
innovation means...;"";a new idea, method, or product;an old tradition;a financial loss;a new idea, method, or product
intervention means...;"";involvement in a situation to change its outcome;complete avoidance;a financial transaction;involvement in a situation to change its outcome
interpretation means...;"";an explanation of the meaning of something;a physical object;a financial payment;an explanation of the meaning of something
investigation means...;"";a detailed examination to discover facts;a celebration;a financial transaction;a detailed examination to discover facts
limitation means...;"";something that restricts what can be done;a new opportunity;a reward;something that restricts what can be done
mechanism means...;"";a system that explains how something works;a personal opinion;a financial payment;a system that explains how something works
motivation means...;"";the reason or desire that makes someone act;a physical object;a financial loss;the reason or desire that makes someone act
obstacle means...;"";something that makes progress difficult;a reward;a shortcut;something that makes progress difficult
perspective means...;"";a particular way of considering something;a physical object;a financial payment;a particular way of considering something
priority means...;"";something considered more important than other things;a minor detail;a physical location;something considered more important than other things
proportion means...;"";the relationship between the sizes or amounts of things;a personal opinion;a financial loss;the relationship between the sizes or amounts of things
rationale means...;"";the reason or explanation behind a decision;a physical object;a financial payment;the reason or explanation behind a decision
relevance means...;"";the quality of being connected to a subject;complete irrelevance;a financial result;the quality of being connected to a subject
restriction means...;"";a rule or condition that limits something;a reward;a new opportunity;a rule or condition that limits something
scenario means...;"";a possible situation or sequence of events;a physical object;a financial payment;a possible situation or sequence of events
scope means...;"";the range or extent of something;a single detail;a financial result;the range or extent of something
stance means...;"";a particular attitude or position on an issue;a physical object;a financial payment;a particular attitude or position on an issue
substitute means...;"";a person or thing used instead of another;an additional problem;a financial loss;a person or thing used instead of another
sustainability means...;"";the ability to continue without causing serious damage;temporary success;a financial loss;the ability to continue without causing serious damage
tendency means...;"";a usual tendency or inclination to behave in a certain way;a single accident;a financial payment;a usual tendency or inclination to behave in a certain way
transformation means...;"";a complete change in form or appearance;a minor mistake;a financial transaction;a complete change in form or appearance
transparency means...;"";openness and clarity;secrecy and confusion;a financial loss;openness and clarity
uncertainty means...;"";the state of not being sure;complete confidence;a physical object;the state of not being sure
variation means...;"";a difference or change from the usual form;complete equality;a financial result;a difference or change from the usual form
barrier means...;"";something that prevents movement or progress;a reward;a shortcut;something that prevents movement or progress
burden means...;"";a heavy responsibility or problem;a reward;a simple task;a heavy responsibility or problem
capacity means...;"";the ability to do or contain a certain amount;a financial loss;a personal opinion;the ability to do or contain a certain amount
challenge means...;"";a difficult task that tests ability;something effortless;a reward;a difficult task that tests ability
circumstance means...;"";a condition affecting a situation;a physical object;a financial payment;a condition affecting a situation
consequence means...;"";a result of an action;a cause;a question;a result of an action
crisis means...;"";a serious situation requiring urgent action;a celebration;a routine event;a serious situation requiring urgent action
dilemma means...;"";a difficult choice between two or more options;a simple decision;a financial reward;a difficult choice between two or more options
drawback means...;"";a disadvantage or negative feature;an advantage;a reward;a disadvantage or negative feature
outset means...;"";the beginning of something;the middle of something;the end of something;the beginning of something
outcome means...;"";the final result of something;the beginning;a question;the final result of something
pitfall means...;"";a hidden problem or danger;a reward;a shortcut;a hidden problem or danger
prospect means...;"";the possibility or likelihood of something happening;a guaranteed result;a physical object;the possibility or likelihood of something happening
shortage means...;"";a lack of something needed;an excess of something;a reward;a lack of something needed
stance means...;"";an opinion or position on an issue;a financial payment;a physical object;an opinion or position on an issue
threshold means...;"";the point at which something begins or changes;a final result;a physical object;the point at which something begins or changes
turnover means...;"";the amount of business done or the rate at which employees leave;a personal opinion;a physical object;the amount of business done or the rate at which employees leave
upside means...;"";a positive aspect or advantage;a disadvantage;a financial loss;a positive aspect or advantage
vulnerability means...;"";the state of being easily harmed or attacked;complete protection;a financial reward;the state of being easily harmed or attacked
accordingly means...;"";in a way that is appropriate to the situation;completely randomly;before something happens;in a way that is appropriate to the situation
albeit means...;"";although;because;therefore;although
consequently means...;"";as a result;in contrast;before that;as a result
conversely means...;"";in the opposite way;similarly;at the same time;in the opposite way
furthermore means...;"";in addition;however;instead;in addition
hence means...;"";for this reason;in spite of this;at the beginning;for this reason
likewise means...;"";in the same way;in the opposite way;at a later time;in the same way
moreover means...;"";in addition to what has been said;in contrast;as a result of failure;in addition to what has been said
otherwise means...;"";if not or in another way;for this reason;at the same time;if not or in another way
regardless means...;"";without being affected by something;because of something;only if something happens;without being affected by something
thereby means...;"";as a result of that;before that;despite that;as a result of that
therefore means...;"";for that reason;in contrast;although;for that reason
whereby means...;"";by which or through which;before which;against which;by which or through which
allegedly means...;"";according to what has been claimed but not proven;according to official proof;without any claim;according to what has been claimed but not proven
approximately means...;"";roughly or nearly;exactly;completely differently;roughly or nearly
considerably means...;"";by a large amount or degree;by a tiny amount;not at all;by a large amount or degree
deliberately means...;"";intentionally;accidentally;without thinking;intentionally
eventually means...;"";in the end;immediately;never;in the end
frequently means...;"";often;rarely;never;often
merely means...;"";only or simply;extremely;completely;only or simply
necessarily means...;"";as a necessary result or requirement;possibly not;by accident;as a necessary result or requirement
predominantly means...;"";mostly or mainly;rarely;equally;mostly or mainly
relatively means...;"";to a certain degree when compared with something else;absolutely;never;to a certain degree when compared with something else
roughly means...;"";approximately;exactly;never;approximately
solely means...;"";only;partly;rarely;only
specifically means...;"";in a precise or particular way;generally;randomly;in a precise or particular way
subsequently means...;"";after something else happened;before something happened;at the same time;after something else happened
ultimately means...;"";finally or in the end;at the beginning;temporarily;finally or in the end
virtually means...;"";almost or nearly;physically;never;almost or nearly
adequately means...;"";well enough for a particular purpose;insufficiently;excessively;well enough for a particular purpose
apparently means...;"";according to what seems true;according to definite proof;never;according to what seems true
approximately means...;"";nearly but not exactly;exactly;completely;nearly but not exactly
deliberately means...;"";on purpose;by accident;without awareness;on purpose
entirely means...;"";completely;partly;rarely;completely
essentially means...;"";basically or fundamentally;accidentally;temporarily;basically or fundamentally
eventually means...;"";after some time;immediately;before anything happens;after some time
extremely means...;"";to a very high degree;slightly;moderately;to a very high degree
increasingly means...;"";more and more;less and less;never;more and more
largely means...;"";mostly;rarely;not at all;mostly
mainly means...;"";mostly or chiefly;partly;rarely;mostly or chiefly
merely means...;"";simply or only;especially;completely;simply or only
nearly means...;"";almost but not quite;exactly;completely;almost but not quite
notably means...;"";in a way that is especially noticeable;secretly;rarely;in a way that is especially noticeable
partially means...;"";only partly;completely;never;only partly
potentially means...;"";possibly in the future;definitely in the past;never;possibly in the future
primarily means...;"";mainly or chiefly;rarely;secondarily only;mainly or chiefly
relatively means...;"";when compared with something else;absolutely;never;when compared with something else
roughly means...;"";approximately;precisely;completely;approximately
significantly means...;"";in an important or noticeable way;slightly;secretly;in an important or noticeable way
strongly means...;"";with considerable force or intensity;weakly;rarely;with considerable force or intensity
temporarily means...;"";for a limited time;permanently;forever;for a limited time
typically means...;"";in the usual way;rarely;abnormally;in the usual way
virtually means...;"";almost;physically;never;almost
abandonment means...;"";the act of leaving something or someone completely;a successful beginning;a financial investment;the act of leaving something or someone completely
achievement means...;"";something successfully completed or obtained;a failure;a delay;something successfully completed or obtained
adjustment means...;"";a small change made to improve something;a complete destruction;a refusal;a small change made to improve something
advantage means...;"";a condition that gives you a better chance of success;a disadvantage;a failure;a condition that gives you a better chance of success
alternative means...;"";another possibility or choice;the only possible answer;a financial problem;another possibility or choice
anxiety means...;"";a feeling of worry or nervousness;a feeling of complete relaxation;a physical injury;a feeling of worry or nervousness
barrier means...;"";something that blocks movement or progress;a reward;a shortcut;something that blocks movement or progress
capability means...;"";the ability to do something;the inability to act;a financial problem;the ability to do something
clarification means...;"";an explanation that makes something clearer;a disagreement;a financial payment;an explanation that makes something clearer
collaboration means...;"";the act of working together;a competition;a disagreement;the act of working together
commitment means...;"";a strong promise or dedication;a refusal;a temporary interest;a strong promise or dedication
comparison means...;"";an examination of how things are similar or different;a financial transaction;a physical object;an examination of how things are similar or different
competitor means...;"";a person or organization trying to win against others;a customer;a manager;a person or organization trying to win against others
contradiction means...;"";a statement that conflicts with another statement;an agreement;a celebration;a statement that conflicts with another statement
cooperation means...;"";the act of working together;a disagreement;a competition;the act of working together
criticism means...;"";comments expressing disapproval or judgment;a reward;a celebration;comments expressing disapproval or judgment
decline means...;"";a reduction or decrease;an increase;a reward;a reduction or decrease
disadvantage means...;"";a condition that makes success more difficult;an advantage;a reward;a condition that makes success more difficult
distinction means...;"";a difference that makes two things separate;a similarity;a connection;a difference that makes two things separate
distribution means...;"";the way something is shared or spread;the way something is destroyed;a financial loss;the way something is shared or spread
efficiency means...;"";the ability to achieve results without wasting resources;the inability to work;excessive spending;the ability to achieve results without wasting resources
expectation means...;"";a belief about what will happen;a fact about the past;a financial loss;a belief about what will happen
exposure means...;"";the state of being open to something;complete protection;a financial reward;the state of being open to something
foundation means...;"";the basic support or basis of something;a final result;a temporary problem;the basic support or basis of something
guidance means...;"";advice or information intended to help someone;a punishment;a financial payment;advice or information intended to help someone
influence means...;"";the power to affect someone or something;a physical object;a financial payment;the power to affect someone or something
initiative means...;"";a new plan intended to solve a problem or achieve a goal;a refusal;a financial loss;a new plan intended to solve a problem or achieve a goal
intensity means...;"";the degree of strength or force;a lack of activity;a financial result;the degree of strength or force
interaction means...;"";communication or action between people or things;a physical object;a financial payment;communication or action between people or things
motivation means...;"";a reason that causes someone to act;a physical object;a financial loss;a reason that causes someone to act
obligation means...;"";a duty to do something;a reward;a personal preference;a duty to do something
participation means...;"";the act of taking part in something;the act of avoiding something;a financial payment;the act of taking part in something
permission means...;"";approval to do something;a refusal;a punishment;approval to do something
prediction means...;"";a statement about what is expected to happen;a description of the past;a financial transaction;a statement about what is expected to happen
preference means...;"";a greater liking for one option than another;a disagreement;a financial loss;a greater liking for one option than another
priority means...;"";something treated as more important than other things;a minor detail;a physical object;something treated as more important than other things
prohibition means...;"";an official rule that prevents something;a reward;a suggestion;an official rule that prevents something
recommendation means...;"";advice about what someone should choose or do;a complaint;a financial payment;advice about what someone should choose or do
requirement means...;"";something that must be done or provided;a reward;a personal preference;something that must be done or provided
restriction means...;"";a limit placed on something;an opportunity;a reward;a limit placed on something
selection means...;"";the process of choosing something;a financial loss;a disagreement;the process of choosing something
significance means...;"";importance or meaning;a lack of value;a physical size;importance or meaning
substitution means...;"";the use of one thing instead of another;a financial loss;a disagreement;the use of one thing instead of another
tendency means...;"";a tendency or habit of behaving in a particular way;a single accident;a financial payment;a tendency or habit of behaving in a particular way
transition means...;"";the process of changing from one state to another;a permanent condition;a financial transaction;the process of changing from one state to another
uncertainty means...;"";a lack of certainty or confidence;complete knowledge;a financial reward;a lack of certainty or confidence
variation means...;"";a difference from the usual form;a complete copy;a financial result;a difference from the usual form
