question;hint;option1;option2;option3;answer
notion means...;"";an idea or belief;a physical object;a financial payment;an idea or belief
objective means...;"";a goal or desired result;a personal feeling;a physical object;a goal or desired result
obstacle means...;"";something that prevents progress;a reward;a shortcut;something that prevents progress
outcome means...;"";the final result of an action or event;the beginning of an event;a question;the final result of an action or event
perspective means...;"";a particular way of viewing something;a physical object;a financial payment;a particular way of viewing something
phenomenon means...;"";an event or fact that can be observed;a personal opinion;a financial transaction;an event or fact that can be observed
priority means...;"";something considered more important than others;a minor detail;a physical object;something considered more important than others
procedure means...;"";an established way of doing something;a personal opinion;a financial result;an established way of doing something
proportion means...;"";the relationship between amounts or parts;a personal opinion;a financial payment;the relationship between amounts or parts
rationale means...;"";the reason behind a decision;a physical object;a financial reward;the reason behind a decision
scenario means...;"";a possible situation or sequence of events;a physical object;a financial payment;a possible situation or sequence of events
scope means...;"";the range or extent of something;a single detail;a financial loss;the range or extent of something
stance means...;"";an attitude or position on an issue;a physical object;a financial payment;an attitude or position on an issue
strategy means...;"";a plan designed to achieve a goal;a mistake;a physical object;a plan designed to achieve a goal
tactic means...;"";a specific action used to achieve a goal;a long-term result;a financial loss;a specific action used to achieve a goal
threshold means...;"";the point at which something begins or changes;a final result;a physical object;the point at which something begins or changes
trajectory means...;"";the path followed by a moving object or process;a financial payment;a fixed position;the path followed by a moving object or process
trend means...;"";a general direction of development;a sudden accident;a financial payment;a general direction of development
understanding means...;"";knowledge of the meaning or nature of something;a lack of knowledge;a physical object;knowledge of the meaning or nature of something
validity means...;"";the quality of being logically or legally acceptable;a financial payment;a physical object;the quality of being logically or legally acceptable
