question;hint;option1;option2;option3;answer
verify means...;"";check that something is true or accurate;make something uncertain;hide information;check that something is true or accurate
withdraw means...;"";take back or remove something;add something;increase something;take back or remove something
yield means...;"";produce a result or amount;destroy a result;prevent production;produce a result or amount
abundant means...;"";existing in large quantities;very rare;almost nonexistent;existing in large quantities
accurate means...;"";correct and exact;wrong and unclear;uncertain;correct and exact
adequate means...;"";good enough for a particular purpose;completely insufficient;unnecessary;good enough for a particular purpose
apparent means...;"";easy to notice or understand;completely hidden;impossible to understand;easy to notice or understand
beneficial means...;"";having a useful or positive effect;causing damage;having no effect;having a useful or positive effect
compelling means...;"";very convincing or powerful;uninteresting;weak and unclear;very convincing or powerful
consistent means...;"";always behaving or happening in a similar way;constantly changing;completely random;always behaving or happening in a similar way
contemporary means...;"";belonging to the present time;belonging to ancient times;belonging to the future only;belonging to the present time
controversial means...;"";causing disagreement or argument;accepted by everyone;completely unimportant;causing disagreement or argument
crucial means...;"";extremely important;unnecessary;minor;extremely important
diverse means...;"";including many different types;all the same;very limited;including many different types
efficient means...;"";working well without wasting resources;working badly;working very slowly;working well without wasting resources
equivalent means...;"";equal in value or meaning;completely different;less important;equal in value or meaning
ethical means...;"";related to principles of right and wrong;illegal in every situation;financial;related to principles of right and wrong
explicit means...;"";clear and direct;unclear and indirect;secret;clear and direct
feasible means...;"";possible and practical;impossible;unnecessary;possible and practical
fundamental means...;"";basic and essential;unimportant;temporary;basic and essential
inevitable means...;"";certain to happen;unlikely to happen;easy to prevent;certain to happen
innovative means...;"";introducing new ideas or methods;using only old methods;uncreative;introducing new ideas or methods
legitimate means...;"";reasonable or legally accepted;illegal or false;unnecessary;reasonable or legally accepted
mutual means...;"";shared by two or more people;belonging to only one person;completely private;shared by two or more people
precise means...;"";exact and accurate;general and unclear;approximately correct;exact and accurate
relevant means...;"";closely connected with the subject;unrelated;unnecessary;closely connected with the subject
significant means...;"";important or noticeable;very small and unimportant;invisible;important or noticeable
substantial means...;"";large or considerable;very small;imaginary;large or considerable
valid means...;"";reasonable or logically correct;clearly false;illegal;reasonable or logically correct
vulnerable means...;"";easily harmed or attacked;strongly protected;impossible to hurt;easily harmed or attacked
widespread means...;"";found in many places;found nowhere;found in one small place;found in many places
bias means...;"";an unfair preference for one side;a completely neutral opinion;a physical object;an unfair preference for one side
capacity means...;"";the ability or amount that something can contain;a financial loss;a personal opinion;the ability or amount that something can contain
circumstance means...;"";a condition affecting a situation;a physical object;a type of job;a condition affecting a situation
commitment means...;"";a promise or strong dedication to something;a refusal;a temporary interest;a promise or strong dedication to something
concept means...;"";an idea or general understanding;a physical object;a financial payment;an idea or general understanding
constraint means...;"";a limit or restriction;a reward;a new opportunity;a limit or restriction
context means...;"";the situation surrounding an event or statement;a person's salary;a physical object;the situation surrounding an event or statement
criterion means...;"";a standard used to judge something;a random opinion;a financial payment;a standard used to judge something
debate means...;"";a formal discussion involving different opinions;a private conversation;a celebration;a formal discussion involving different opinions
dimension means...;"";a measurable aspect such as length or size;a personal opinion;a financial result;a measurable aspect such as length or size
dispute means...;"";an argument or disagreement;a celebration;an agreement;an argument or disagreement
diversity means...;"";the presence of many different types;complete similarity;a lack of options;the presence of many different types
emphasis means...;"";special importance given to something;a lack of attention;a financial payment;special importance given to something
framework means...;"";a basic structure supporting something;a finished product;a personal opinion;a basic structure supporting something
impact means...;"";a strong effect on something;a small object;a financial payment;a strong effect on something
insight means...;"";a deep understanding of something;a lack of knowledge;a physical object;a deep understanding of something
intention means...;"";a plan or purpose;a mistake;a financial loss;a plan or purpose
issue means...;"";a problem or important topic;a reward;a physical object;a problem or important topic
mechanism means...;"";a system or process that makes something happen;a personal opinion;a financial payment;a system or process that makes something happen
notion means...;"";an idea or belief;a physical object;a job;a idea or belief
objective means...;"";a goal or purpose;a mistake;a financial loss;a goal or purpose
outcome means...;"";the final result of an action or process;the beginning of a process;a question;the final result of an action or process
perspective means...;"";a particular way of viewing something;a physical object;a financial payment;a particular way of viewing something
priority means...;"";something considered more important than other things;something completely unnecessary;a physical location;something considered more important than other things
procedure means...;"";an established way of doing something;a random action;a financial payment;an established way of doing something
principle means...;"";a basic rule or belief;a physical object;a temporary event;a basic rule or belief
proportion means...;"";the relationship between amounts or parts;a personal opinion;a physical location;the relationship between amounts or parts
rational means...;"";based on reason and logic;based on emotion only;completely random;based on reason and logic
sequence means...;"";a series of things in a particular order;a single object;a financial payment;a series of things in a particular order
strategy means...;"";a plan designed to achieve a goal;a mistake;a physical object;a plan designed to achieve a goal
trend means...;"";a general direction in which something is developing;a sudden accident;a financial payment;a general direction in which something is developing
version means...;"";a particular form of something that differs from others;a physical object;a personal opinion;a particular form of something that differs from others
welfare means...;"";health, happiness, or well-being;a financial loss;a physical object;health, happiness, or well-being
workload means...;"";the amount of work someone has to do;a person's salary;a holiday schedule;the amount of work someone has to do
workplace means...;"";the place where someone works;a person's home;a financial institution;the place where someone works
deadline means...;"";the latest time by which something must be completed;the beginning of a project;a holiday;the latest time by which something must be completed
feedback means...;"";comments or information about how well something was done;a financial payment;a physical object;comments or information about how well something was done
guideline means...;"";a general rule or instruction;a strict punishment;a financial payment;a general rule or instruction
requirement means...;"";something that is necessary;a reward;a personal opinion;something that is necessary
responsibility means...;"";a duty that someone is expected to handle;a holiday;a financial reward;a duty that someone is expected to handle
priority means...;"";something more important than other things;a minor detail;a physical object;something more important than other things
procedure means...;"";a series of actions used to do something;a personal opinion;a financial result;a series of actions used to do something
