Choose the synonym of "true";"";genuine;false;fake;genuine
Choose the synonym of "false";"";untrue;genuine;authentic;untrue
Choose the synonym of "real";"";genuine;fake;artificial;genuine
Choose the synonym of "fake";"";counterfeit;genuine;authentic;counterfeit
Choose the synonym of "begin";"";start;finish;end;start
Choose the synonym of "finish";"";complete;begin;start;complete
Choose the synonym of "help";"";assist;hinder;prevent;assist
Choose the synonym of "hinder";"";obstruct;assist;support;obstruct
Choose the synonym of "buy";"";purchase;sell;borrow;purchase
Choose the synonym of "sell";"";trade;buy;borrow;trade
Choose the synonym of "give";"";provide;take;remove;provide
Choose the synonym of "take";"";receive;give;offer;receive
Choose the synonym of "keep";"";retain;remove;discard;retain
Choose the synonym of "remove";"";eliminate;keep;retain;eliminate
Choose the synonym of "show";"";display;hide;conceal;display
Choose the synonym of "hide";"";conceal;display;reveal;conceal
Choose the synonym of "find";"";discover;lose;forget;discover
Choose the synonym of "lose";"";misplace;find;discover;misplace
Choose the synonym of "look";"";observe;ignore;forget;observe
Choose the synonym of "see";"";notice;ignore;hide;notice
Choose the synonym of "say";"";state;hide;remove;state
Choose the synonym of "tell";"";inform;conceal;forget;inform
Choose the synonym of "ask";"";inquire;answer;refuse;inquire
Choose the synonym of "answer";"";respond;question;ignore;respond
Choose the synonym of "think";"";consider;forget;ignore;consider
Choose the synonym of "understand";"";comprehend;confuse;forget;comprehend
Choose the synonym of "remember";"";recall;forget;ignore;recall
Choose the synonym of "forget";"";overlook;remember;recall;overlook
Choose the synonym of "need";"";require;offer;provide;require
Choose the synonym of "want";"";desire;refuse;avoid;desire
Choose the synonym of "like";"";enjoy;hate;avoid;enjoy
Choose the synonym of "hate";"";detest;love;admire;detest
Choose the synonym of "love";"";adore;hate;dislike;adore
Choose the synonym of "start";"";commence;finish;stop;commence
Choose the synonym of "stop";"";cease;continue;begin;cease
Choose the synonym of "continue";"";proceed;stop;finish;proceed
Choose the synonym of "change";"";alter;maintain;preserve;alter
Choose the synonym of "improve";"";enhance;damage;worsen;enhance
Choose the synonym of "worsen";"";deteriorate;improve;enhance;deteriorate
Choose the synonym of "increase";"";rise;decrease;reduce;rise
Choose the synonym of "decrease";"";decline;increase;expand;decline
Choose the synonym of "reduce";"";diminish;increase;expand;diminish
Choose the synonym of "expand";"";enlarge;reduce;shrink;enlarge
Choose the synonym of "build";"";construct;destroy;demolish;construct
Choose the synonym of "destroy";"";demolish;build;create;demolish
Choose the synonym of "create";"";produce;destroy;remove;produce
Choose the synonym of "repair";"";fix;damage;break;fix
Choose the synonym of "damage";"";harm;repair;restore;harm
Choose the synonym of "protect";"";defend;attack;expose;defend
Choose the synonym of "attack";"";assault;defend;protect;assault
Choose the synonym of "avoid";"";evade;approach;accept;evade
Choose the synonym of "escape";"";flee;remain;stay;flee
Choose the synonym of "return";"";come back;depart;leave;come back
Choose the synonym of "leave";"";depart;arrive;enter;depart
Choose the synonym of "arrive";"";reach;leave;depart;reach
Choose the synonym of "enter";"";go in;exit;leave;go in
Choose the synonym of "exit";"";leave;enter;arrive;leave
Choose the synonym of "travel";"";journey;stay;remain;journey
Choose the synonym of "walk";"";stroll;run;fly;stroll
Choose the synonym of "run";"";sprint;walk;stand;sprint
Choose the synonym of "talk";"";converse;listen;remain silent;converse
Choose the synonym of "listen";"";hear;ignore;speak;hear
Choose the synonym of "watch";"";observe;ignore;avoid;observe
Choose the synonym of "wait";"";remain;leave;depart;remain
Choose the synonym of "hurry";"";rush;delay;wait;rush
Choose the synonym of "choose";"";select;reject;ignore;select
Choose the synonym of "reject";"";refuse;accept;approve;refuse
Choose the synonym of "accept";"";agree;reject;deny;agree
Choose the synonym of "allow";"";permit;forbid;prevent;permit
Choose the synonym of "forbid";"";prohibit;allow;permit;prohibit
Choose the synonym of "require";"";demand;offer;provide;demand
Choose the synonym of "offer";"";propose;refuse;reject;propose
Choose the synonym of "suggest";"";recommend;reject;prevent;recommend
Choose the synonym of "recommend";"";advise;discourage;ignore;advise
Choose the synonym of "advise";"";counsel;confuse;mislead;counsel
Choose the synonym of "decide";"";determine;hesitate;doubt;determine
Choose the synonym of "hesitate";"";waver;decide;act;waver
Choose the synonym of "try";"";attempt;avoid;refuse;attempt
Choose the synonym of "achieve";"";accomplish;fail;lose;accomplish
Choose the synonym of "fail";"";collapse;succeed;achieve;collapse
Choose the synonym of "succeed";"";prosper;fail;decline;prosper
Choose the synonym of "win";"";triumph;lose;fail;triumph
Choose the synonym of "lose";"";surrender;win;triumph;surrender
Choose the synonym of "solve";"";resolve;create;complicate;resolve
Choose the synonym of "explain";"";clarify;confuse;hide;clarify
Choose the synonym of "confuse";"";bewilder;clarify;explain;bewilder
Choose the synonym of "describe";"";depict;hide;ignore;depict
Choose the synonym of "discover";"";uncover;hide;lose;uncover
Choose the synonym of "invent";"";devise;copy;destroy;devise
Choose the synonym of "develop";"";evolve;destroy;reduce;evolve
Choose the synonym of "prepare";"";arrange;neglect;delay;arrange
Choose the synonym of "organize";"";arrange;disorder;destroy;arrange
Choose the synonym of "plan";"";schedule;improvise;forget;schedule
Choose the synonym of "manage";"";handle;ignore;lose;handle
Choose the synonym of "control";"";regulate;release;ignore;regulate
Choose the synonym of "lead";"";guide;follow;avoid;guide
Choose the synonym of "follow";"";pursue;lead;escape;pursue
Choose the synonym of "support";"";back;oppose;attack;back
Choose the synonym of "oppose";"";resist;support;accept;resist
Choose the synonym of "agree";"";concur;disagree;reject;concur
Choose the synonym of "disagree";"";differ;agree;accept;differ
Choose the synonym of "discuss";"";debate;ignore;avoid;debate
Choose the synonym of "argue";"";dispute;agree;accept;dispute
Choose the synonym of "complain";"";protest;praise;approve;protest
Choose the synonym of "praise";"";commend;criticize;blame;commend
Choose the synonym of "criticize";"";condemn;praise;support;condemn
Choose the synonym of "blame";"";accuse;praise;defend;accuse
Choose the synonym of "forgive";"";pardon;punish;blame;pardon
Choose the synonym of "punish";"";penalize;reward;forgive;penalize
Choose the synonym of "reward";"";recompense;punish;blame;recompense
Choose the synonym of "trust";"";rely on;doubt;avoid;rely on
Choose the synonym of "doubt";"";question;trust;accept;question
Choose the synonym of "believe";"";trust;doubt;reject;trust
Choose the synonym of "prove";"";demonstrate;hide;deny;demonstrate
Choose the synonym of "deny";"";refute;confirm;accept;refute
Choose the synonym of "confirm";"";verify;deny;question;verify
Choose the synonym of "check";"";verify;ignore;forget;verify
Choose the synonym of "examine";"";inspect;ignore;avoid;inspect
Choose the synonym of "inspect";"";scrutinize;ignore;accept;scrutinize
Choose the synonym of "analyze";"";evaluate;ignore;destroy;evaluate
Choose the synonym of "evaluate";"";assess;ignore;remove;assess
Choose the synonym of "compare";"";contrast;separate;ignore;contrast
Choose the synonym of "include";"";contain;exclude;remove;contain
Choose the synonym of "exclude";"";omit;include;add;omit
Choose the synonym of "contain";"";hold;release;remove;hold
Choose the synonym of "replace";"";substitute;keep;retain;substitute
Choose the synonym of "remove";"";eliminate;retain;keep;eliminate
Choose the synonym of "collect";"";gather;scatter;lose;gather
Choose the synonym of "gather";"";assemble;scatter;divide;assemble
Choose the synonym of "separate";"";divide;join;combine;divide
Choose the synonym of "join";"";connect;separate;divide;connect
Choose the synonym of "connect";"";link;disconnect;separate;link
Choose the synonym of "disconnect";"";detach;connect;join;detach
Choose the synonym of "combine";"";merge;separate;divide;merge
Choose the synonym of "divide";"";split;combine;join;split
Choose the synonym of "share";"";distribute;keep;hide;distribute
Choose the synonym of "hide";"";conceal;reveal;show;conceal
Choose the synonym of "reveal";"";disclose;hide;conceal;disclose
Choose the synonym of "publish";"";release;hide;withdraw;release
Choose the synonym of "cancel";"";call off;continue;start;call off
Choose the synonym of "delay";"";postpone;hurry;accelerate;postpone
Choose the synonym of "hurry";"";accelerate;delay;stop;accelerate
Choose the synonym of "finish";"";conclude;begin;start;conclude
Choose the synonym of "conclude";"";end;start;continue;end
Choose the synonym of "continue";"";maintain;stop;end;maintain
Choose the synonym of "remain";"";stay;leave;depart;stay
Choose the synonym of "move";"";relocate;stay;remain;relocate
Choose the synonym of "return";"";restore;remove;destroy;restore
Choose the synonym of "use";"";utilize;waste;ignore;utilize
Choose the synonym of "waste";"";squander;save;conserve;squander
Choose the synonym of "save";"";conserve;waste;spend;conserve
Choose the synonym of "spend";"";expend;save;keep;expend
Choose the synonym of "earn";"";make;lose;spend;make
Choose the synonym of "cost";"";amount to;earn;save;amount to
Choose the synonym of "pay";"";settle;borrow;owe;settle
Choose the synonym of "owe";"";be indebted;receive;earn;be indebted
Choose the synonym of "borrow";"";take temporarily;lend;give;take temporarily
Choose the synonym of "lend";"";loan;borrow;take;loan
Choose the synonym of "afford";"";manage to pay;avoid;refuse;manage to pay
Choose the synonym of "cheap";"";inexpensive;costly;valuable;inexpensive
Choose the synonym of "expensive";"";costly;cheap;affordable;costly
Choose the synonym of "valuable";"";precious;worthless;cheap;precious
Choose the synonym of "worthless";"";useless;valuable;precious;useless
Choose the synonym of "useful";"";helpful;useless;harmful;helpful
Choose the synonym of "harmful";"";damaging;helpful;beneficial;damaging
Choose the synonym of "beneficial";"";advantageous;harmful;damaging;advantageous
Choose the synonym of "dangerous";"";hazardous;safe;secure;hazardous
Choose the synonym of "safe";"";secure;dangerous;risky;secure
Choose the synonym of "risky";"";dangerous;safe;secure;dangerous
Choose the synonym of "healthy";"";fit;sick;weak;fit
Choose the synonym of "sick";"";ill;healthy;fit;ill
Choose the synonym of "strong";"";robust;weak;fragile;robust
Choose the synonym of "fragile";"";delicate;strong;durable;delicate
Choose the synonym of "durable";"";long-lasting;fragile;temporary;long-lasting
Choose the synonym of "temporary";"";short-term;permanent;eternal;short-term
Choose the synonym of "permanent";"";lasting;temporary;brief;lasting
Choose the synonym of "brief";"";short;lengthy;long;short
Choose the synonym of "long";"";lengthy;short;brief;lengthy
Choose the synonym of "wide";"";broad;narrow;thin;broad
Choose the synonym of "narrow";"";slim;broad;wide;slim
Choose the synonym of "thick";"";dense;thin;narrow;dense
Choose the synonym of "thin";"";slender;thick;wide;slender
Choose the synonym of "deep";"";profound;shallow;superficial;profound
Choose the synonym of "shallow";"";superficial;deep;profound;superficial
Choose the synonym of "bright";"";brilliant;dark;dim;brilliant
Choose the synonym of "dark";"";dim;bright;shiny;dim
Choose the synonym of "shiny";"";glossy;dull;rough;glossy
Choose the synonym of "rough";"";uneven;smooth;soft;uneven
Choose the synonym of "smooth";"";even;rough;uneven;even
Choose the synonym of "soft";"";gentle;hard;rigid;gentle
Choose the synonym of "hard";"";solid;soft;weak;solid
Choose the synonym of "warm";"";hot;cold;freezing;hot
Choose the synonym of "cold";"";chilly;hot;warm;chilly
Choose the synonym of "wet";"";damp;dry;arid;damp
Choose the synonym of "dry";"";arid;wet;damp;arid
Choose the synonym of "empty";"";vacant;full;occupied;vacant
Choose the synonym of "full";"";packed;empty;vacant;packed
Choose the synonym of "busy";"";occupied;free;idle;occupied
Choose the synonym of "free";"";available;busy;occupied;available
Choose the synonym of "available";"";accessible;unavailable;restricted;accessible
Choose the synonym of "unavailable";"";inaccessible;available;accessible;inaccessible
Choose the synonym of "open";"";unlocked;closed;sealed;unlocked
Choose the synonym of "closed";"";shut;open;available;shut
Choose the synonym of "near";"";close;distant;remote;close
Choose the synonym of "far";"";distant;near;close;distant
Choose the synonym of "common";"";usual;rare;unusual;usual
Choose the synonym of "rare";"";uncommon;usual;ordinary;uncommon
Choose the synonym of "ordinary";"";normal;exceptional;unusual;normal
Choose the synonym of "unusual";"";exceptional;ordinary;common;exceptional
Choose the synonym of "special";"";unique;ordinary;common;unique
Choose the synonym of "unique";"";distinctive;ordinary;common;distinctive
Choose the synonym of "different";"";distinct;similar;identical;distinct
Choose the synonym of "similar";"";alike;different;opposite;alike
Choose the synonym of "same";"";identical;different;similar;identical
Choose the synonym of "important";"";crucial;minor;trivial;crucial
Choose the synonym of "crucial";"";essential;unimportant;optional;essential
Choose the synonym of "essential";"";necessary;optional;unnecessary;necessary
Choose the synonym of "unnecessary";"";needless;essential;required;needless
Choose the synonym of "possible";"";feasible;impossible;unlikely;feasible
Choose the synonym of "impossible";"";unfeasible;possible;likely;unfeasible
Choose the synonym of "likely";"";probable;unlikely;impossible;probable
Choose the synonym of "unlikely";"";improbable;probable;certain;improbable
Choose the synonym of "certain";"";sure;doubtful;uncertain;sure
Choose the synonym of "uncertain";"";doubtful;certain;sure;doubtful
Choose the synonym of "obvious";"";clear;hidden;uncertain;clear
Choose the synonym of "hidden";"";concealed;visible;obvious;concealed
Choose the synonym of "clear";"";evident;unclear;confusing;evident
Choose the synonym of "confusing";"";bewildering;clear;simple;bewildering
Choose the synonym of "simple";"";straightforward;complex;complicated;straightforward
Choose the synonym of "complex";"";complicated;simple;easy;complicated
Choose the synonym of "accurate";"";precise;wrong;rough;precise
Choose the synonym of "precise";"";exact;vague;approximate;exact
Choose the synonym of "vague";"";unclear;precise;exact;unclear
Choose the synonym of "approximate";"";rough;exact;precise;rough
Choose the synonym of "exact";"";precise;approximate;rough;precise
Choose the synonym of "general";"";broad;specific;precise;broad
Choose the synonym of "specific";"";particular;general;broad;particular
Choose the synonym of "direct";"";straightforward;indirect;unclear;straightforward
Choose the synonym of "indirect";"";implicit;direct;explicit;implicit
Choose the synonym of "explicit";"";clear;implicit;hidden;clear
Choose the synonym of "implicit";"";implied;explicit;direct;implied
Choose the synonym of "formal";"";official;informal;casual;official
Choose the synonym of "informal";"";casual;formal;official;casual
Choose the synonym of "serious";"";grave;funny;playful;grave
Choose the synonym of "casual";"";informal;formal;official;informal
Choose the synonym of "traditional";"";conventional;innovative;modern;conventional
Choose the synonym of "modern";"";contemporary;ancient;traditional;contemporary
Choose the synonym of "contemporary";"";current;ancient;historic;current
Choose the synonym of "ancient";"";antique;modern;recent;antique
Choose the synonym of "recent";"";new;ancient;old;new
Choose the synonym of "old-fashioned";"";outdated;modern;contemporary;outdated
Choose the synonym of "innovative";"";original;traditional;outdated;original
Choose the synonym of "original";"";creative;copied;ordinary;creative
Choose the synonym of "creative";"";imaginative;unoriginal;dull;imaginative
Choose the synonym of "ordinary";"";mundane;extraordinary;remarkable;mundane
Choose the synonym of "extraordinary";"";remarkable;ordinary;common;remarkable
Choose the synonym of "remarkable";"";notable;ordinary;unimportant;notable
Choose the synonym of "famous";"";renowned;unknown;ordinary;renowned
Choose the synonym of "unknown";"";unfamiliar;famous;renowned;unfamiliar
Choose the synonym of "popular";"";well-liked;unpopular;unknown;well-liked
Choose the synonym of "unpopular";"";disliked;popular;famous;disliked
Choose the synonym of "important";"";notable;trivial;minor;notable
Choose the synonym of "trivial";"";insignificant;important;crucial;insignificant
Choose the synonym of "large";"";substantial;small;tiny;substantial
Choose the synonym of "tiny";"";minute;huge;massive;minute
Choose the synonym of "massive";"";enormous;tiny;slight;enormous
Choose the synonym of "slight";"";minor;major;substantial;minor
Choose the synonym of "major";"";significant;minor;trivial;significant
Choose the synonym of "minor";"";secondary;major;important;secondary
Choose the synonym of "maximum";"";highest;lowest;minimum;highest
Choose the synonym of "minimum";"";lowest;highest;maximum;lowest
Choose the synonym of "average";"";typical;exceptional;rare;typical
Choose the synonym of "exceptional";"";outstanding;average;ordinary;outstanding
Choose the synonym of "rich";"";affluent;poor;needy;affluent
Choose the synonym of "wealthy";"";prosperous;poor;bankrupt;prosperous
Choose the synonym of "poor";"";needy;wealthy;affluent;needy
Choose the synonym of "expensive";"";costly;cheap;affordable;costly
Choose the synonym of "affordable";"";reasonably priced;expensive;costly;reasonably priced
Choose the synonym of "free";"";complimentary;expensive;costly;complimentary
Choose the synonym of "expensive";"";pricey;cheap;free;pricey
Choose the synonym of "money";"";funds;debt;expense;funds
Choose the synonym of "job";"";occupation;hobby;vacation;occupation
Choose the synonym of "work";"";employment;leisure;holiday;employment
Choose the synonym of "employee";"";worker;employer;customer;worker
Choose the synonym of "employer";"";boss;employee;worker;boss
Choose the synonym of "boss";"";manager;employee;customer;manager
Choose the synonym of "customer";"";client;employee;manager;client
Choose the synonym of "company";"";firm;customer;employee;firm
Choose the synonym of "business";"";enterprise;vacation;hobby;enterprise
Choose the synonym of "meeting";"";conference;holiday;break;conference
Choose the synonym of "goal";"";objective;problem;mistake;objective
Choose the synonym of "plan";"";strategy;accident;result;strategy
Choose the synonym of "result";"";outcome;beginning;attempt;outcome
Choose the synonym of "problem";"";issue;solution;benefit;issue
Choose the synonym of "solution";"";answer;problem;question;answer
Choose the synonym of "reason";"";cause;result;effect;cause
Choose the synonym of "effect";"";impact;cause;origin;impact
Choose the synonym of "chance";"";opportunity;certainty;failure;opportunity
Choose the synonym of "risk";"";danger;safety;benefit;danger
Choose the synonym of "benefit";"";advantage;disadvantage;problem;advantage
Choose the synonym of "disadvantage";"";drawback;benefit;advantage;drawback
Choose the synonym of "mistake";"";error;success;achievement;error
Choose the synonym of "error";"";fault;success;solution;fault
Choose the synonym of "success";"";achievement;failure;mistake;achievement
Choose the synonym of "failure";"";defeat;victory;success;defeat
Choose the synonym of "victory";"";triumph;defeat;failure;triumph
Choose the synonym of "choice";"";option;necessity;requirement;option
Choose the synonym of "option";"";alternative;certainty;rule;alternative
Choose the synonym of "rule";"";regulation;exception;choice;regulation
Choose the synonym of "law";"";legislation;custom;habit;legislation
Choose the synonym of "permission";"";consent;prohibition;refusal;consent
Choose the synonym of "prohibition";"";ban;permission;approval;ban
Choose the synonym of "agreement";"";consensus;conflict;dispute;consensus
Choose the synonym of "conflict";"";dispute;agreement;harmony;dispute
Choose the synonym of "peace";"";harmony;conflict;war;harmony
Choose the synonym of "war";"";conflict;peace;agreement;conflict
Choose the synonym of "freedom";"";liberty;restriction;control;liberty
Choose the synonym of "restriction";"";limitation;freedom;permission;limitation
Choose the synonym of "control";"";authority;freedom;chaos;authority
Choose the synonym of "power";"";influence;weakness;failure;influence
Choose the synonym of "influence";"";impact;weakness;absence;impact
Choose the synonym of "ability";"";capacity;inability;failure;capacity
Choose the synonym of "skill";"";expertise;ignorance;weakness;expertise
Choose the synonym of "knowledge";"";understanding;ignorance;confusion;understanding
Choose the synonym of "ignorance";"";lack of knowledge;expertise;wisdom;lack of knowledge
Choose the synonym of "wisdom";"";insight;foolishness;ignorance;insight
Choose the synonym of "idea";"";notion;fact;object;notion
Choose the synonym of "opinion";"";view;fact;proof;view
Choose the synonym of "fact";"";reality;opinion;guess;reality
Choose the synonym of "evidence";"";proof;opinion;doubt;proof
Choose the synonym of "proof";"";evidence;guess;question;evidence
Choose the synonym of "example";"";instance;exception;rule;instance
Choose the synonym of "method";"";approach;result;problem;approach
Choose the synonym of "way";"";method;result;goal;method
Choose the synonym of "purpose";"";intention;accident;result;intention
Choose the synonym of "intention";"";aim;mistake;effect;aim
Choose the synonym of "reason";"";motive;result;effect;motive
Choose the synonym of "behavior";"";conduct;appearance;location;conduct
Choose the synonym of "attitude";"";outlook;behavior;location;outlook
Choose the synonym of "character";"";personality;location;object;personality
Choose the synonym of "personality";"";temperament;appearance;occupation;temperament
Choose the synonym of "feeling";"";emotion;object;reason;emotion
Choose the synonym of "fear";"";anxiety;confidence;happiness;anxiety
Choose the synonym of "worry";"";concern;relaxation;confidence;concern
Choose the synonym of "anger";"";rage;calmness;joy;rage
Choose the synonym of "happiness";"";joy;sadness;anger;joy
Choose the synonym of "sadness";"";sorrow;joy;excitement;sorrow
Choose the synonym of "excitement";"";enthusiasm;boredom;fear;enthusiasm
Choose the synonym of "surprise";"";astonishment;expectation;certainty;astonishment
Choose the synonym of "hope";"";expectation;despair;fear;expectation
Choose the synonym of "despair";"";hopelessness;optimism;confidence;hopelessness
Choose the synonym of "confidence";"";self-assurance;doubt;fear;self-assurance
Choose the synonym of "doubt";"";uncertainty;confidence;certainty;uncertainty
Choose the synonym of "respect";"";admiration;dislike;anger;admiration
Choose the synonym of "admiration";"";appreciation;disrespect;criticism;appreciation
Choose the synonym of "dislike";"";aversion;affection;admiration;aversion
Choose the synonym of "affection";"";fondness;hatred;anger;fondness
Choose the synonym of "hatred";"";detestation;affection;admiration;detestation
Choose the synonym of "fear";"";dread;confidence;hope;dread
Choose the synonym of "courage";"";bravery;fear;weakness;bravery
Choose the synonym of "patience";"";tolerance;anger;haste;tolerance
Choose the synonym of "tolerance";"";acceptance;rejection;hostility;acceptance
Choose the synonym of "responsibility";"";duty;freedom;choice;duty
Choose the synonym of "duty";"";obligation;option;permission;obligation
Choose the synonym of "obligation";"";commitment;freedom;choice;commitment
Choose the synonym of "commitment";"";dedication;indifference;rejection;dedication
Choose the synonym of "effort";"";attempt;result;failure;attempt
Choose the synonym of "attempt";"";endeavor;success;result;endeavor
Choose the synonym of "progress";"";advancement;decline;failure;advancement
Choose the synonym of "development";"";growth;decline;loss;growth
Choose the synonym of "growth";"";expansion;reduction;decline;expansion
Choose the synonym of "decline";"";decrease;increase;growth;decrease
Choose the synonym of "improvement";"";enhancement;damage;decline;enhancement
Choose the synonym of "damage";"";destruction;repair;improvement;destruction
Choose the synonym of "change";"";transformation;stability;routine;transformation
Choose the synonym of "transformation";"";conversion;stability;repetition;conversion
Choose the synonym of "difference";"";distinction;similarity;identity;distinction
Choose the synonym of "similarity";"";resemblance;difference;contrast;resemblance
Choose the synonym of "contrast";"";difference;similarity;agreement;difference
Choose the synonym of "connection";"";link;separation;division;link
Choose the synonym of "relationship";"";association;isolation;separation;association
Choose the synonym of "association";"";connection;division;opposition;connection
Choose the synonym of "community";"";society;individual;object;society
Choose the synonym of "society";"";community;isolation;individual;community
Choose the synonym of "group";"";collection;individual;separation;collection
Choose the synonym of "team";"";crew;individual;competitor;crew
Choose the synonym of "leader";"";chief;follower;employee;chief
Choose the synonym of "follower";"";supporter;leader;opponent;supporter
Choose the synonym of "enemy";"";opponent;ally;friend;opponent
Choose the synonym of "friend";"";companion;enemy;opponent;companion
Choose the synonym of "companion";"";partner;enemy;stranger;partner
Choose the synonym of "stranger";"";outsider;friend;companion;outsider
Choose the synonym of "neighbor";"";resident;stranger;visitor;resident
Choose the synonym of "visitor";"";guest;resident;owner;guest
Choose the synonym of "owner";"";proprietor;tenant;customer;proprietor
Choose the synonym of "customer";"";consumer;owner;employee;consumer
Choose the synonym of "product";"";item;service;customer;item
Choose the synonym of "service";"";assistance;product;object;assistance
Choose the synonym of "price";"";cost;value;profit;cost
Choose the synonym of "value";"";worth;cost;loss;worth
Choose the synonym of "profit";"";gain;loss;expense;gain
Choose the synonym of "loss";"";deficit;profit;gain;deficit
Choose the synonym of "income";"";earnings;expense;debt;earnings
Choose the synonym of "expense";"";expenditure;income;profit;expenditure
Choose the synonym of "debt";"";liability;income;profit;liability
Choose the synonym of "investment";"";funding;expense;debt;funding
Choose the synonym of "salary";"";wage;expense;profit;wage
Choose the synonym of "wage";"";pay;debt;cost;pay
Choose the synonym of "career";"";profession;vacation;hobby;profession
Choose the synonym of "profession";"";occupation;hobby;holiday;occupation
Choose the synonym of "experience";"";expertise;ignorance;inexperience;expertise
Choose the synonym of "expert";"";specialist;beginner;amateur;specialist
Choose the synonym of "beginner";"";novice;expert;professional;novice
Choose the synonym of "professional";"";specialist;amateur;beginner;specialist
Choose the synonym of "manager";"";supervisor;employee;customer;supervisor
Choose the synonym of "employee";"";staff member;manager;customer;staff member
Choose the synonym of "department";"";division;company;customer;division
Choose the synonym of "organization";"";institution;individual;object;institution
Choose the synonym of "institution";"";establishment;individual;customer;establishment
Choose the synonym of "government";"";administration;company;community;administration
Choose the synonym of "country";"";nation;city;village;nation
Choose the synonym of "city";"";urban area;village;country;urban area
Choose the synonym of "village";"";settlement;city;country;settlement
Choose the synonym of "area";"";region;object;person;region
Choose the synonym of "region";"";district;individual;building;district
Choose the synonym of "place";"";location;person;object;location
Choose the synonym of "location";"";site;person;time;site
Choose the synonym of "building";"";structure;person;vehicle;structure
Choose the synonym of "house";"";residence;office;street;residence
Choose the synonym of "road";"";route;building;vehicle;route
Choose the synonym of "journey";"";trip;stay;location;trip
Choose the synonym of "trip";"";excursion;work;residence;excursion
Choose the synonym of "vacation";"";holiday;work;meeting;holiday
Choose the synonym of "holiday";"";break;work;journey;break
Choose the synonym of "airport";"";terminal;station;port;terminal
Choose the synonym of "station";"";stop;airport;road;stop
Choose the synonym of "vehicle";"";transport;building;location;transport
Choose the synonym of "car";"";automobile;building;road;automobile
Choose the synonym of "bicycle";"";bike;car;train;bike
Choose the synonym of "train";"";railway vehicle;airplane;bus;railway vehicle
Choose the synonym of "airplane";"";aircraft;vehicle;ship;aircraft
