question;hint;option1;option2;option3;answer
Our system _______ the most advanced technology;to use;extent;sly;utilizes;utilizes
My boss is _______ a salesperson to work with us.;to look for;delineates;disrupted;seeking;seeking
The pilot told us that we might _______ turbulence during the flight;to meet or to face;challenges;whatsoever;encounter;encounter
I dont want to get _______ with this it sounds like a terrible idea.;To make someone a part of something;affords;appliances;involved;involved
The cust turned out to be higher than we _______;To expect or to look foward to;neglected;bizarre;anticipate;anticipate
He _______ the recipe by using oil instead of butter;To make minor changes in. To adapt;permeated;erroneous;modified;modified
I had to _______ a medical surgery last month;To experience something that is unpleasant or something that involves a change;coating;capacity;undergo;undergo
The landlord _______ our rental agreement, so we have to move.;To end. To bring or come to a close;durable;bundle;terminated;terminated
The layer of rock that _______ the earths crust is called the mantle.;To be located under. To be a cause or reason for something;forged;accordingly;underlies;underlies
Smoking is _______ in this building;To forbid or ban;strengthen;feeble;prohibited;prohibited
Several experts will _______  as technical advisers;To take part in, to be involved in;resolved;bulk;participate;participate
Universities once _______ against women and black people in their admission;To treat differently because of prejudice;stamina;revolves;discriminate;discriminate
The USA _______ 50 states;To be made up of, to consist of, to incorporate;persevered;attorney;comprises;comprises
Price _______ widely from shop to shop;to change;consistent;declined;vary;vary
Students are required to _______ a series of studies for the final exam;To do or begin to do something that will take a long time or be difficult;ensures;utilizes;undertake;undertake
His wardrobe _______ almost entirely of jeans and t-shirts;To be made up of or formed from something;enforce;seeking;consists;consists
The success of this project _______ everyone making an effort;to be dependent on something;confirm;encounter;relies on;relies on
You can _______ oil for butter in this recipe;To replace;denied;involved;substitute;substitute
Joe and Ken _______ the plan and agreed that it would work;To study something so a decision can be made;apprentice;anticipate;evaluated;evaluated
The men used wood and metal to _______ a house;to build of form;appointed;modified;construct;construct
He wanted to _______ a organization to help people in the fight against global warming;To establish a company. To start communicating with another person or company;underway;undergo;establish;establish
The meeting _______ at noon;to finish or end;lingered;terminated;concluded;concluded
This is the _______ chocolate brownie. Rich and chewy;final, eventual, ideal, best;faintly;underlies;ultimate;ultimate
My doctor _______ that I get some exercise. My friend _______ this movie;to advice, to say positive thing about;discrete;prohibited;recommended;recommended
Car exhaust _______ the air. The pesticides used on many farms are _______ the water supply;To make an area usually air, land, water dirty or harmful to people and animals;gears;participate;pollute;pollute
Kids _______ their clothes so quickly;To no longer be able to use something due to growth or development;stuck;discriminate;outgrow;outgrow
Eating good food _______ that we stay healthy;To make something certain. To garantee;meaningful;comprises;ensures;ensures
The _______ of americans prefer coffee to tea;The largest part of a whole, over half;combining;vary;marjority;marjority
Indigenous are the _______ between the diferents groups we have in America.;A small part of a whole, less than half;conveyed;undertake;minority;minority
His speech _______ with a acknowledgment to all who had helped him succeed;To begin;sentiment;consists;commenced;commenced
The wood had been painted to _______ stone;To do or make something that looks real but is not real. To imitate;vendor;relies on;simulate;simulate
The train _______ the main line.;To come close to. A method of doing something;superb;substitute;approached;approached
I will _______ a doctor to see my back pain;To get information of advice from a book, person.;cuisine;evaluated;consult;consult
I am easily _______ when I am working in a loudy enviroment;To take away someones atention;amenities;construct;distracted;distracted
The system _______ students to access remotely class materials online;To make able or possible;aesthetic;establish;enables;enables
Authorities are _______ damage caused by last nights stormy weather;To judge or decide the amount, value, quality or importance of smth;appeals;concluded;assessing;assessing
The children were given candies for good _______;The way that a person acts;volunteer;ultimate;behavior;behavior
He has _______ experience with a variety os computer system;Covering a large area, having a great range;predict;recommended;extensive;extensive
Even though the lesson was difficult he _______ until he understood;To keep doing something even when it is hard. To go on;accompanied;pollute;persisted;persisted
She _______ two hours a day to playing the piano;To spend a lot of time doing something;relax;outgrow;devotes;devotes
After about an hour the rain _______ and the sun appeared. The factory _______ operations last year;To end, to conclude, to stop;approve;ensures;ceased;ceased
Everyone will have an _______ to vote;A chance to do something;restrict;marjority;opportunity;opportunity
The police have begun to _______ his version of events;To feel uncertain about something;violated;minority;doubt;doubt
The hurricane was _______ by a moment of clear sky.;To go or come before;denied;commenced;preceded;preceded
East and West Germany were _______ in 1990;To bring of come together. To unite;immigrated;simulate;unified;unified
The new system is _______ and no one had difficult to learn how to use.;Simple, uncomplicated;conform;approached;straightfoward;straightfoward
After two years in the company she was _______ to a manager.;To raise someone to a higher grade or position. To promote;acknowledge;consult;promoted;promoted
The twins look exactly the same. It is hard to _______ between them.;To see or understand the differences between things;assemble;distracted;distinguish;distinguish
The pacients condition has _______ since last night;To become progressively worse;exposed;enables;deteriorate;deteriorate
Her coach thinks she has the _______ to be a world class athelete;Having or showing the hability to develop into something in the future;interpreted;assessing;potential;potential
The greek letter alpha _______ with the letter A in the roman alphabet;To be bery similar to something, to match almost exactly. To exchange letters;demonstrated;behavior;corresponds;corresponds
They agreed to _______ with Brazil on a programme to protect the rain forests;To work with other people to achieve a result that is good for everyone. To collaborate;adjust;extensive;cooperate;cooperate
The runners must do well in the _______ races to qualify for the final race;Coming before or done in preparation for something;diminish;persisted;preliminary;preliminary
Our basketball team _______ the game;To control something or someone often in a negative way because you have more power or influence;acquired;devotes;dominated;dominated
My brother gave me an _______ of the important parts of the book;a description of the main features of something;influence;ceased;overview;overview
The family gathered to _______ Christimas;To do something enjoyable in order to show that an occasion or event is special;revised;opportunity;celebrate;celebrate
Farming is main source of _______;How much money a person or bussiness makes;absorb;doubt;income;income
Being tall is an _______ to basketball player;Something that puts you in a better position than other people;purchased;preceded;advantage;advantage
Cutting taxes may _______ economic recovery;To make something easier;select;unified;facilitate;facilitate
The companys goal is to attract and _______ good employees.;To keep or hold;intervened;straightfoward;retain;retain
She was _______ to vegetables ;Trying hard to not do something;enhance;promoted;reluctant;reluctant
There is no _______ that prove he was the murderer.;A fact or thing that you use to prove something;motivates;distinguish;evidence;evidence
He _______ her excellent taste in music;To make a positive comment abour, to praise;implied;deteriorate;complimented;complimented
The physics textbook gave the student new _______ about gravity;A deep and accurate understanding of something;reveal;potential;insight;insight
It is _______ to have oxygem when you scuba dive;Absolutely necessary, extremely important;implementing;corresponds;essencial;essencial
What exactly do you hope to _______ this year?;Achieve or complete successfully;sank;cooperate;accomplish;accomplish
A large portion of my time is _______ by reseting passwords for vpn users.;To be in a place or position. To keep busy;thrive;preliminary;occupied;occupied
The essay contains numerous spelling _______;A mistake;require;dominated;errors;errors
The moon and the stars were _______ in the night sky;Able to be seen;accelerate;overview;visible;visible
He can _______ the media to his benefit.;To influence or control;respond;celebrate;manipulate;manipulate
My dog looks _______ next to yours;Very large, huge;rejected;income;enormous;enormous
The sign _______ the travelers because it pointed in two directions;Make something more complex or less easy to understand;derive;advantage;confused;confused
Their teaching _______ tries to adapt lessons to each student;A way of doing something, a techinique;investing;facilitate;method;method
She _______ me to buy the house;To cause a person to agree with a statement or opinion, to persuade;investigating;retain;convinced;convinced
The story in the newspaper wasnt very _______;Perfectly correct, without errors;declined;reluctant;accurate;accurate
The new shopping mall incresed the _______ in that neighbourhood;Economic activity, trade, business;utilizes;evidence;commerce;commerce
The paper are checked by _______ examiners;From the outside;seeking;complimented;external;external
He was talking loudly so he did not _______ that the music had stopped.;To see, notice or realize it, especially when it is not obvious.;encounter;insight;perceive;perceive
We had to open the laptops cover in order to see the components _______;From the inside;involved;essencial;inside;inside
The proposal has to be approved by the university _______.;The group of people responsable for managing a company, government. Act of administering;anticipate;accomplish;administration;administration
His knowledge of History is _______;When a person shows great intellectual depth and understanding;modified;occupied;profound;profound
There is a chance that a similar event will _______ in the future;To happen, to take place;undergo;errors;occur;occur
He has a positive _______ about changes;The opinion and feelings that you usuarlly have about something, especially when it is shown in your behaviour;terminated;visible;attitude;attitude
The kids began to _______ with each other when the adults left the room;Act in such a way as to have an effect on each other;underlies;manipulate;interact;interact
He choose to _______ a college degree. The criminal is being _______ by the police;To follow or chase after;prohibited;enormous;pursued;pursued
The oxigen in the tank is _______ for an one-hour dive;Enough;participate;confused;sufficient;sufficient
The two nations had a _______ which led to the war between the two conuntries.;Serious disagreement and argument about something important, a clash;discriminate;method;conflict;conflict
I could not _______ on my homework because the room was so loud;To focus, to direct ones attention to;comprises;convinced;concentrate;concentrate
It was good to see a _______ face after my long stay abroad;To know or understand something well. Well Known, friendly;vary;accurate;familiar;familiar
He _______ his supply of wood in preparation for the winter.;To fill something up again;undertake;commerce;replenished;replenished
The judge said that the woman was _______ of the crime;Not guilty of a crime. Morally good and with no wish to harm anyone;consists;external;innocent;innocent
It is _______ that the days will get longer int the summer;Certain to happen and cannot be avoided;relies on;perceive;inevitable;inevitable
The bonus the offered was the _______ we needed to work harder.;Something that makes you want to do something or to work harder, because you know you will benefit by doing this;substitute;inside;incentive;incentive
Upbringing plays an important part in _______ a persons character;Decide what will happen, find out the the facts about something;evaluated;administration;determining;determining
The boys may refuse to play with the girls and _______;Used to say that the opposite of a situation you have just described is also true;construct;profound;vice versa;vice versa
She had achieved the _______ of smartest girl in the class;Importance in relation to others, rank;establish;occur;status;status
A ballon will _______ as you blow air into it;To become larger in size and fill more space;concluded;attitude;expand;expand
Because the child was bad, she was _______ of her dessert after dinner.;to take something away from;ultimate;interact;deprived;deprived
The sails _______ the wind in order to move;to control and use something,  usually to make energy;recommended;pursued;harness;harness
The poor man had a _______ sum of money;very small and of little or no value;pollute;sufficient;paltry;paltry
After her physical examination, her _______ strengths were tested.;connected with thinking or conscious mental processes;outgrow;conflict;cognitive;cognitive
Comets are _______ objects that are rarely seen.;of or from the sky or outside this world;ensures;concentrate;celestial;celestial
There are billions of _______ life forms;relating to the earth;marjority;familiar;terrestrial;terrestrial
We work _______ each other in the office;next to, together;minority;replenished;alongside;alongside
I was scared, so I _______ my older sister’s hand;to hold something very tightly;commenced;innocent;gripped;gripped
The student was nervous about his _______ test;an event is going to happen very soon;simulate;inevitable;impending;impending
She needed something to _______ the pain in her back.;to make something less painful or serious;approached;incentive;alleviate;alleviate
The _______ fox stole the eggs from the nest;not letting others know true opinions or intentions, or dishonest;consult;determining;sly;sly
The loud crash _______ the class lecture.;to prevent something from continuing in its usual way by causing problems;distracted;vice versa;disrupted;disrupted
The boy had no idea _______ how to solve the story problem;used after a noun to emphasize a negative statement;enables;status;whatsoever;whatsoever
Many homes have _______ like ovens, toasters and refrigerators.;a piece of equipment used for jobs in the home. Appliances are often electrical.;assessing;expand;appliances;appliances
My _______ dreams make no sense to me when I am awake;very unusual and strange;behavior;deprived;bizarre;bizarre
The child held the _______ belief that time machines were real.;wrong or false, incorrect;extensive;harness;erroneous;erroneous
The parking lot has reached its full _______;1. size or power, often measured in particular units, 2. ability to do something;persisted;paltry;capacity;capacity
I was shocked when he showed me a _______ of money;a group of things such as papers, clothes, or sticks that are fastened or tied together;devotes;cognitive;bundle;bundle
He feels like he did a good job, and his boss should pay him _______;as a result of something, in a way that is suitable or right for the situation;ceased;celestial;accordingly;accordingly
The boy was too _______ to carry the object very far;small or weak;opportunity;terrestrial;feeble;feeble
The large elephant moved its _______ with legs as strong as tree trunks;a large mass or shape, large quantity;doubt;alongside;bulk;bulk
My life _______ around sports.;to move around like a wheel;preceded;gripped;revolves;revolves
The _______ appeared in front of the judge for me.;a lawyer;unified;impending;attorney;attorney
The team wishes to _______ the site in hopes of finding fossils.;1. to dig in the ground in order to find things from the past 2. to remove soil, earth, etc by digging.;straightfoward;alleviate;excavate;excavate
Everyone knew that the boy’s story was an _______ lie.;1. open and direct 2. complete and total;promoted;sly;outright;outright
In two more years, I will _______ my high school diploma.;to succeed in achieving something after trying for a long time;distinguish;disrupted;attain;attain
The spa was the perfect _______ for my mother to relax and enjoy her vacation.;a small area or place where something specific happens.;deteriorate;whatsoever;locale;locale
The sound of the drums was _______ from miles away;loud enough to be heard.;potential;appliances;audible;audible
I will have to _______ with my wife before I can purchase a new car.;to discuss something with someone to make a decision;corresponds;bizarre;confer;confer
The company’s new advertising _______ ended in a horrible failure.;an attempt to do something, especially something new or original.;cooperate;erroneous;endeavour;endeavour
The bottles of wine were covered in a layer of dust _______;a very small piece of something;preliminary;capacity;particles;particles
An eraser is _______ if you make a lot of mistakes.;useful;dominated;bundle;handy;handy
The biologist _______ the plant as a completely new species.;to decide what group something belongs to;overview;accordingly;classified;classified
The explorers began their _______ hike up the steep mountain.;difficult, needing a lot of effort and energy;celebrate;feeble;arduous;arduous
The teacher _______ the bad child from the class before talking with her.;to separate one person, group, or thing from other people or things;income;bulk;isolated;isolated
Jake is one of the most _______ persons I’ve ever met.;having a lot of experience of life;advantage;revolves;sophisticated;sophisticated
The doctor asked Mary to _______ from eating fast food as part of her diet.;stop yourself from doing something;facilitate;attorney;refrain;refrain
The child could not _______ the actual size of the Earth;to imagine something;retain;excavate;conceive;conceive
Since he skipped breakfast, he had a _______ for food all morning;a feeling of wanting something very much;reluctant;outright;longing;longing
The pirates kept their jewelry in a _______ hidden in a cave.;a hidden store of things, or the place where they are kept;evidence;attain;cache;cache
On his visit to Canada, he realized studying English was _______;good and important enough to spend time or money on;complimented;locale;worthwhile;worthwhile
The coach _______ each team five minutes to prepare a strategy.;give a particular share of money, space etc to someone or something;insight;audible;allotted;allotted
After his boat sunk, Matt was _______ enough to build a raft.;good at finding ways of dealing with practical problems;essencial;confer;resourceful;resourceful
A few seconds must _______ before you can take another picture.;If time elapses, it goes past;accomplish;endeavour;elapse;elapse
I learned some _______ of molecules before working in the science lab.;an idea of how something is, or how something should be done;occupied;particles;concepts;concepts
My brother likes chocolate ice cream, but I always _______ for vanilla.;to choose one thing or do one thing instead of another;errors;handy;opt;opt
Her _______ won’t allow her to pass a mirror without looking at herself.;too much pride in your own abilities, appearance or achievements;visible;classified;vanity;vanity
The girl had _______ ideas about doing well in school without studying.;imaginative or unreal;manipulate;arduous;fanciful;fanciful
When she bought the car, she was given a _______ to show the car was hers.;a legal document that is an  official proof that someone owns land or a building;enormous;isolated;deed;deed
Rocks and machines are not _______ things.;having life, to make more lively ;confused;sophisticated;animate;animate
The kids were worried about their _______ exam.;happening soon;method;refrain;upcoming;upcoming
I can _______ my mom’s face when I give her this present!;to imagine something as a possibility, especially something that you think will be good;convinced;conceive;envision;envision
It was hard to drive fast since there were _______ holes in the road.;many;accurate;longing;numerous;numerous
The students argued until the teacher _______;to become involved in a situation;commerce;cache;intervene;intervene
Most of the important _______ buildings are located downtown.;relating to a town or city;external;worthwhile;civic;civic
The laces of his shoes were in such a _______ that he could not untie them;1. a twisted mass of something  2. to become twisted together;perceive;allotted;tangle;tangle
The three boys _______ for the prize in the chemistry contest.;to take part in a contest or competition;inside;resourceful;vied;vied
The cat was sitting on the _______ of the fence.;a horizontal bar made of metal or wood;administration;elapse;rail;rail
She was an _______ critic about the new banking laws.;expressing your opinions honestly and directly, even when doing this might annoy some people;profound;concepts;outspoken;outspoken
John forgot the key. _______ we couldn’t open the door.;for this reason;occur;opt;hence;hence
During the space shuttle’s _______, the Earth became larger and larger.;a movement down;attitude;vanity;descent;descent
The nearest opponent was ten meters behind. She won the race soundly.;If something is done ............ then it is done in the best or most complete way.;interact;fanciful;soundly;soundly
You need to _______ these beans overnight before you cook them.;keep it covered with a liquid for a period of time;pursued;deed;soak;soak
My best _______ is forgiveness.;behavior showing high moral standards.;sufficient;animate;virtue;virtue
The artist made _______ watercolor paintings.;extremely beautiful and very delicately made;conflict;upcoming;exquisite;exquisite
I _______ between eating the apple or the cake for a snack.;If you waver, you cannot decide about something;concentrate;envision;wavered;wavered
She was _______ of going to school because she hadn’t done her homework.;someone who is wary is careful because they think something might be dangerous or harmful;familiar;numerous;wary;wary
When they broke open the rock, they saw it was filled with _______ of gold.;1. a large thick piece of something that does not have an even shape, 2.  a large part or amount of something;replenished;intervene;chunks;chunks
I took the stick and _______ it with my hands.;to break with a sudden sharp noise;innocent;civic;snapped;snapped
We learn about edible plants when we go camping.;something that is ............ can be eaten;inevitable;tangle;edible;edible
The garlic made the soup taste so _______ that the chef wouldn’t serve it.;having a strong taste or smell;incentive;vied;pungent;pungent
In order to get a _______ meal, you have to eat at an expensive restaurant.;producing or relating to very good food and drink;determining;rail;gourmet;gourmet
Mrs. Jones _______ the test question to the class.;to say something again or in a different way;vice versa;outspoken;restated;restated
Driving in the snowstorm was an _______ she’d never forget;a terrible or painful experience that continues for a period of time;status;hence;ordeal;ordeal
Jesse took out the trash with great _______;a feeling of not wanting to do something.;expand;descent;reluctance;reluctance
Paper money has no _______ value. It is useful simply because society says it is.;being part of the nature or character of someone or something ;deprived;soundly;intrinsic;intrinsic
Mario  Joe took a long time _______ the contract between the companies.;to discuss something in order to reach an agreement;harness;soak;negotiating;negotiating
My wife made a _______ decision to buy a new sofa while I was at work.;acts which are not planned or arranged;paltry;virtue;spontaneous;spontaneous
When the car slid off of the road, it fell into the _______;a hole cut into the ground by a road or a field;cognitive;exquisite;ditch;ditch
Drew tried to _______ all the functions o f Michelle’s new computer.;to make something clearer or easier to understand;celestial;wavered;clarify;clarify
The child made an awful _______ because she didn’t want to go to bed.;anxious behaviour or activity that is usually about unimportant things;terrestrial;wary;fuss;fuss
After a few minutes of lightening, thunder _______;to happen after or as a result of something ;alongside;chunks;ensued;ensued
I used the buns with the _______ seeds on them.;a herb grown for its small oval seeds and its oil;gripped;snapped;sesame;sesame
Her dad bought her a new jacket after her _______ requests  for one;when you are dogged, you try hard to continue something;impending;edible;dogged;dogged
Power lines are important parts of a city’s _______;a collection of services needed to run a society or business;alleviate;pungent;infrastructure;infrastructure
He _______ of the can  by throwing it into the recycle bin.;to get rid of something;sly;gourmet;disposed;disposed
The _______ of the rusty machinery made the factory a horrible place to work.;a loud unpleasant noise that continues for a long time;disrupted;restated;din;din
The store added more  _______ because there were more shoppers.;goods that are ready to be sold;whatsoever;ordeal;merchandise;merchandise
The best exercise _______ muscle and heart strengthening.;to switch back and forth between two things;appliances;reluctance;alternates;alternates
She found a _______ plan to raise extra funds for her vacation.;1. acceptable or allowed by law, 2. fair or reasonable;bizarre;intrinsic;legitimate;legitimate
The new products really increased the business’s monthly _______;money that a business or organization receives over a period of time;erroneous;negotiating;revenue;revenue
The _______ of his argument convinced the customer to buy the laptop;the act of making someone do or believe something;capacity;spontaneous;persuasion;persuasion
Joan was on the _______ of leaving her house when the phone rang.;the point at which something is about to happen.;bundle;ditch;verge;verge
After three months of _______ the vegetation and trees started dying.;a long period of dry weather when there is not enough water for plants and animals;accordingly;clarify;drought;drought
The official gave the company a _______ so it could open two new factories;financial assistance or support;feeble;fuss;subsidy;subsidy
The  _______ of the argument was that both sides felt they had lost money.;the most basic and important quality of something;bulk;ensued;essence;essence
The builder was very _______ about where he placed the nails;exact, clear, and correct ;revolves;sesame;precise;precise
Jerry was the  fastest on his team, so he ran the last part of the _______;a race in which teams of runners or swimmers race against each other;attorney;dogged;relay;relay
This  strawberry is the best Ive ever had. Its _______;extremely good or impressive;excavate;infrastructure;fabulous;fabulous
In the _______ minutes  of the game, the visitors scored the winning goal;last in a series or  the second choice of two things;outright;disposed;latter;latter
There are dozens of different  types of restaurants in a _______ city.;reflecting the influence of  many cultures and countries;attain;din;cosmopolitan;cosmopolitan
There  is nothing _______ about the way Morris dresses.;happening or existing in many  places, and therefore not special or unusual;locale;merchandise;commonplace;commonplace
I  read my vocabulary list and _______ the most difficult words;to make a subject easy to notice ;audible;alternates;highlighted;highlighted
The  museum _______ many wonderful paintings;show something  to people, or put it in a place where people can see  it easily;confer;legitimate;displayed;displayed
Small glass beads  _______ the vase.;formal to  decorate something;endeavour;revenue;adorned;adorned
The woman  kept some colorful _______ on the shelves.;an object that is used  as decoration in a room;particles;persuasion;ornament;ornament
The girl  picked out a _______ dress to wear to the dance;very beautiful and  attractive, giving great pleasure;handy;verge;gorgeous;gorgeous
The twins look exactly the same. It is hard to _______ between them;to see or understand the differences between things;classified;drought;distinguish;distinguish
At New Year, I made a list of _______ to help me have a better year.;1. a promise to yourself to do something, 2. an official decision;arduous;subsidy;resolutions;resolutions
There was a _______ fireworks display in the park at New Year;very exciting  to look at;isolated;essence;spectacular;spectacular
She _______ the spaghetti  around her fork;to turn  something;sophisticated;precise;twisted;twisted
The dragon had _______ powers such as  flying and breathing fire;things that cannot  be explained by science;refrain;relay;supernatural;supernatural
The beautiful woman _______ everybody in the room.;make someone  feel very interested or happy, use magic ;conceive;fabulous;enchanted;enchanted
Gail _______ everyone  with her humorous  stories.;the power of pleasing or attracting people;longing;latter;charmed;charmed
The magic looked very  real but it was only _______;the act of lying or  tricking someone;cache;cosmopolitan;deception;deception
The moon and stars were _______ in the night sky.;something that  can be seen ;worthwhile;commonplace;visible;visible
My son and I  _______ to the beach so we could go  fishing;move or travel in a certain direction, continue to  do smth;allotted;highlighted;proceeded;proceeded
In order to get to the meeting in time, he proceeds  with _______;great speed in  doing something, especially when we do not have enough time ;resourceful;displayed;haste;haste
The cat  became _______ when I tried to give it  a bath;extremely worried about a  situation;elapse;adorned;frantic;frantic
Since he skipped  breakfast, he had a _______ for food all  morning;a feeling of wanting  something very much;concepts;ornament;longing;longing
The amount of homework  her teacher assigned has _______ her;give too much  of a thing to a person, to be too difficult;opt;gorgeous;overwhelmed;overwhelmed
The man was  _______ to talk about the good news;wanting very much to do or have something;vanity;distinguish;eager;eager
I was shocked when  he showed me a _______ of money.;a number of  things that are held together;fanciful;resolutions;bundle;bundle
They keep  a _______ of rice so they’ll  always have something to eat.;an amount of something  that is available for use;deed;spectacular;stock;stock
He _______  the can   by throwing it into the recycle bin;throw away something;animate;twisted;disposed  of;disposed  of
It is not _______ to throw  your garbage on the road.;right, suitable,  or correct;upcoming;supernatural;proper;proper
The heart is a _______ organ;extremely important and necessary;envision;enchanted;vital;vital
It’s Nikki’s _______ to  do the dishes every Tuesday and Wednesday night;an unpleasant or boring task that  we do regularly;numerous;charmed;chore;chore
The _______ student built a robot to help her with her chores.;very good  at thinking of new and original ideas;intervene;deception;inventive;inventive
There is a lot of dirt on  the floor. Can you _______ it please?;to clean the  dirt, dust, to move quickly and powerfully;civic;visible;sweep;sweep
Tina did a _______ job of cleaning the stains  out of the carpet;including  every possible detail ;tangle;proceeded;thorough;thorough
He used the  pictures as _______ that UFOs are real.;a fact or thing  that we use to prove something ;vied;haste;evidence;evidence
There used to be dinosaurs all over the world, but now they are _______;no longer living or existing;rail;frantic;extinct;extinct
There are  21 different _______ of butterfly in this forest.;a group of  animals or plants with similar characteristics;outspoken;longing;species;species
All of the houses on Victors block were boring and _______;of the same  type or nature;hence;overwhelmed;homogeneous;homogeneous
A scientist should  always practice _______ with their work;careful and  complete examination of something;descent;eager;scrutiny;scrutiny
He _______ them  to believe his story.;to recommend  something strongly, a strong wish;soundly;bundle;urged;urged
She _______ her urge to scream;to stop yourself  from doing something;soak;stock;suppressed;suppressed
Having strong _______ is necessary for a healthy life;the  two organs in our body that we use for  breathing;virtue;disposed  of;lungs;lungs
Lowering  prices _______ customers’ interest in shopping;to  help, stimulate to become  better or more successful;exquisite;proper;boosts;boosts
Her headache made  her _______ all day.;to experience  physical or mental pain;wavered;vital;suffer;suffer
Jenny _______ at playing the piano;to be extremely good at something;wary;chore;excels;excels
The mailman _______ the  letter into the mailbox.;to put something inside or into something  else;chunks;inventive;inserted;inserted
When  the wind is blowing, birds can _______ easily through the sky.;to move  easily without stopping;snapped;sweep;glide;glide
The _______ lifted the rocket into the sky;the force that  drives something forward ;edible;thorough;propulsion;propulsion
That _______ in  the shape of a square is named after a flying horse;a group of stars in the sky that has  a name;pungent;evidence;constellation;constellation
The baby _______ his father a great deal.;to look like or be similar to another person or thing;gourmet;extinct;resembles;resembles
It was hard to  drive fast since there were _______ holes in  the road.;many;restated;species;numerous;numerous
Even though  the lesson was difficult, he _______ until he understood;keep doing  something even when it is hard, to continue ;ordeal;homogeneous;persisted;persisted
The soldiers were trying to _______ the world;to get control over something that is difficult ;reluctance;scrutiny;conquer;conquer
The man covered  the ground with _______;a very hard building material,  clear and certain;intrinsic;urged;concrete;concrete
Peter _______ his opinion with information from  a book;to make  something stronger;negotiating;suppressed;reinforced;reinforced
Everyone  at the party was very _______ and having a good time.;happy and having  a lot of energy ;spontaneous;lungs;vivacious;vivacious
Julie enjoyed  the _______ of the flowers.;a pleasant smell that something has;ditch;boosts;scent;scent
