question;hint;option1;option2;option3;answer
determine means...;"";discover or decide something;forget something;prevent something;discover or decide something
develop means...;"";grow or become more advanced;disappear;remain unchanged;grow or become more advanced
disappoint means...;"";make someone feel unhappy because expectations were not met;make someone excited;help someone succeed;make someone feel unhappy because expectations were not met
discover means...;"";find something for the first time;lose something;hide something;find something for the first time
discuss means...;"";talk about something with someone;avoid talking;destroy something;talk about something with someone
disturb means...;"";interrupt or bother someone;protect someone;invite someone;interrupt or bother someone
divide means...;"";separate something into parts;join things together;create something;separate something into parts
earn means...;"";receive money for work;spend money;borrow money;receive money for work
encourage means...;"";give someone confidence or support;make someone afraid;stop someone from acting;give someone confidence or support
enjoy means...;"";get pleasure from something;hate something;avoid something;get pleasure from something
establish means...;"";start or create something officially;destroy something;hide something;start or create something officially
estimate means...;"";make a rough calculation;give an exact answer;forget a number;make a rough calculation
examine means...;"";look at something carefully;ignore something;destroy something;look at something carefully
exist means...;"";be real or present;disappear;be imaginary;be real or present
expand means...;"";become larger;become smaller;disappear;become larger
expect means...;"";believe something will happen;prevent something;forget something;believe something will happen
experience means...;"";have something happen to you;avoid an event;create an event;have something happen to you
explain means...;"";make something clear;make something confusing;hide information;make something clear
explore means...;"";travel around or examine a place or idea;stay in one place;destroy a place;travel around or examine a place or idea
express means...;"";show or communicate an idea or feeling;hide a feeling;forget an idea;show or communicate an idea or feeling
extend means...;"";make something longer or larger;make something disappear;make something cheaper;make something longer or larger
fail means...;"";not succeed;win easily;finish successfully;not succeed
feature means...;"";an important part or quality;an accident;a financial problem;an important part or quality
forbid means...;"";officially say something is not allowed;encourage something;pay for something;officially say something is not allowed
force means...;"";make someone do something against their will;ask politely;help voluntarily;make someone do something against their will
forgive means...;"";stop being angry with someone;punish someone;avoid someone;stop being angry with someone
gain means...;"";get or obtain something;lose something;destroy something;get or obtain something
gather means...;"";collect things or people;separate things;destroy things;collect things or people
handle means...;"";deal with or manage something;throw something away;ignore something;deal with or manage something
hesitate means...;"";pause because you are uncertain;act immediately;agree quickly;pause because you are uncertain
identify means...;"";recognize or name someone or something;hide something;change something;recognize or name someone or something
ignore means...;"";pay no attention to something;study something carefully;repair something;pay no attention to something
imagine means...;"";form a picture or idea in your mind;forget something;destroy something;form a picture or idea in your mind
improve means...;"";make something better;make something worse;stop something;make something better
include means...;"";contain something as part of a whole;remove something;exclude everything;contain something as part of a whole
increase means...;"";become greater or larger;become smaller;remain unchanged;become greater or larger
indicate means...;"";show or point out something;hide something;destroy something;show or point out something
influence means...;"";affect someone or something;completely control physically;forget something;affect someone or something
inform means...;"";give someone information;hide information;ask for money;give someone information
insist means...;"";demand something firmly;give up immediately;avoid a decision;demand something firmly
intend means...;"";plan to do something;forget to do something;refuse to do something;plan to do something
involve means...;"";include someone or something;remove someone;avoid something;include someone or something
judge means...;"";form an opinion about something;avoid an opinion;repair something;form an opinion about something
lack means...;"";not have enough of something;have plenty of something;create something;not have enough of something
maintain means...;"";keep something in a particular condition;destroy something;change completely;keep something in a particular condition
manage means...;"";succeed in dealing with something;fail immediately;avoid responsibility;succeed in dealing with something
mention means...;"";refer to something briefly;hide something completely;argue about something;refer to something briefly
notice means...;"";become aware of something;forget something;create something;become aware of something
obtain means...;"";get or acquire something;lose something;give something away;get or acquire something
occur means...;"";happen;disappear;stop;happen
offer means...;"";say that you are willing to give something;refuse to give something;hide something;say that you are willing to give something
oppose means...;"";disagree with or fight against something;support something completely;ignore something;disagree with or fight against something
organize means...;"";arrange things in a planned way;make things confusing;destroy things;arrange things in a planned way
participate means...;"";take part in something;avoid an activity;watch without joining;take part in something
perform means...;"";do an activity or task;avoid a task;forget a task;do an activity or task
persuade means...;"";convince someone to do something;force someone physically;ignore someone;convince someone to do something
prevent means...;"";stop something from happening;cause something to happen;encourage something;stop something from happening
produce means...;"";make or create something;destroy something;borrow something;make or create something
promise means...;"";say that you will definitely do something;refuse to do something;forget something;say that you will definitely do something
propose means...;"";suggest a plan or idea;reject an idea;forget a plan;suggest a plan or idea
protect means...;"";keep someone or something safe;put someone in danger;damage something;keep someone or something safe
prove means...;"";show that something is true;hide the truth;make a guess;show that something is true
provide means...;"";give or supply something;remove something;borrow something;give or supply something
purchase means...;"";buy something;sell something;borrow something;buy something
realize means...;"";become aware of something;forget something;prevent something;become aware of something
receive means...;"";get something that someone gives or sends;send something;lose something;get something that someone gives or sends
recognize means...;"";know someone or something because you have seen it before;forget someone;destroy something;know someone or something because you have seen it before
recommend means...;"";suggest something as a good choice;criticize something strongly;avoid something;suggest something as a good choice
reduce means...;"";make something smaller or less;make something larger;create something new;make something smaller or less
refuse means...;"";say that you will not do or accept something;accept something immediately;offer help;say that you will not do or accept something
regard means...;"";consider or think of someone or something in a particular way;ignore completely;destroy something;consider or think of someone or something in a particular way
relate means...;"";be connected with something;be completely separate;destroy something;be connected with something
remain means...;"";continue to be in the same place or condition;leave immediately;change completely;continue to be in the same place or condition
remind means...;"";help someone remember something;make someone forget;hide information;help someone remember something
remove means...;"";take something away;add something;create something;take something away
replace means...;"";put something new in the place of something else;remove everything;destroy something;put something new in the place of something else
require means...;"";need something;avoid something;offer something;need something
respond means...;"";answer or react to something;ignore something;create something;answer or react to something
reveal means...;"";make something known that was secret;hide something;destroy something;make something known that was secret
retain means...;"";keep something;throw something away;borrow something;keep something
retire means...;"";stop working permanently because of age;start a new job;work overtime;stop working permanently because of age
review means...;"";look at or study something again;forget something;destroy something;look at or study something again
risk means...;"";put yourself in danger of something;avoid all danger;protect yourself;put yourself in danger of something
satisfy means...;"";give someone what they need or want;disappoint someone;confuse someone;give someone what they need or want
select means...;"";choose something;reject everything;forget something;choose something
settle means...;"";resolve a problem or reach an agreement;create a problem;leave immediately;resolve a problem or reach an agreement
share means...;"";give part of something to someone else;keep everything for yourself;destroy something;give part of something to someone else
shift means...;"";change position or direction;remain exactly the same;destroy something;change position or direction
solve means...;"";find an answer to a problem;create a problem;ignore a problem;find an answer to a problem
spread means...;"";move or distribute over a larger area;collect into one place;destroy something;move or distribute over a larger area
suggest means...;"";put forward an idea or possibility;refuse an idea;hide information;put forward an idea or possibility
support means...;"";give help or encouragement;oppose someone;ignore someone;give help or encouragement
suffer means...;"";experience pain or difficulty;experience great happiness;avoid problems;experience pain or difficulty
suppose means...;"";think or believe something is probably true;know something with certainty;forget something;think or believe something is probably true
survive means...;"";continue to live after danger or difficulty;die immediately;avoid living;continue to live after danger or difficulty
tend means...;"";be likely to do something;never do something;avoid something completely;be likely to do something
threaten means...;"";say that you may cause harm;offer protection;give a reward;say that you may cause harm
transfer means...;"";move something from one place to another;destroy something;hide something;move something from one place to another
treat means...;"";behave toward someone in a particular way;ignore someone completely;avoid someone;behave toward someone in a particular way
trust means...;"";believe that someone is reliable;doubt everyone;avoid someone;believe that someone is reliable
vary means...;"";be different or change;remain identical;disappear completely;be different or change
warn means...;"";tell someone about a possible danger;invite someone to a party;thank someone;tell someone about a possible danger
waste means...;"";use something carelessly or unnecessarily;save something carefully;repair something;use something carelessly or unnecessarily
withdraw means...;"";remove or take something away;add something;create something;remove or take something away
wonder means...;"";think about something because you are curious;know everything;forget something;think about something because you are curious
achievable means...;"";possible to accomplish;impossible to understand;already finished;possible to accomplish
active means...;"";involved in doing things;completely inactive;very tired;involved in doing things
actual means...;"";real or existing in fact;imaginary;future only;real or existing in fact
additional means...;"";extra or more;less important;unnecessary;extra or more
advanced means...;"";at a higher level of development;very basic;unfinished;at a higher level of development
appropriate means...;"";suitable for a particular situation;completely wrong;too expensive;suitable for a particular situation
aware means...;"";knowing about something;unaware of everything;confused about everything;knowing about something
available means...;"";ready to be used or obtained;impossible to find;already destroyed;ready to be used or obtained
average means...;"";usual or typical;extremely unusual;completely impossible;usual or typical
basic means...;"";simple and most important;very advanced;unnecessary;simple and most important
capable means...;"";able to do something;unable to do anything;unwilling to try;able to do something
certain means...;"";sure or definite;completely unknown;unlikely;sure or definite
complex means...;"";complicated and difficult to understand;very simple;very short;complicated and difficult to understand
confident means...;"";sure about your abilities or decisions;afraid of everything;uncertain about everything;sure about your abilities or decisions
conscious means...;"";awake and aware;asleep;uninterested;awake and aware
convenient means...;"";easy or useful for a particular situation;difficult to use;very expensive;easy or useful for a particular situation
curious means...;"";wanting to know or learn something;having no interest;being angry;wanting to know or learn something
effective means...;"";successful in producing the desired result;completely useless;very expensive;successful in producing the desired result
efficient means...;"";working well without wasting time or resources;working very slowly;causing problems;working well without wasting time or resources
entire means...;"";whole or complete;only a small part;almost nothing;whole or complete
essential means...;"";completely necessary;unnecessary;optional;completely necessary
familiar means...;"";well known or recognized;completely unknown;very strange;well known or recognized
flexible means...;"";able to change easily;unable to change;extremely rigid;able to change easily
formal means...;"";suitable for official or serious situations;very casual;completely informal;suitable for official or serious situations
frequent means...;"";happening often;happening rarely;never happening;happening often
general means...;"";relating to most or all people or things;relating to only one person;very specific;relating to most or all people or things
generous means...;"";willing to give or share;unwilling to help;very selfish;willing to give or share
gradual means...;"";happening slowly over time;happening suddenly;never happening;happening slowly over time
independent means...;"";able to act without help;dependent on everyone;unable to decide;able to act without help
likely means...;"";probable or expected;impossible;very unlikely;probable or expected
obvious means...;"";easy to see or understand;very difficult to notice;secret;easy to see or understand
ordinary means...;"";normal or usual;very unusual;extremely rare;normal or usual
patient means...;"";able to wait calmly;unable to wait;always angry;able to wait calmly
permanent means...;"";lasting for a long time or forever;temporary;short-lived;lasting for a long time or forever
polite means...;"";having good manners;rude;aggressive;having good manners
previous means...;"";happening before now;happening later;happening tomorrow;happening before now
private means...;"";not intended for the public;open to everyone;publicly available;not intended for the public
proper means...;"";correct or suitable;incorrect;unusual;correct or suitable
relevant means...;"";connected with the subject being discussed;completely unrelated;unnecessary;connected with the subject being discussed
reliable means...;"";able to be trusted or depended on;unpredictable;dangerous;able to be trusted or depended on
similar means...;"";almost the same;completely different;opposite;almost the same
specific means...;"";clearly defined or exact;very general;unknown;clearly defined or exact
sufficient means...;"";enough for a particular purpose;not enough;far too little;enough for a particular purpose
temporary means...;"";lasting for a limited time;permanent;forever;lasting for a limited time
typical means...;"";having the usual qualities of a particular group;extremely unusual;impossible;having the usual qualities of a particular group
unique means...;"";being the only one of its kind;very common;ordinary;being the only one of its kind
various means...;"";several different;only one;exactly the same;several different
willing means...;"";happy or ready to do something;unwilling;unable;happy or ready to do something
accurate means...;"";correct and without mistakes;incorrect;uncertain;correct and without mistakes
annual means...;"";happening once every year;happening every day;happening once a month;happening once every year
anxious means...;"";worried or nervous;completely relaxed;very excited about a party;worried or nervous
attractive means...;"";pleasant or interesting to look at;ugly;boring;pleasant or interesting to look at
available means...;"";able to be obtained or used;impossible to obtain;already used;able to be obtained or used
comfortable means...;"";pleasant and relaxed;uncomfortable;dangerous;pleasant and relaxed
competitive means...;"";involving people trying to win against each other;completely cooperative;uninterested;involving people trying to win against each other
considerable means...;"";large or important enough to notice;very small;unimportant;large or important enough to notice
constant means...;"";continuing without stopping;changing every second;temporary;continuing without stopping
convenient means...;"";easy and practical to use;difficult and impractical;unavailable;easy and practical to use
creative means...;"";able to produce new ideas;unable to think;very traditional;able to produce new ideas
deliberate means...;"";done intentionally;done accidentally;done without thinking;done intentionally
direct means...;"";straightforward and without unnecessary steps;indirect and confusing;secret;straightforward and without unnecessary steps
dramatic means...;"";exciting or sudden in a striking way;boring and ordinary;very quiet;exciting or sudden in a striking way
equal means...;"";the same in amount or value;different;less important;the same in amount or value
familiar means...;"";known from previous experience;completely unknown;dangerous;known from previous experience
federal means...;"";related to a national government;related only to a family;related to a small business;related to a national government
financial means...;"";related to money;related to health;related to weather;related to money
frequent means...;"";happening many times;happening once;never happening;happening many times
independent means...;"";not controlled by another person or organization;completely controlled;unable to act;not controlled by another person or organization
legal means...;"";allowed by law;against the law;secret;allowed by law
mental means...;"";related to the mind;related to money;related to the body only;related to the mind
negative means...;"";expressing disagreement or lack of approval;expressing strong approval;completely neutral;expressing disagreement or lack of approval
official means...;"";approved or authorized by an organization;unofficial and secret;personal only;approved or authorized by an organization
physical means...;"";related to the body;related only to thoughts;related to money;related to the body
political means...;"";related to government or politics;related to sports;related to science only;related to government or politics
positive means...;"";expressing approval or optimism;expressing disagreement;showing no opinion;expressing approval or optimism
practical means...;"";useful and realistic;impossible to use;only theoretical;useful and realistic
professional means...;"";related to a job or profession;related to holidays;related to children only;related to a job or profession
reasonable means...;"";fair and sensible;unfair and extreme;impossible;fair and sensible
regular means...;"";happening repeatedly in a normal pattern;happening once;never happening;happening repeatedly in a normal pattern
responsible means...;"";having a duty to deal with something;having no duties;being careless;having a duty to deal with something
serious means...;"";important or requiring careful attention;funny and unimportant;extremely easy;important or requiring careful attention
separate means...;"";not joined or connected;joined together;identical;not joined or connected
successful means...;"";achieving the desired result;failing completely;unfinished;achieving the desired result
suitable means...;"";right or appropriate for a situation;wrong for the situation;impossible;suitable for a situation
valuable means...;"";worth a lot of money or importance;worth nothing;unwanted;worth a lot of money or importance
visible means...;"";able to be seen;impossible to see;hidden forever;able to be seen
widespread means...;"";existing or happening in many places;limited to one place;very rare;existing or happening in many places
ability means...;"";the power or skill to do something;a serious problem;a physical object;the power or skill to do something
advantage means...;"";something that helps you succeed;a disadvantage;an unexpected problem;something that helps you succeed
attempt means...;"";an effort to do something;a successful result;a refusal;an effort to do something
attitude means...;"";the way you think or feel about something;a physical action;a financial decision;the way you think or feel about something
behavior means...;"";the way someone acts;a place to live;a type of food;the way someone acts
choice means...;"";an act of choosing between possibilities;a difficult problem;a financial loss;an act of choosing between possibilities
community means...;"";a group of people living or working together;a single person;a government building;a group of people living or working together
confidence means...;"";belief in your own abilities;fear of failure;a lack of knowledge;belief in your own abilities
decision means...;"";a choice made after thinking;a question;a mistake;a choice made after thinking
development means...;"";the process of growing or improving;a sudden accident;a financial loss;the process of growing or improving
environment means...;"";the natural world or surroundings;a person's salary;a type of machine;the natural world or surroundings
evidence means...;"";facts or information showing that something is true;a personal opinion;a guess;facts or information showing that something is true
experience means...;"";knowledge gained from doing or seeing something;a future plan;a financial payment;knowledge gained from doing or seeing something
failure means...;"";lack of success;a reward;a celebration;lack of success
goal means...;"";something you want to achieve;a problem you want to avoid;a place you visit;something you want to achieve
habit means...;"";something you do regularly;a single unusual action;a difficult decision;something you do regularly
knowledge means...;"";information and understanding about something;a physical object;a type of job;information and understanding about something
method means...;"";a particular way of doing something;a final result;a mistake;a particular way of doing something
opportunity means...;"";a chance to do something useful or successful;a serious problem;a rule;a chance to do something useful or successful
purpose means...;"";the reason why something exists or is done;a physical location;a financial cost;the reason why something exists or is done
reason means...;"";a cause or explanation for something;a result;a question;a cause or explanation for something
relationship means...;"";the connection between people or things;a physical object;a type of building;the connection between people or things
result means...;"";what happens because of an action or event;the beginning of something;a question;what happens because of an action or event
situation means...;"";a set of circumstances;a single object;a person's name;a set of circumstances
skill means...;"";the ability to do something well;a type of problem;a financial cost;the ability to do something well
solution means...;"";an answer to a problem;a new problem;a question;an answer to a problem
success means...;"";the achievement of what you wanted;a failure;a delay;the achievement of what you wanted
task means...;"";a piece of work that needs to be done;a holiday;a reward;a piece of work that needs to be done
tradition means...;"";a custom passed down over time;a new invention;a temporary rule;a custom passed down over time
value means...;"";the importance or worth of something;a physical size;a location;the importance or worth of something
variety means...;"";a number of different types;a single type;a lack of choice;a number of different types
advice means...;"";an opinion about what someone should do;a command;a financial payment;an opinion about what someone should do
agreement means...;"";a decision or arrangement accepted by people involved;a disagreement;a question;a decision or arrangement accepted by people involved
amount means...;"";a quantity of something;a type of person;a location;a quantity of something
appearance means...;"";the way someone or something looks;a person's job;a financial cost;the way someone or something looks
application means...;"";a formal request for something;a cancellation;a payment;a formal request for something
argument means...;"";a disagreement or discussion;an agreement;a celebration;a disagreement or discussion
arrangement means...;"";a plan or organization of something;a mistake;a problem;a plan or organization of something
background means...;"";a person's past or the area behind something;a future plan;a financial cost;a person's past or the area behind something
cause means...;"";the reason something happens;the result of something;a question;the reason something happens
condition means...;"";the state that something is in;a location;a person's job;the state that something is in
connection means...;"";a relationship or link between things;a separation;a disagreement;a relationship or link between things
contact means...;"";communication or interaction with someone;physical damage;a financial loss;communication or interaction with someone
conversation means...;"";an informal talk between people;a written contract;a formal exam;an informal talk between people
difference means...;"";the way in which things are not the same;a similarity;a connection;the way in which things are not the same
effect means...;"";a change caused by something;the cause itself;a question;a change caused by something
effort means...;"";the physical or mental energy used to do something;a reward;a result;the physical or mental energy used to do something
example means...;"";something that shows what another thing is like;a problem;a question;something that shows what another thing is like
excuse means...;"";a reason given to explain a mistake or absence;a reward;a celebration;a reason given to explain a mistake or absence
fact means...;"";something known to be true;a guess;a personal feeling;something known to be true
feature means...;"";an important characteristic;a mistake;a financial problem;an important characteristic
issue means...;"";an important subject or problem;a physical object;a celebration;an important subject or problem
matter means...;"";a subject or situation that needs attention;a type of building;a person's job;a subject or situation that needs attention
opinion means...;"";what someone thinks about something;a proven fact;a physical object;what someone thinks about something
period means...;"";a length of time;a physical object;a financial payment;a length of time
policy means...;"";an official plan or set of rules;a personal opinion;a physical object;an official plan or set of rules
population means...;"";all the people living in a particular area;a single family;a type of business;all the people living in a particular area
process means...;"";a series of actions used to achieve something;a single event;a mistake;a series of actions used to achieve something
project means...;"";a planned piece of work;a type of building;a financial problem;a planned piece of work
property means...;"";something owned by someone;a personal opinion;a type of job;something owned by someone
quality means...;"";how good or bad something is;a quantity;a location;how good or bad something is
resource means...;"";something useful that can be used to achieve a goal;a problem;a mistake;something useful that can be used to achieve a goal
response means...;"";an answer or reaction;a question;a delay;an answer or reaction
service means...;"";work done to help someone;a physical product;a problem;work done to help someone
source means...;"";the place or person something comes from;a final result;a mistake;the place or person something comes from
standard means...;"";a level of quality or expectation;a personal opinion;a physical object;a level of quality or expectation
statement means...;"";something someone says or writes;a question;a mistake;something someone says or writes
subject means...;"";a topic being discussed or studied;a physical object;a financial cost;a topic being discussed or studied
system means...;"";a set of connected parts working together;a single object;a personal opinion;a set of connected parts working together
theory means...;"";an explanation based on ideas rather than direct proof;a proven physical object;a financial payment;an explanation based on ideas rather than direct proof
treatment means...;"";the way something or someone is dealt with;a financial cost;a location;the way something or someone is dealt with
view means...;"";an opinion or way of seeing something;a physical object;a mistake;an opinion or way of seeing something
access means...;"";the right or ability to enter or use something;a refusal;a financial loss;the right or ability to enter or use something
account means...;"";a record of money or an online user profile;a physical object;a type of building;a record of money or an online user profile
activity means...;"";something that people do;a financial payment;a physical object;something that people do
career means...;"";the jobs a person has during their working life;a single task;a holiday;the jobs a person has during their working life
customer means...;"";a person who buys goods or services;a person who sells goods;a manager;a person who buys goods or services
employee means...;"";a person who works for an organization;a customer;a business owner;a person who works for an organization
employer means...;"";a person or organization that gives someone a job;an employee;a customer;a person or organization that gives someone a job
industry means...;"";businesses and companies producing a particular type of goods or services;a single shop;a government office;businesses and companies producing a particular type of goods or services
manager means...;"";a person responsible for controlling or organizing work;a customer;a new employee;a person responsible for controlling or organizing work
market means...;"";a place or system where people buy and sell things;a private home;a government office;a place or system where people buy and sell things
product means...;"";something made or sold by a company;a service only;a location;something made or sold by a company
profit means...;"";money gained after costs are paid;money lost;money borrowed;money gained after costs are paid
salary means...;"";regular payment for work;a one-time gift;a business expense;regular payment for work
schedule means...;"";a plan showing when things will happen;a financial cost;a physical object;a plan showing when things will happen
company means...;"";a business organization;a single employee;a government rule;a business organization
business means...;"";an organization that sells goods or services;a personal hobby;a physical object;an organization that sells goods or services
customer means...;"";someone who buys something;someone who repairs something;someone who teaches;someone who buys something
delivery means...;"";the act of taking something to a person or place;the act of buying something;the act of destroying something;the act of taking something to a person or place
department means...;"";a section of an organization;a private home;a financial payment;a section of an organization
expense means...;"";money that you spend on something;money that you earn;a reward;money that you spend on something
income means...;"";money that you receive regularly;money that you lose;money that you borrow;money that you receive regularly
investment means...;"";money put into something to make a profit later;money spent on food;a personal opinion;money put into something to make a profit later
manager means...;"";someone who organizes and controls work;a customer;a visitor;someone who organizes and controls work
payment means...;"";money given for something;a reward;a complaint;money given for something
price means...;"";the amount of money needed to buy something;the quality of something;a person's salary;the amount of money needed to buy something
profit means...;"";money earned after expenses;money borrowed;money lost;money earned after expenses
sale means...;"";an occasion when goods are sold;a job interview;a financial loss;an occasion when goods are sold
supplier means...;"";a person or company that provides goods or services;a customer;a competitor;a person or company that provides goods or services
