question;hint;option1;option2;option3;answer
complacent means...;"";too satisfied with yourself and unaware of possible problems;highly motivated;very anxious;too satisfied with yourself and unaware of possible problems
concise means...;"";brief but containing all necessary information;long and repetitive;unclear;brief but containing all necessary information
concur means...;"";agree with someone or something;strongly disagree;avoid an opinion;agree with someone or something
contempt means...;"";a feeling that someone is unworthy of respect;deep admiration;complete fear;a feeling that someone is unworthy of respect
contentious means...;"";likely to cause disagreement;unlikely to cause disagreement;completely harmless;likely to cause disagreement
corroborate means...;"";confirm something with additional evidence;contradict something;hide evidence;confirm something with additional evidence
credence means...;"";belief that something is true;complete disbelief;physical evidence;belief that something is true
culminate means...;"";reach the highest or final point;begin unexpectedly;stop immediately;reach the highest or final point
deference means...;"";respectful submission to another person's opinion or authority;strong opposition;complete independence;respectful submission to another person's opinion or authority
delineate means...;"";describe or define something precisely;hide something;confuse the details;describe or define something precisely
derogatory means...;"";showing a disrespectful or insulting attitude;highly complimentary;completely neutral;showing a disrespectful or insulting attitude
detrimental means...;"";causing harm or damage;highly beneficial;completely harmless;causing harm or damage
discerning means...;"";good at recognizing differences and making careful judgments;unable to distinguish things;careless;good at recognizing differences and making careful judgments
disparity means...;"";a significant difference or inequality;complete equality;a minor similarity;a significant difference or inequality
disseminate means...;"";spread information widely;keep information secret;destroy information;spread information widely
divulge means...;"";reveal secret information;hide information;change information;reveal secret information
dubious means...;"";unlikely to be true or trustworthy;completely reliable;officially confirmed;unlikely to be true or trustworthy
eclectic means...;"";drawing ideas from many different sources;using only one source;following one strict tradition;drawing ideas from many different sources
eloquent means...;"";expressing ideas fluently and persuasively;unable to communicate;extremely confusing;expressing ideas fluently and persuasively
elusive means...;"";difficult to find, understand, or achieve;very easy to find;completely obvious;difficult to find, understand, or achieve
eminent means...;"";famous and respected within a particular field;unknown and inexperienced;unimportant;famous and respected within a particular field
empirical means...;"";based on observation or experiment;based only on theory;based on imagination;based on observation or experiment
enigma means...;"";something difficult to understand or explain;something obvious;a simple solution;something difficult to understand or explain
entrenched means...;"";firmly established and difficult to change;temporary and unstable;newly created;firmly established and difficult to change
ephemeral means...;"";lasting for a very short time;lasting forever;lasting for decades;lasting for a very short time
equivocal means...;"";unclear or open to different interpretations;completely clear;definitely false;unclear or open to different interpretations
erode means...;"";gradually weaken or destroy;strengthen rapidly;create something;gradually weaken or destroy
erroneous means...;"";incorrect or based on a mistake;completely accurate;officially confirmed;incorrect or based on a mistake
exacerbate means...;"";make a difficult situation worse;make it better;ignore it;make a difficult situation worse
exorbitant means...;"";unreasonably expensive;very cheap;reasonably priced;unreasonably expensive
expedient means...;"";convenient and practical for a particular purpose;completely impractical;morally perfect;convenient and practical for a particular purpose
extol means...;"";praise something enthusiastically;criticize something strongly;ignore something;praise something enthusiastically
fallacy means...;"";a mistaken belief or faulty argument;a proven fact;a scientific discovery;a mistaken belief or faulty argument
fastidious means...;"";very attentive to detail and difficult to please;careless and relaxed;indifferent;very attentive to detail and difficult to please
feasible means...;"";possible and practical;impossible;unnecessary;possible and practical
flagrant means...;"";obviously offensive or wrong;subtle and harmless;completely acceptable;obviously offensive or wrong
fortuitous means...;"";happening by chance, often in a fortunate way;carefully planned;intentionally harmful;happening by chance, often in a fortunate way
frugal means...;"";careful about spending money;wasteful with money;extremely generous;careful about spending money
futile means...;"";incapable of producing a useful result;highly effective;very successful;incapable of producing a useful result
gregarious means...;"";sociable and enjoying the company of others;shy and isolated;hostile;sociable and enjoying the company of others
hamper means...;"";make it difficult for something to happen;make something easier;complete something;make it difficult for something to happen
heed means...;"";pay attention to advice or a warning;ignore advice;reject a warning;pay attention to advice or a warning
imminent means...;"";about to happen very soon;unlikely to happen;already finished;about to happen very soon
impartial means...;"";not favoring one side;strongly biased;emotionally involved;not favoring one side
impede means...;"";slow down or prevent progress;make progress faster;complete a task;slow down or prevent progress
implicit means...;"";suggested without being directly stated;clearly expressed;officially announced;suggested without being directly stated
inadvertent means...;"";unintentional;carefully planned;deliberate;unintentional
incisive means...;"";clear and direct in a powerful way;vague and confusing;unrelated;clear and direct in a powerful way
incongruous means...;"";not matching or fitting together;perfectly compatible;identical;not matching or fitting together
indifferent means...;"";not interested or concerned;extremely enthusiastic;deeply worried;not interested or concerned
indigenous means...;"";originally belonging to a particular place;recently imported;foreign;originally belonging to a particular place
induce means...;"";cause something to happen;prevent something;ignore something;cause something to happen
inept means...;"";lacking skill or ability;highly competent;extremely experienced;lacking skill or ability
inherent means...;"";naturally existing as part of something;added later;completely unrelated;naturally existing as part of something
insidious means...;"";gradually harmful in a way that is difficult to notice;immediately dangerous;completely harmless;gradually harmful in a way that is difficult to notice
integrity means...;"";honesty and strong moral principles;lack of responsibility;financial success;honesty and strong moral principles
intrinsic means...;"";naturally belonging to something;added from outside;completely unrelated;naturally belonging to something
judicious means...;"";showing good judgment;careless and impulsive;emotionally unstable;showing good judgment
lament means...;"";express sadness or regret about something;celebrate something;ignore something;express sadness or regret about something
lucid means...;"";clear and easy to understand;confusing and unclear;completely false;clear and easy to understand
meticulous means...;"";extremely careful and precise;careless and rushed;uninterested;extremely careful and precise
mitigate means...;"";reduce the harmful effect of something;make something worse;create a new problem;reduce the harmful effect of something
mundane means...;"";ordinary and not interesting;exciting and unusual;extremely difficult;ordinary and not interesting
nuanced means...;"";showing subtle differences or distinctions;very simple and absolute;completely unrelated;showing subtle differences or distinctions
oblivious means...;"";unaware of what is happening;fully aware;deeply concerned;unaware of what is happening
obsolete means...;"";no longer useful because something newer exists;modern and advanced;widely used;no longer useful because something newer exists
ostensibly means...;"";apparently or supposedly;definitely and certainly;secretly;apparently or supposedly
paradigm means...;"";a typical model or pattern of something;a minor mistake;a financial transaction;a typical model or pattern of something
pervasive means...;"";existing or spreading widely;limited to one place;extremely rare;existing or spreading widely
plausible means...;"";reasonable and believable;obviously impossible;completely unrelated;reasonable and believable
pragmatic means...;"";dealing with problems in a practical way;focused only on theory;impractical;dealing with problems in a practical way
precarious means...;"";uncertain and likely to become dangerous;safe and stable;completely predictable;uncertain and likely to become dangerous
prolific means...;"";producing a large amount of something;producing very little;unable to produce anything;producing a large amount of something
proponent means...;"";a person who supports an idea;someone who opposes an idea;an undecided person;a person who supports an idea
provoke means...;"";cause a strong reaction;prevent a reaction;calm someone;cause a strong reaction
prudent means...;"";careful and sensible when making decisions;reckless and careless;impulsive;careful and sensible when making decisions
redundant means...;"";unnecessary because something else already serves the same purpose;essential;highly innovative;unnecessary because something else already serves the same purpose
repercussion means...;"";an unintended consequence of an action;a direct reward;a planned event;an unintended consequence of an action
resilient means...;"";able to recover quickly from difficulties;easily defeated;unable to adapt;able to recover quickly from difficulties
scrutinize means...;"";examine very carefully;ignore completely;accept without checking;examine very carefully
sporadic means...;"";happening occasionally and irregularly;happening continuously;never happening;happening occasionally and irregularly
staunch means...;"";strongly loyal or committed;uncertain and hesitant;completely indifferent;strongly loyal or committed
stringent means...;"";very strict or demanding;very flexible;optional;very strict or demanding
subordinate means...;"";lower in rank or position;higher in rank;equal in status;lower in rank or position
succinct means...;"";brief and clearly expressed;long and repetitive;unclear;brief and clearly expressed
superficial means...;"";concerned only with the surface or appearance;deep and thorough;highly detailed;concerned only with the surface or appearance
tentative means...;"";uncertain or not definite;completely certain;permanent;uncertain or not definite
transient means...;"";lasting only for a short time;permanent;eternal;lasting only for a short time
ubiquitous means...;"";present or found almost everywhere;extremely rare;found in one place only;present or found almost everywhere
unprecedented means...;"";never having happened before;very common;repeated every year;never having happened before
unravel means...;"";solve or understand something complicated;make something more complicated;hide something;solve or understand something complicated
uphold means...;"";support or maintain a principle or decision;reject a principle;ignore a decision;support or maintain a principle or decision
versatile means...;"";able to adapt to many different uses;useful for only one purpose;unable to change;able to adapt to many different uses
vindicate means...;"";prove that someone was right or not guilty;prove someone was wrong;punish someone;prove that someone was right or not guilty
vociferous means...;"";expressing opinions loudly and forcefully;quiet and reserved;uncertain;expressing opinions loudly and forcefully
wary means...;"";careful because you do not completely trust something;completely trusting;careless;careful because you do not completely trust something
withhold means...;"";refuse to give or provide something;give something immediately;increase something;refuse to give or provide something
zealous means...;"";extremely enthusiastic and devoted;completely uninterested;uncertain;extremely enthusiastic and devoted
acumen means...;"";the ability to make good judgments in a particular area;lack of knowledge;physical strength;the ability to make good judgments in a particular area
affinity means...;"";a natural liking or connection between things;a strong disagreement;a financial problem;a natural liking or connection between things
ambiguity means...;"";the quality of having more than one possible meaning;complete clarity;absolute certainty;the quality of having more than one possible meaning
animosity means...;"";strong hostility or dislike;deep friendship;complete indifference;strong hostility or dislike
antagonize means...;"";make someone hostile or angry;make someone happy;help someone;make someone hostile or angry
aptitude means...;"";a natural ability to learn or do something;a lack of ability;a temporary interest;a natural ability to learn or do something
autonomy means...;"";the ability to make your own decisions;dependence on others;complete control by another person;the ability to make your own decisions
cohesion means...;"";the quality of sticking together as a group;complete separation;a disagreement;the quality of sticking together as a group
connotation means...;"";an additional meaning or feeling associated with a word;the exact dictionary definition;a spelling mistake;an additional meaning or feeling associated with a word
convergence means...;"";the process of becoming more similar or meeting at a point;the process of separating;complete disagreement;the process of becoming more similar or meeting at a point
discrepancy means...;"";a difference between things that should be similar;complete agreement;a similarity;a difference between things that should be similar
disposition means...;"";a person's usual attitude or temperament;a physical location;a financial payment;a person's usual attitude or temperament
empathy means...;"";the ability to understand another person's feelings;the inability to communicate;complete disagreement;the ability to understand another person's feelings
exemption means...;"";official permission not to follow a rule;an additional requirement;a punishment;official permission not to follow a rule
exploitation means...;"";unfair use of someone or something for personal benefit;fair treatment;a financial reward;unfair use of someone or something for personal benefit
fallacy means...;"";a false or mistaken argument;a proven fact;a useful method;a false or mistaken argument
feasibility means...;"";the possibility of successfully doing something;a complete failure;a financial loss;the possibility of successfully doing something
hierarchy means...;"";a system in which people or things are ranked;complete equality;a random collection;a system in which people or things are ranked
hypocrisy means...;"";claiming to have moral standards that you do not actually follow;honest behavior;complete generosity;claiming to have moral standards that you do not actually follow
implication means...;"";a possible consequence or meaning;a physical object;a direct payment;a possible consequence or meaning
inference means...;"";a conclusion reached from evidence;a random guess;a direct observation;a conclusion reached from evidence
inhibition means...;"";a feeling or force that prevents an action;strong encouragement;a reward;a feeling or force that prevents an action
innovation means...;"";a new idea or method;an old tradition;a financial loss;a new idea or method
legitimacy means...;"";the quality of being accepted as lawful or reasonable;illegality;a physical property;the quality of being accepted as lawful or reasonable
magnitude means...;"";the great size or importance of something;a minor detail;a personal opinion;the great size or importance of something
merit means...;"";the quality of being worthy of praise or consideration;a serious flaw;a financial loss;the quality of being worthy of praise or consideration
paradox means...;"";a situation that appears contradictory but may be true;a simple fact;a financial agreement;a situation that appears contradictory but may be true
precedent means...;"";an earlier event used as an example for later decisions;a future prediction;a financial loss;an earlier event used as an example for later decisions
proposition means...;"";a statement or idea that can be discussed or considered;a physical object;a financial transaction;a statement or idea that can be discussed or considered
rationale means...;"";the underlying reason for a decision;a physical object;a financial reward;the underlying reason for a decision
scrutiny means...;"";careful and detailed examination;complete avoidance;a quick glance;careful and detailed examination
stigma means...;"";a negative social judgment associated with something;a reward;a positive reputation;a negative social judgment associated with something
trajectory means...;"";the path or development of something over time;a fixed position;a financial payment;the path or development of something over time
transparency means...;"";openness and clarity;secrecy;confusion;openness and clarity
viability means...;"";the ability to work successfully;the impossibility of success;a temporary failure;the ability to work successfully
vulnerability means...;"";the state of being easily harmed;complete protection;a financial reward;the state of being easily harmed
abruptly means...;"";suddenly and unexpectedly;slowly and gradually;carefully;suddenly and unexpectedly
accordingly means...;"";in a way that is appropriate to the situation;randomly;before something happens;in a way that is appropriate to the situation
concurrently means...;"";at the same time;one after another;years apart;at the same time
consequently means...;"";as a result;in contrast;before that;as a result
conversely means...;"";in the opposite way;similarly;at the same time;in the opposite way
deliberately means...;"";intentionally;accidentally;without awareness;intentionally
diligently means...;"";with careful and persistent effort;carelessly;occasionally;with careful and persistent effort
discreetly means...;"";in a careful way that avoids attracting attention;loudly and publicly;carelessly;in a careful way that avoids attracting attention
drastically means...;"";in an extreme or sudden way;slightly;gradually;in an extreme or sudden way
explicitly means...;"";in a clear and direct way;indirectly;secretly;in a clear and direct way
fundamentally means...;"";in a basic or essential way;temporarily;accidentally;in a basic or essential way
inherently means...;"";naturally or as an essential part of something;from outside;temporarily;naturally or as an essential part of something
invariably means...;"";always or almost always;rarely;occasionally;always or almost always
largely means...;"";mostly or to a great extent;barely;never;mostly or to a great extent
notwithstanding means...;"";despite something;because of something;before something;despite something
ostensibly means...;"";apparently or seemingly;definitely;secretly;apparently or seemingly
predominantly means...;"";mostly or mainly;rarely;equally;mostly or mainly
presumably means...;"";based on what is believed to be true;with complete proof;without any reason;based on what is believed to be true
profoundly means...;"";very deeply or significantly;slightly;temporarily;very deeply or significantly
remarkably means...;"";in a way that is surprising or impressive;ordinarily;secretly;in a way that is surprising or impressive
reluctantly means...;"";in an unwilling way;enthusiastically;confidently;in an unwilling way
simultaneously means...;"";at the same time;one after another;years apart;at the same time
substantially means...;"";by a large amount or degree;slightly;not at all;by a large amount or degree
tentatively means...;"";in an uncertain or cautious way;confidently;permanently;in an uncertain or cautious way
thereafter means...;"";after that time;before that time;at the same time;after that time
thereby means...;"";as a result of that;despite that;before that;as a result of that
ultimately means...;"";finally or in the end;at the beginning;temporarily;finally or in the end
unambiguously means...;"";in a way that has only one possible meaning;in a confusing way;indirectly;in a way that has only one possible meaning
